;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201101;Enero de 2011;1;Andalucía;4;Almería;4001;Abla;211;20;38;48;9;42;54;32;8;31;120;20
201101;Enero de 2011;1;Andalucía;4;Almería;4002;Abrucena;243;14;31;62;11;46;79;61;8;25;135;14
201101;Enero de 2011;1;Andalucía;4;Almería;4003;Adra;3666;226;1147;664;161;841;627;600;188;977;1373;528
201101;Enero de 2011;1;Andalucía;4;Almería;4004;Albánchez;59;1;18;9;3;15;13;2;6;13;31;7
201101;Enero de 2011;1;Andalucía;4;Almería;4005;Alboloduy;115;3;20;30;7;23;32;25;3;19;61;7
201101;Enero de 2011;1;Andalucía;4;Almería;4006;Albox;1391;81;383;248;74;332;273;129;115;307;731;109
201101;Enero de 2011;1;Andalucía;4;Almería;4007;Alcolea;175;13;25;51;10;33;43;68;2;27;72;6
201101;Enero de 2011;1;Andalucía;4;Almería;4008;Alcóntar;65;4;6;20;1;8;26;14;6;13;27;5
201101;Enero de 2011;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;18;1;4;4;1;4;4;4;3;1;8;2
201101;Enero de 2011;1;Andalucía;4;Almería;4010;Alhabia;156;15;38;30;15;32;26;18;19;38;67;14
201101;Enero de 2011;1;Andalucía;4;Almería;4011;Alhama de Almería;504;42;124;89;41;122;86;35;49;111;259;50
201101;Enero de 2011;1;Andalucía;4;Almería;4012;Alicún;32;2;3;8;3;12;4;3;1;5;17;6
201101;Enero de 2011;1;Andalucía;4;Almería;4013;Almería;28353;1769;7466;4854;1542;7682;5040;1550;1440;5593;15228;4542
201101;Enero de 2011;1;Andalucía;4;Almería;4014;Almócita;16;1;6;3;0;4;2;0;0;5;9;2
201101;Enero de 2011;1;Andalucía;4;Almería;4015;Alsodux;7;0;3;2;1;0;1;1;0;1;4;1
201101;Enero de 2011;1;Andalucía;4;Almería;4016;Antas;305;17;73;45;23;79;68;49;21;50;147;38
201101;Enero de 2011;1;Andalucía;4;Almería;4017;Arboleas;267;17;63;52;8;67;60;37;14;51;142;23
