;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
200901;Enero de 2009;1;Andalucía;4;Almería;4001;Abla;196;12;32;49;5;41;57;39;6;24;122;5
200901;Enero de 2009;1;Andalucía;4;Almería;4002;Abrucena;245;7;35;63;9;57;74;71;11;14;142;7
200901;Enero de 2009;1;Andalucía;4;Almería;4003;Adra;2799;337;878;420;152;622;390;430;171;968;1170;60
200901;Enero de 2009;1;Andalucía;4;Almería;4004;Albánchez;51;4;13;8;1;15;10;2;11;6;30;2
200901;Enero de 2009;1;Andalucía;4;Almería;4005;Alboloduy;118;6;19;27;5;26;35;26;4;17;68;3
200901;Enero de 2009;1;Andalucía;4;Almería;4006;Albox;1100;73;273;198;48;254;254;125;96;270;563;46
200901;Enero de 2009;1;Andalucía;4;Almería;4007;Alcolea;118;4;15;38;4;25;32;45;1;16;56;0
200901;Enero de 2009;1;Andalucía;4;Almería;4008;Alcóntar;52;1;10;20;1;7;13;20;4;6;19;3
200901;Enero de 2009;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;8;1;3;1;0;1;2;3;0;2;3;0
200901;Enero de 2009;1;Andalucía;4;Almería;4010;Alhabia;138;9;28;32;7;41;21;18;21;27;65;7
200901;Enero de 2009;1;Andalucía;4;Almería;4011;Alhama de Almería;391;41;87;68;41;103;51;31;48;74;211;27
200901;Enero de 2009;1;Andalucía;4;Almería;4012;Alicún;14;0;1;6;0;5;2;2;1;2;9;0
200901;Enero de 2009;1;Andalucía;4;Almería;4013;Almería;22573;1771;6120;3486;1402;6141;3653;1078;1271;4836;13439;1949
200901;Enero de 2009;1;Andalucía;4;Almería;4014;Almócita;12;1;3;1;0;4;3;3;0;2;7;0
