;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201001;Enero de 2010;1;Andalucía;4;Almería;4001;Abla;174;9;25;54;6;29;51;38;9;27;92;8
201001;Enero de 2010;1;Andalucía;4;Almería;4002;Abrucena;254;12;37;62;14;58;71;68;10;21;144;11
201001;Enero de 2010;1;Andalucía;4;Almería;4003;Adra;3462;289;1128;572;200;729;544;567;201;1031;1319;344
201001;Enero de 2010;1;Andalucía;4;Almería;4004;Albánchez;44;3;11;7;2;11;10;1;6;8;25;4
201001;Enero de 2010;1;Andalucía;4;Almería;4005;Alboloduy;98;1;16;29;2;18;32;26;2;13;53;4
201001;Enero de 2010;1;Andalucía;4;Almería;4006;Albox;1259;79;352;235;54;276;263;123;115;300;635;86
201001;Enero de 2010;1;Andalucía;4;Almería;4007;Alcolea;169;12;28;49;7;34;39;69;2;25;73;0
201001;Enero de 2010;1;Andalucía;4;Almería;4008;Alcóntar;70;4;10;24;0;6;26;26;5;10;24;5
201001;Enero de 2010;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;15;2;3;2;1;4;3;4;3;0;7;1
201001;Enero de 2010;1;Andalucía;4;Almería;4010;Alhabia;140;16;26;32;10;32;24;21;24;34;55;6
201001;Enero de 2010;1;Andalucía;4;Almería;4011;Alhama de Almería;465;41;120;74;33;120;77;35;55;107;231;37
201001;Enero de 2010;1;Andalucía;4;Almería;4012;Alicún;24;1;2;8;2;8;3;5;1;3;11;4
201001;Enero de 2010;1;Andalucía;4;Almería;4013;Almería;27408;1984;7616;4433;1568;7336;4471;1538;1443;5721;15335;3371
