;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201301;Enero de 2013;1;Andalucía;4;Almería;4001;Abla;207;14;48;52;8;35;50;49;12;18;118;10
201301;Enero de 2013;1;Andalucía;4;Almería;4002;Abrucena;217;8;25;50;6;47;81;81;8;18;105;5
201301;Enero de 2013;1;Andalucía;4;Almería;4003;Adra;3402;155;852;729;163;810;693;662;206;716;1494;324
201301;Enero de 2013;1;Andalucía;4;Almería;4004;Albánchez;43;2;6;7;4;16;8;2;5;3;31;2
201301;Enero de 2013;1;Andalucía;4;Almería;4005;Alboloduy;119;2;25;34;6;20;32;32;6;17;62;2
201301;Enero de 2013;1;Andalucía;4;Almería;4006;Albox;1415;71;340;276;75;368;285;162;130;274;733;116
201301;Enero de 2013;1;Andalucía;4;Almería;4007;Alcolea;195;16;29;64;9;29;48;62;5;33;89;6
201301;Enero de 2013;1;Andalucía;4;Almería;4008;Alcóntar;74;3;11;21;1;10;28;25;6;12;27;4
201301;Enero de 2013;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;11;0;2;1;0;4;4;4;0;1;5;1
201301;Enero de 2013;1;Andalucía;4;Almería;4010;Alhabia;178;12;40;48;10;44;24;29;22;38;76;13
201301;Enero de 2013;1;Andalucía;4;Almería;4011;Alhama de Almería;636;62;141;135;38;163;97;57;63;116;333;67
201301;Enero de 2013;1;Andalucía;4;Almería;4012;Alicún;38;0;9;12;2;10;5;2;5;4;24;3
201301;Enero de 2013;1;Andalucía;4;Almería;4013;Almería;30415;1476;7604;5970;1504;7968;5893;1937;1547;5057;18002;3872
201301;Enero de 2013;1;Andalucía;4;Almería;4014;Almócita;22;1;9;4;0;3;5;3;0;6;12;1
201301;Enero de 2013;1;Andalucía;4;Almería;4015;Alsodux;9;0;4;3;0;2;0;4;0;1;2;2
201301;Enero de 2013;1;Andalucía;4;Almería;4016;Antas;285;10;48;53;17;91;66;52;7;45;165;16
201301;Enero de 2013;1;Andalucía;4;Almería;4017;Arboleas;273;16;64;58;15;59;61;42;18;45;143;25
