;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201701;Enero de 2017;1;Andalucía;4;Almería;4001;Abla;152;1;18;47;6;32;48;41;4;5;99;3
201701;Enero de 2017;1;Andalucía;4;Almería;4002;Abrucena;214;6;26;59;10;36;77;74;4;12;116;8
201701;Enero de 2017;1;Andalucía;4;Almería;4003;Adra;2526;129;494;596;107;597;603;616;113;303;1266;228
201701;Enero de 2017;1;Andalucía;4;Almería;4004;Albánchez;35;0;7;11;2;7;8;9;4;2;18;2
201701;Enero de 2017;1;Andalucía;4;Almería;4005;Alboloduy;97;2;14;32;2;18;29;26;7;7;54;3
201701;Enero de 2017;1;Andalucía;4;Almería;4006;Albox;1157;53;203;225;51;320;305;163;60;170;672;92
201701;Enero de 2017;1;Andalucía;4;Almería;4007;Alcolea;172;7;20;57;17;23;48;64;2;21;77;8
201701;Enero de 2017;1;Andalucía;4;Almería;4008;Alcóntar;58;2;7;16;2;9;22;19;4;6;27;2
201701;Enero de 2017;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;12;0;0;5;0;4;3;3;0;1;8;0
201701;Enero de 2017;1;Andalucía;4;Almería;4010;Alhabia;138;5;26;39;6;37;25;24;21;22;62;9
201701;Enero de 2017;1;Andalucía;4;Almería;4011;Alhama de Almería;505;23;84;118;25;133;122;61;33;40;324;47
201701;Enero de 2017;1;Andalucía;4;Almería;4012;Alicún;36;4;4;12;1;5;10;2;1;2;28;3
201701;Enero de 2017;1;Andalucía;4;Almería;4013;Almería;24552;993;4819;5564;1048;6253;5875;2023;873;2727;15989;2940
201701;Enero de 2017;1;Andalucía;4;Almería;4014;Almócita;17;0;2;4;1;5;5;4;1;0;10;2
201701;Enero de 2017;1;Andalucía;4;Almería;4015;Alsodux;14;0;3;4;0;4;3;3;0;1;10;0
201701;Enero de 2017;1;Andalucía;4;Almería;4016;Antas;184;10;25;32;5;49;63;43;6;13;108;14
201701;Enero de 2017;1;Andalucía;4;Almería;4017;Arboleas;215;11;30;44;10;59;61;33;9;24;133;16
201701;Enero de 2017;1;Andalucía;4;Almería;4018;Armuña de Almanzora;41;3;7;6;0;10;15;10;1;4;24;2
201701;Enero de 2017;1;Andalucía;4;Almería;4019;Bacares;26;2;3;4;1;2;14;11;0;0;14;1
201701;Enero de 2017;1;Andalucía;4;Almería;4020;Bayárcal;41;1;5;13;0;7;15;17;0;4;19;1
201701;Enero de 2017;1;Andalucía;4;Almería;4021;Bayarque;27;0;4;5;1;8;9;5;0;1;19;2
201701;Enero de 2017;1;Andalucía;4;Almería;4022;Bédar;51;0;3;23;2;8;15;6;2;3;33;7
201701;Enero de 2017;1;Andalucía;4;Almería;4023;Beires;11;0;2;5;0;1;3;0;0;0;11;0
201701;Enero de 2017;1;Andalucía;4;Almería;4024;Benahadux;488;13;80;103;28;145;119;39;20;51;331;47
201701;Enero de 2017;1;Andalucía;4;Almería;4026;Benitagla;7;0;3;1;1;0;2;1;0;0;6;0
201701;Enero de 2017;1;Andalucía;4;Almería;4027;Benizalón;42;1;7;13;2;6;13;9;0;4;26;3
201701;Enero de 2017;1;Andalucía;4;Almería;4028;Bentarique;44;0;12;11;1;3;17;13;0;5;26;0
201701;Enero de 2017;1;Andalucía;4;Almería;4029;Berja;1693;60;341;447;81;378;386;442;41;271;834;105
201701;Enero de 2017;1;Andalucía;4;Almería;4030;Canjáyar;239;6;32;74;11;44;72;64;5;23;136;11
201701;Enero de 2017;1;Andalucía;4;Almería;4031;Cantoria;392;19;51;111;13;79;119;59;34;48;220;31
201701;Enero de 2017;1;Andalucía;4;Almería;4032;Carboneras;770;29;144;169;20;208;200;140;48;60;464;58
201701;Enero de 2017;1;Andalucía;4;Almería;4033;Castro de Filabres;17;1;1;4;0;2;9;10;0;0;7;0
201701;Enero de 2017;1;Andalucía;4;Almería;4034;Cóbdar;23;0;6;7;1;5;4;6;0;1;16;0
201701;Enero de 2017;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;1516;51;343;285;76;384;377;408;37;138;840;93
201701;Enero de 2017;1;Andalucía;4;Almería;4036;Chercos;36;3;8;6;1;9;9;11;4;2;17;2
