;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
200701;Enero de 2007;1;Andalucía;4;Almería;4001;Abla;186;4;27;34;10;51;60;75;6;12;84;9
200701;Enero de 2007;1;Andalucía;4;Almería;4002;Abrucena;244;9;38;62;9;51;75;118;9;12;97;8
200701;Enero de 2007;1;Andalucía;4;Almería;4003;Adra;1415;86;278;188;135;490;238;442;34;167;688;84
200701;Enero de 2007;1;Andalucía;4;Almería;4004;Albánchez;37;1;9;9;1;5;12;11;6;5;14;1
200701;Enero de 2007;1;Andalucía;4;Almería;4005;Alboloduy;112;1;11;28;5;29;38;40;2;7;57;6
200701;Enero de 2007;1;Andalucía;4;Almería;4006;Albox;708;17;115;123;44;201;208;143;42;81;351;91
200701;Enero de 2007;1;Andalucía;4;Almería;4007;Alcolea;115;2;13;34;5;30;31;63;4;11;34;3
200701;Enero de 2007;1;Andalucía;4;Almería;4008;Alcóntar;47;2;5;16;1;7;16;24;1;3;17;2
200701;Enero de 2007;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;7;0;1;1;2;1;2;5;0;1;1;0
200701;Enero de 2007;1;Andalucía;4;Almería;4010;Alhabia;94;1;11;16;6;36;24;27;6;9;37;15
200701;Enero de 2007;1;Andalucía;4;Almería;4011;Alhama de Almería;222;14;33;42;17;72;44;33;15;29;123;22
200701;Enero de 2007;1;Andalucía;4;Almería;4012;Alicún;11;1;1;2;1;6;0;3;0;0;7;1
200701;Enero de 2007;1;Andalucía;4;Almería;4013;Almería;14110;956;2934;1989;1138;4607;2486;860;775;1779;8681;2015
200701;Enero de 2007;1;Andalucía;4;Almería;4014;Almócita;17;0;3;7;0;2;5;5;0;1;11;0
200701;Enero de 2007;1;Andalucía;4;Almería;4015;Alsodux;7;1;3;1;0;2;0;0;0;1;6;0
200701;Enero de 2007;1;Andalucía;4;Almería;4016;Antas;155;8;22;24;11;47;43;47;8;18;73;9
200701;Enero de 2007;1;Andalucía;4;Almería;4017;Arboleas;145;2;23;27;3;40;50;64;7;9;53;12
200701;Enero de 2007;1;Andalucía;4;Almería;4018;Armuña de Almanzora;30;1;2;11;2;7;7;4;5;6;12;3
200701;Enero de 2007;1;Andalucía;4;Almería;4019;Bacares;28;1;1;13;0;7;6;14;1;3;9;1
