;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
202001;Enero de 2020;1;Andalucía;4;Almería;04001;Abla;153;7;22;42;6;35;41;37;3;5;96;12
202001;Enero de 2020;1;Andalucía;4;Almería;04002;Abrucena;181;5;19;43;13;30;71;61;6;15;89;10
202001;Enero de 2020;1;Andalucía;4;Almería;04003;Adra;2478;116;430;541;97;638;656;560;80;213;1410;215
202001;Enero de 2020;1;Andalucía;4;Almería;04004;Albánchez;40;3;3;16;0;10;8;9;3;0;26;2
202001;Enero de 2020;1;Andalucía;4;Almería;04005;Alboloduy;78;3;12;17;2;19;25;22;6;7;41;2
202001;Enero de 2020;1;Andalucía;4;Almería;04006;Albox;1072;55;157;218;44;282;316;156;48;157;628;83
202001;Enero de 2020;1;Andalucía;4;Almería;04007;Alcolea;169;8;15;54;9;26;57;62;0;21;82;4
202001;Enero de 2020;1;Andalucía;4;Almería;04008;Alcóntar;48;0;3;12;3;9;21;14;2;2;29;1
202001;Enero de 2020;1;Andalucía;4;Almería;04009;Alcudia de Monteagud;7;0;1;2;0;1;3;2;0;0;5;0
202001;Enero de 2020;1;Andalucía;4;Almería;04010;Alhabia;108;6;17;37;1;25;22;22;13;24;44;5
202001;Enero de 2020;1;Andalucía;4;Almería;04011;Alhama de Almería;447;24;72;96;20;119;116;49;23;35;291;49
202001;Enero de 2020;1;Andalucía;4;Almería;04012;Alicún;32;1;5;9;0;4;13;3;1;1;26;1
202001;Enero de 2020;1;Andalucía;4;Almería;04013;Almería;23028;861;4152;4964;948;5914;6189;1807;662;2026;15894;2639
202001;Enero de 2020;1;Andalucía;4;Almería;04014;Almócita;20;0;4;4;0;2;10;2;1;2;14;1
202001;Enero de 2020;1;Andalucía;4;Almería;04015;Alsodux;16;1;1;7;0;3;4;5;0;0;11;0
202001;Enero de 2020;1;Andalucía;4;Almería;04016;Antas;230;5;37;40;9;54;85;53;5;11;149;12
202001;Enero de 2020;1;Andalucía;4;Almería;04017;Arboleas;181;7;32;36;10;47;49;21;10;24;111;15
202001;Enero de 2020;1;Andalucía;4;Almería;04018;Armuña de Almanzora;31;0;8;6;1;6;10;9;1;5;16;0
202001;Enero de 2020;1;Andalucía;4;Almería;04019;Bacares;32;2;4;5;3;3;15;11;0;0;20;1
202001;Enero de 2020;1;Andalucía;4;Almería;04020;Bayárcal;36;2;3;13;1;8;9;14;0;1;21;0
202001;Enero de 2020;1;Andalucía;4;Almería;04021;Bayarque;24;2;2;5;1;8;6;3;0;7;13;1
202001;Enero de 2020;1;Andalucía;4;Almería;04022;Bédar;53;4;7;17;0;12;13;3;5;4;39;2
202001;Enero de 2020;1;Andalucía;4;Almería;04023;Beires;11;0;1;5;1;2;2;0;0;1;10;0
202001;Enero de 2020;1;Andalucía;4;Almería;04024;Benahadux;475;18;79;77;20;134;147;46;31;28;322;48
202001;Enero de 2020;1;Andalucía;4;Almería;04026;Benitagla;6;0;1;2;0;1;2;1;0;0;5;0
202001;Enero de 2020;1;Andalucía;4;Almería;04027;Benizalón;41;1;8;10;2;5;15;11;0;0;29;1
202001;Enero de 2020;1;Andalucía;4;Almería;04028;Bentarique;38;0;7;14;0;5;12;14;0;2;21;1
