;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201201;Enero de 2012;1;Andalucía;4;Almería;4001;Abla;210;15;46;50;12;31;56;35;12;25;119;19
201201;Enero de 2012;1;Andalucía;4;Almería;4002;Abrucena;261;11;35;62;5;64;84;66;10;28;148;9
201201;Enero de 2012;1;Andalucía;4;Almería;4003;Adra;3751;222;1043;706;175;911;694;669;248;923;1453;458
201201;Enero de 2012;1;Andalucía;4;Almería;4004;Albánchez;71;2;18;12;4;26;9;2;10;12;38;9
201201;Enero de 2012;1;Andalucía;4;Almería;4005;Alboloduy;122;3;22;28;6;27;36;27;1;18;73;3
201201;Enero de 2012;1;Andalucía;4;Almería;4006;Albox;1388;79;343;241;92;351;282;126;129;280;718;135
201201;Enero de 2012;1;Andalucía;4;Almería;4007;Alcolea;198;12;37;60;4;37;48;71;3;37;82;5
201201;Enero de 2012;1;Andalucía;4;Almería;4008;Alcóntar;76;3;14;24;0;10;25;17;7;18;28;6
201201;Enero de 2012;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;14;2;5;1;0;3;3;2;1;2;8;1
201201;Enero de 2012;1;Andalucía;4;Almería;4010;Alhabia;163;13;37;41;9;42;21;24;20;44;64;11
201201;Enero de 2012;1;Andalucía;4;Almería;4011;Alhama de Almería;634;62;153;116;33;166;104;57;78;128;297;74
201201;Enero de 2012;1;Andalucía;4;Almería;4012;Alicún;27;3;3;9;1;8;3;3;2;3;14;5
201201;Enero de 2012;1;Andalucía;4;Almería;4013;Almería;30012;1778;7768;5491;1632;7853;5490;1734;1662;5805;16243;4568
201201;Enero de 2012;1;Andalucía;4;Almería;4014;Almócita;30;0;8;8;1;7;6;1;0;9;19;1
201201;Enero de 2012;1;Andalucía;4;Almería;4015;Alsodux;12;0;5;2;1;3;1;1;0;1;8;2
201201;Enero de 2012;1;Andalucía;4;Almería;4016;Antas;305;16;71;52;19;76;71;55;16;48;151;35
201201;Enero de 2012;1;Andalucía;4;Almería;4017;Arboleas;281;27;65;54;7;68;60;43;20;62;129;27
201201;Enero de 2012;1;Andalucía;4;Almería;4018;Armuña de Almanzora;44;5;11;7;0;7;14;3;11;7;18;5
201201;Enero de 2012;1;Andalucía;4;Almería;4019;Bacares;33;2;8;6;0;4;13;5;3;8;17;0
201201;Enero de 2012;1;Andalucía;4;Almería;4020;Bayárcal;60;2;10;18;2;15;13;13;0;6;41;0
201201;Enero de 2012;1;Andalucía;4;Almería;4021;Bayarque;30;0;5;7;1;3;14;6;2;9;10;3
201201;Enero de 2012;1;Andalucía;4;Almería;4022;Bédar;88;4;16;27;3;19;19;0;3;29;45;11
201201;Enero de 2012;1;Andalucía;4;Almería;4023;Beires;19;0;7;6;0;2;4;1;1;5;12;0
201201;Enero de 2012;1;Andalucía;4;Almería;4024;Benahadux;687;53;160;120;39;208;107;19;68;155;369;76
201201;Enero de 2012;1;Andalucía;4;Almería;4026;Benitagla;7;0;3;1;0;2;1;0;1;0;6;0
201201;Enero de 2012;1;Andalucía;4;Almería;4027;Benizalón;38;1;5;12;1;8;11;9;1;4;20;4
201201;Enero de 2012;1;Andalucía;4;Almería;4028;Bentarique;69;6;17;13;2;8;23;10;1;10;43;5
201201;Enero de 2012;1;Andalucía;4;Almería;4029;Berja;2357;157;616;523;132;508;421;464;89;651;960;193
201201;Enero de 2012;1;Andalucía;4;Almería;4030;Canjáyar;263;17;55;58;11;48;74;64;7;42;130;20
201201;Enero de 2012;1;Andalucía;4;Almería;4031;Cantoria;514;26;113;124;11;126;114;64;92;116;210;32
201201;Enero de 2012;1;Andalucía;4;Almería;4032;Carboneras;983;56;279;176;39;277;156;127;99;222;458;77
201201;Enero de 2012;1;Andalucía;4;Almería;4033;Castro de Filabres;4;0;2;0;1;0;1;0;0;2;1;1
201201;Enero de 2012;1;Andalucía;4;Almería;4034;Cóbdar;17;1;6;2;0;5;3;1;3;0;11;2
201201;Enero de 2012;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;1974;101;577;390;79;481;346;392;108;521;809;144
201201;Enero de 2012;1;Andalucía;4;Almería;4036;Chercos;33;2;14;4;2;7;4;0;18;2;11;2
201201;Enero de 2012;1;Andalucía;4;Almería;4037;Chirivel;244;27;48;53;14;43;59;45;9;31;134;25
201201;Enero de 2012;1;Andalucía;4;Almería;4038;Dalías;450;28;122;95;29;107;69;64;12;121;214;39
201201;Enero de 2012;1;Andalucía;4;Almería;4041;Enix;31;0;7;11;0;10;3;0;1;7;20;3
201201;Enero de 2012;1;Andalucía;4;Almería;4043;Felix;80;4;21;15;5;23;12;10;4;22;34;10
201201;Enero de 2012;1;Andalucía;4;Almería;4044;Fines;398;25;100;81;14;113;65;22;119;69;127;61
201201;Enero de 2012;1;Andalucía;4;Almería;4045;Fiñana;565;29;105;127;34;128;142;186;35;97;197;50
201201;Enero de 2012;1;Andalucía;4;Almería;4046;Fondón;175;10;43;42;4;44;32;26;24;45;75;5
201201;Enero de 2012;1;Andalucía;4;Almería;4047;Gádor;577;43;154;112;31;150;87;54;73;140;246;64
201201;Enero de 2012;1;Andalucía;4;Almería;4048;Gallardos, Los;341;22;78;80;17;76;68;35;23;92;157;34
201201;Enero de 2012;1;Andalucía;4;Almería;4049;Garrucha;1416;78;393;243;50;418;234;87;52;309;865;103
201201;Enero de 2012;1;Andalucía;4;Almería;4050;Gérgal;164;8;44;35;5;39;33;50;4;25;75;10
201201;Enero de 2012;1;Andalucía;4;Almería;4051;Huécija;80;8;17;15;3;18;19;6;7;11;53;3
201201;Enero de 2012;1;Andalucía;4;Almería;4052;Huércal de Almería;2558;161;711;358;108;872;348;45;204;553;1511;245
201201;Enero de 2012;1;Andalucía;4;Almería;4053;Huércal-Overa;2488;146;631;452;120;680;459;380;177;494;1147;290
201201;Enero de 2012;1;Andalucía;4;Almería;4054;Illar;69;6;19;25;1;5;13;15;5;10;32;7
201201;Enero de 2012;1;Andalucía;4;Almería;4055;Instinción;66;4;20;16;2;14;10;8;3;14;35;6
201201;Enero de 2012;1;Andalucía;4;Almería;4056;Laroya;16;0;4;4;0;5;3;2;5;0;9;0
201201;Enero de 2012;1;Andalucía;4;Almería;4057;Láujar de Andarax;309;12;78;79;7;65;68;42;17;101;139;10
201201;Enero de 2012;1;Andalucía;4;Almería;4058;Líjar;84;7;19;19;6;13;20;2;19;20;35;8
201201;Enero de 2012;1;Andalucía;4;Almería;4059;Lubrín;213;6;52;50;10;36;59;30;8;43;110;22
201201;Enero de 2012;1;Andalucía;4;Almería;4060;Lucainena de las Torres;85;2;31;11;1;22;18;20;1;16;43;5
201201;Enero de 2012;1;Andalucía;4;Almería;4061;Lúcar;114;1;25;30;1;23;34;17;29;21;39;8
201201;Enero de 2012;1;Andalucía;4;Almería;4062;Macael;988;54;246;191;36;285;176;25;410;83;332;138
201201;Enero de 2012;1;Andalucía;4;Almería;4063;María;227;9;44;46;7;50;71;46;16;32;122;11
201201;Enero de 2012;1;Andalucía;4;Almería;4064;Mojácar;715;25;159;151;32;199;149;8;25;89;516;77
201201;Enero de 2012;1;Andalucía;4;Almería;4065;Nacimiento;71;2;22;20;0;13;14;32;3;9;25;2
201201;Enero de 2012;1;Andalucía;4;Almería;4066;Níjar;3239;159;1038;629;157;824;432;1014;145;548;1293;239
201201;Enero de 2012;1;Andalucía;4;Almería;4067;Ohanes;148;17;34;31;8;23;35;22;2;26;81;17
201201;Enero de 2012;1;Andalucía;4;Almería;4068;Olula de Castro;8;0;1;3;0;0;4;0;0;1;7;0
201201;Enero de 2012;1;Andalucía;4;Almería;4069;Olula del Río;1225;59;299;287;44;340;196;59;382;142;474;168
201201;Enero de 2012;1;Andalucía;4;Almería;4070;Oria;327;27;77;81;18;49;75;58;9;51;182;27
201201;Enero de 2012;1;Andalucía;4;Almería;4071;Padules;76;3;29;19;3;6;16;7;2;25;36;6
201201;Enero de 2012;1;Andalucía;4;Almería;4072;Partaloa;74;2;13;23;0;14;22;8;7;4;52;3
201201;Enero de 2012;1;Andalucía;4;Almería;4073;Paterna del Río;55;4;9;14;1;10;17;12;1;18;24;0
201201;Enero de 2012;1;Andalucía;4;Almería;4074;Pechina;681;37;193;125;37;158;131;59;46;180;318;78
201201;Enero de 2012;1;Andalucía;4;Almería;4075;Pulpí;867;50;208;144;48;264;153;347;44;118;302;56
201201;Enero de 2012;1;Andalucía;4;Almería;4076;Purchena;315;30;59;66;19;74;67;23;53;55;138;46
201201;Enero de 2012;1;Andalucía;4;Almería;4077;Rágol;68;2;15;24;0;14;13;19;3;5;40;1
201201;Enero de 2012;1;Andalucía;4;Almería;4078;Rioja;315;18;92;64;15;79;47;27;36;80;141;31
201201;Enero de 2012;1;Andalucía;4;Almería;4079;Roquetas de Mar;12967;706;3618;2202;689;3780;1972;1596;686;2601;6673;1411
201201;Enero de 2012;1;Andalucía;4;Almería;4080;Santa Cruz de Marchena;25;2;6;6;0;4;7;1;1;3;17;3
201201;Enero de 2012;1;Andalucía;4;Almería;4081;Santa Fe de Mondújar;87;6;13;22;8;16;22;2;5;18;50;12
201201;Enero de 2012;1;Andalucía;4;Almería;4082;Senés;47;2;6;12;3;6;18;2;2;9;31;3
201201;Enero de 2012;1;Andalucía;4;Almería;4083;Serón;268;6;59;69;10;54;70;34;36;51;116;31
201201;Enero de 2012;1;Andalucía;4;Almería;4084;Sierro;96;6;24;25;1;19;21;13;18;24;31;10
201201;Enero de 2012;1;Andalucía;4;Almería;4085;Somontín;66;2;9;24;1;13;17;15;8;11;29;3
201201;Enero de 2012;1;Andalucía;4;Almería;4086;Sorbas;417;24;90;103;10;90;100;67;48;85;180;37
201201;Enero de 2012;1;Andalucía;4;Almería;4087;Suflí;42;0;7;12;2;8;13;1;11;8;20;2
201201;Enero de 2012;1;Andalucía;4;Almería;4088;Tabernas;961;60;221;176;56;254;194;207;54;145;440;115
201201;Enero de 2012;1;Andalucía;4;Almería;4089;Taberno;110;3;19;34;8;16;30;7;7;19;71;6
201201;Enero de 2012;1;Andalucía;4;Almería;4090;Tahal;55;0;20;11;1;8;15;7;4;11;32;1
201201;Enero de 2012;1;Andalucía;4;Almería;4091;Terque;59;2;8;17;0;15;17;2;3;8;43;3
201201;Enero de 2012;1;Andalucía;4;Almería;4092;Tíjola;535;30;118;107;28;129;123;76;91;109;206;53
201201;Enero de 2012;1;Andalucía;4;Almería;4093;Turre;564;42;155;96;26;151;94;26;21;168;307;42
201201;Enero de 2012;1;Andalucía;4;Almería;4094;Turrillas;29;1;6;7;2;4;9;1;0;5;23;0
201201;Enero de 2012;1;Andalucía;4;Almería;4095;Uleila del Campo;184;10;42;37;5;40;50;40;16;39;70;19
201201;Enero de 2012;1;Andalucía;4;Almería;4096;Urrácal;36;2;6;5;1;5;17;2;0;6;20;8
201201;Enero de 2012;1;Andalucía;4;Almería;4097;Velefique;33;1;9;11;0;6;6;5;0;11;17;0
201201;Enero de 2012;1;Andalucía;4;Almería;4098;Vélez-Blanco;251;12;51;49;8;61;70;52;16;41;127;15
201201;Enero de 2012;1;Andalucía;4;Almería;4099;Vélez-Rubio;964;60;230;184;42;233;215;179;68;175;450;92
201201;Enero de 2012;1;Andalucía;4;Almería;4100;Vera;2025;92;589;370;81;601;292;295;97;492;1006;135
201201;Enero de 2012;1;Andalucía;4;Almería;4101;Viator;834;64;215;138;50;258;109;36;65;208;435;90
201201;Enero de 2012;1;Andalucía;4;Almería;4102;Vícar;3453;215;1052;637;194;877;478;669;188;696;1535;365
201201;Enero de 2012;1;Andalucía;4;Almería;4103;Zurgena;331;20;79;85;12;53;82;65;13;74;162;17
201201;Enero de 2012;1;Andalucía;4;Almería;4901;Tres Villas, Las;109;3;22;34;1;21;28;27;7;9;61;5
201201;Enero de 2012;1;Andalucía;4;Almería;4902;Ejido, El;11000;566;3423;2143;546;2762;1560;2876;468;1763;4717;1176
201201;Enero de 2012;1;Andalucía;4;Almería;4903;Mojonera, La;1074;62;296;234;81;242;159;359;63;181;337;134
201201;Enero de 2012;1;Andalucía;11;Cádiz;11001;Alcalá de los Gazules;1373;120;308;214;102;412;217;222;40;261;656;194
201201;Enero de 2012;1;Andalucía;11;Cádiz;11002;Alcalá del Valle;1645;89;362;303;85;428;378;807;34;232;506;66
201201;Enero de 2012;1;Andalucía;11;Cádiz;11003;Algar;364;26;74;51;28;105;80;49;23;59;197;36
201201;Enero de 2012;1;Andalucía;11;Cádiz;11004;Algeciras;20157;1192;4809;3519;1179;5346;4112;362;1726;3157;11091;3821
201201;Enero de 2012;1;Andalucía;11;Cádiz;11005;Algodonales;1615;112;368;321;95;398;321;579;43;307;595;91
201201;Enero de 2012;1;Andalucía;11;Cádiz;11006;Arcos de la Frontera;9218;607;2137;1580;514;2436;1944;1571;427;2831;3405;984
201201;Enero de 2012;1;Andalucía;11;Cádiz;11007;Barbate;6616;387;1682;1223;384;1638;1302;814;522;1186;2897;1197
201201;Enero de 2012;1;Andalucía;11;Cádiz;11008;Barrios, Los;4085;284;980;704;299;1084;734;157;556;726;1967;679
201201;Enero de 2012;1;Andalucía;11;Cádiz;11009;Benaocaz;140;13;30;23;10;32;32;5;16;14;85;20
201201;Enero de 2012;1;Andalucía;11;Cádiz;11010;Bornos;2681;170;592;458;155;695;611;1090;53;541;852;145
