;;;;DEMANDANTES DE EMPLEO POR MUNICIPIOS DESGLOSADO POR SEXO, TRAMOS DE EDAD Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;total Dtes Empleo;Dtes Empleo hombre edad < 25;Dtes Empleo hombre edad 25 -45 ;Dtes Empleo hombre edad >=45;Dtes Empleo mujer edad < 25;Dtes Empleo mujer edad 25 -45 ;Dtes Empleo mujer edad >=45;Dtes EmpleoAgricultura;Dtes Empleo Industria;Dtes Empleo Construcción;Dtes Empleo Servicios;Dtes Empleo Sin empleo Anterior
201801;Enero de 2018;1;Andalucía;4;Almería;4001;Abla;146;3;26;41;6;26;44;44;8;8;85;1
201801;Enero de 2018;1;Andalucía;4;Almería;4002;Abrucena;194;4;24;55;8;36;67;73;3;17;96;5
201801;Enero de 2018;1;Andalucía;4;Almería;4003;Adra;2479;120;442;547;106;660;604;587;91;257;1315;229
201801;Enero de 2018;1;Andalucía;4;Almería;4004;Albánchez;45;1;8;13;4;10;9;4;4;4;32;1
201801;Enero de 2018;1;Andalucía;4;Almería;4005;Alboloduy;93;2;17;26;2;16;30;30;6;4;50;3
201801;Enero de 2018;1;Andalucía;4;Almería;4006;Albox;1167;45;231;222;57;294;318;185;56;166;688;72
201801;Enero de 2018;1;Andalucía;4;Almería;4007;Alcolea;179;9;19;61;7;26;57;74;4;14;84;3
201801;Enero de 2018;1;Andalucía;4;Almería;4008;Alcóntar;56;0;6;16;1;9;24;16;0;8;30;2
201801;Enero de 2018;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;15;0;1;6;0;3;5;3;0;0;12;0
201801;Enero de 2018;1;Andalucía;4;Almería;4010;Alhabia;117;4;22;37;4;30;20;20;17;29;42;9
201801;Enero de 2018;1;Andalucía;4;Almería;4011;Alhama de Almería;469;19;83;102;24;117;124;60;34;38;296;41
201801;Enero de 2018;1;Andalucía;4;Almería;4012;Alicún;38;0;6;12;2;5;13;4;3;2;28;1
201801;Enero de 2018;1;Andalucía;4;Almería;4013;Almería;23518;968;4460;5154;1025;6069;5842;1900;763;2295;15741;2819
201801;Enero de 2018;1;Andalucía;4;Almería;4014;Almócita;16;0;4;4;0;4;4;1;1;1;12;1
201801;Enero de 2018;1;Andalucía;4;Almería;4015;Alsodux;17;1;2;5;0;4;5;4;1;1;11;0
201801;Enero de 2018;1;Andalucía;4;Almería;4016;Antas;190;8;28;39;4;49;62;43;5;10;121;11
201801;Enero de 2018;1;Andalucía;4;Almería;4017;Arboleas;206;12;29;41;14;56;54;26;12;29;125;14
201801;Enero de 2018;1;Andalucía;4;Almería;4018;Armuña de Almanzora;33;0;8;7;1;9;8;8;0;6;16;3
201801;Enero de 2018;1;Andalucía;4;Almería;4019;Bacares;28;2;2;6;0;2;16;8;1;0;19;0
201801;Enero de 2018;1;Andalucía;4;Almería;4020;Bayárcal;39;0;2;12;2;10;13;19;1;1;18;0
201801;Enero de 2018;1;Andalucía;4;Almería;4021;Bayarque;21;1;1;4;0;6;9;1;0;3;17;0
201801;Enero de 2018;1;Andalucía;4;Almería;4022;Bédar;52;3;4;22;2;8;13;2;2;3;38;7
201801;Enero de 2018;1;Andalucía;4;Almería;4023;Beires;10;0;2;4;0;1;3;1;0;1;8;0
201801;Enero de 2018;1;Andalucía;4;Almería;4024;Benahadux;481;26;65;99;20;150;121;32;22;44;336;47
201801;Enero de 2018;1;Andalucía;4;Almería;4026;Benitagla;7;0;3;1;0;2;1;0;0;0;7;0
201801;Enero de 2018;1;Andalucía;4;Almería;4027;Benizalón;38;0;9;11;2;6;10;10;1;2;25;0
201801;Enero de 2018;1;Andalucía;4;Almería;4028;Bentarique;38;0;6;12;2;3;15;12;0;4;21;1
201801;Enero de 2018;1;Andalucía;4;Almería;4029;Berja;1532;63;286;383;70;367;363;402;49;217;756;108
201801;Enero de 2018;1;Andalucía;4;Almería;4030;Canjáyar;251;8;34;84;7;40;78;65;2;26;147;11
201801;Enero de 2018;1;Andalucía;4;Almería;4031;Cantoria;348;11;45;85;11;81;115;56;27;42;200;23
201801;Enero de 2018;1;Andalucía;4;Almería;4032;Carboneras;805;34;170;184;20;215;182;155;65;52;476;57
201801;Enero de 2018;1;Andalucía;4;Almería;4033;Castro de Filabres;16;0;2;3;0;3;8;8;1;0;7;0
201801;Enero de 2018;1;Andalucía;4;Almería;4034;Cóbdar;23;0;5;8;0;4;6;6;0;0;17;0
201801;Enero de 2018;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;1525;60;319;275;73;419;379;425;38;111;861;90
201801;Enero de 2018;1;Andalucía;4;Almería;4036;Chercos;33;1;4;5;3;9;11;11;4;1;16;1
201801;Enero de 2018;1;Andalucía;4;Almería;4037;Chirivel;138;9;20;41;2;20;46;34;1;7;86;10
201801;Enero de 2018;1;Andalucía;4;Almería;4038;Dalías;313;9;58;85;12;67;82;82;9;36;161;25
201801;Enero de 2018;1;Andalucía;4;Almería;4041;Enix;27;0;7;5;1;8;6;4;1;3;18;1
201801;Enero de 2018;1;Andalucía;4;Almería;4043;Felix;51;0;5;15;3;10;18;15;2;1;32;1
201801;Enero de 2018;1;Andalucía;4;Almería;4044;Fines;259;10;42;69;12;55;71;26;46;23;145;19
201801;Enero de 2018;1;Andalucía;4;Almería;4045;Fiñana;416;13;58;97;11;95;142;162;18;21;195;20
201801;Enero de 2018;1;Andalucía;4;Almería;4046;Fondón;118;2;14;45;1;15;41;29;25;11;51;2
201801;Enero de 2018;1;Andalucía;4;Almería;4047;Gádor;431;27;81;104;27;108;84;63;25;37;250;56
