x,y,embalse_nombre,demarcación_hidrografica,cauce,google,openstreetmap,wikidata,image,imagen,uso,provincia,coordenadas
36.1536149680001,-5.64973106899993,ALMODOVAR,GUADALETE Y BARBATE,RÍO ALMODÓVAR,,,https://www.wikidata.org/wiki/Q5369429,,,"Abastecimiento,Defensa frente avenidas",Cádiz,"36.1536149680001,-5.64973106899993"
42.7228732190001,-0.462683542999969,IBON DE IP,EBRO,BARRANCO DE IP,,,https://www.wikidata.org/wiki/Q23999337,,,Hidroeléctrico,Huesca,"42.7228732190001,-0.462683542999969"
38.095561881,-3.83109787299998,ZOCUECA,GUADALQUIVIR,RÍO  RUMBLAR,,,,,,"Abastecimiento,Defensa frente avenidas",Jaén,"38.095561881,-3.83109787299998"
43.277117956,-1.77374675199997,SAN ANTON,CANTABRICO ORIENTAL,RIO ENDARA,,,,,,Abastecimiento,Navarra,"43.277117956,-1.77374675199997"
38.0602631900001,-1.48765333199998,"CIERVA, LA",SEGURA,RIO MULA,,,https://www.wikidata.org/wiki/Q107738426,,,"Abastecimiento,Defensa frente avenidas",Murcia,"38.0602631900001,-1.48765333199998"
42.7450247100001,-0.352936039999975,ESCARRA,EBRO,RÍO ESCARRA,,,https://www.wikidata.org/wiki/Q95675526,,,Abastecimiento,Huesca,"42.7450247100001,-0.352936039999975"
38.738908709,-4.80134611699998,CASTILSERAS,GUADIANA,RIO VALDEAZOGUES,,,,,,"Abastecimiento,Defensa frente avenidas",Ciudad Real,"38.738908709,-4.80134611699998"
41.133459546,0.958540952000021,RIUDECANYES,CUENCAS INTERNAS DE CATALUÑA,RIERA DE RIUDECANYES,,,,,,"Abastecimiento,Defensa frente avenidas",Tarragona,"41.133459546,0.958540952000021"
42.916911187,-2.23343148499993,URDALUR,EBRO,RÍO ALTZANIA,,,,,,Abastecimiento,Navarra,"42.916911187,-2.23343148499993"
41.403921299,-5.27303186899996,SAN JOSE,DUERO,RÍO DUERO,,,,,,"Abastecimiento,Defensa frente avenidas",Valladolid,"41.403921299,-5.27303186899996"
