cuenca_hidrografica,embalse_nombre,fecha,capacidad_total,volumen_actual,porcentaje_actual,mes,año
Miño - Sil,Albarellos,2012-01-03,91.0,29.0,31.87,1,2012
Miño - Sil,Albarellos,2012-01-10,91.0,30.0,32.97,1,2012
Miño - Sil,Albarellos,2012-01-17,91.0,26.0,28.57,1,2012
Miño - Sil,Albarellos,2012-01-24,91.0,29.0,31.87,1,2012
Miño - Sil,Albarellos,2012-01-31,91.0,32.0,35.16,1,2012
Miño - Sil,Albarellos,2012-02-07,91.0,33.0,36.26,2,2012
Miño - Sil,Albarellos,2012-02-14,91.0,34.0,37.36,2,2012
Miño - Sil,Albarellos,2012-02-21,91.0,34.0,37.36,2,2012
Miño - Sil,Albarellos,2012-02-28,91.0,35.0,38.46,2,2012
Miño - Sil,Albarellos,2012-03-06,91.0,36.0,39.56,3,2012
Miño - Sil,Albarellos,2012-03-13,91.0,37.0,40.66,3,2012
Miño - Sil,Albarellos,2012-03-20,91.0,38.0,41.76,3,2012
Miño - Sil,Albarellos,2012-03-27,91.0,39.0,42.86,3,2012
Miño - Sil,Albarellos,2012-04-03,91.0,39.0,42.86,4,2012
Miño - Sil,Albarellos,2012-04-10,91.0,38.0,41.76,4,2012
Miño - Sil,Albarellos,2012-04-17,91.0,39.0,42.86,4,2012
Miño - Sil,Albarellos,2012-04-24,91.0,48.0,52.75,4,2012
Miño - Sil,Albarellos,2012-05-01,91.0,47.0,51.65,5,2012
Miño - Sil,Albarellos,2012-05-08,91.0,49.0,53.85,5,2012
Miño - Sil,Albarellos,2012-05-15,91.0,51.0,56.04,5,2012
Miño - Sil,Albarellos,2012-05-22,91.0,51.0,56.04,5,2012
Miño - Sil,Albarellos,2012-05-29,91.0,54.0,59.34,5,2012
Miño - Sil,Albarellos,2012-06-05,91.0,49.0,53.85,6,2012
Miño - Sil,Albarellos,2012-06-12,91.0,51.0,56.04,6,2012
Miño - Sil,Albarellos,2012-06-19,91.0,54.0,59.34,6,2012
Miño - Sil,Albarellos,2012-06-26,91.0,56.0,61.54,6,2012
Miño - Sil,Albarellos,2012-07-03,91.0,53.0,58.24,7,2012
Miño - Sil,Albarellos,2012-07-10,91.0,54.0,59.34,7,2012
Miño - Sil,Albarellos,2012-07-17,91.0,55.0,60.44,7,2012
Miño - Sil,Albarellos,2012-07-24,91.0,56.0,61.54,7,2012
Miño - Sil,Albarellos,2012-07-31,91.0,54.0,59.34,7,2012
Miño - Sil,Albarellos,2012-08-07,91.0,52.0,57.14,8,2012
Miño - Sil,Albarellos,2012-08-14,91.0,43.0,47.25,8,2012
Miño - Sil,Albarellos,2012-08-21,91.0,40.0,43.96,8,2012
Miño - Sil,Albarellos,2012-08-28,91.0,37.0,40.66,8,2012
Miño - Sil,Albarellos,2012-09-04,91.0,37.0,40.66,9,2012
Miño - Sil,Albarellos,2012-09-11,91.0,36.0,39.56,9,2012
Miño - Sil,Albarellos,2012-09-18,91.0,34.0,37.36,9,2012
Miño - Sil,Albarellos,2012-09-25,91.0,33.0,36.26,9,2012
Miño - Sil,Albarellos,2012-10-02,91.0,32.0,35.16,10,2012
Miño - Sil,Albarellos,2012-10-09,91.0,32.0,35.16,10,2012
Miño - Sil,Albarellos,2012-10-16,91.0,31.0,34.07,10,2012
Miño - Sil,Albarellos,2012-10-23,91.0,31.0,34.07,10,2012
Miño - Sil,Albarellos,2012-10-30,91.0,30.0,32.97,10,2012
Miño - Sil,Albarellos,2012-11-06,91.0,26.0,28.57,11,2012
Miño - Sil,Albarellos,2012-11-13,91.0,25.0,27.47,11,2012
Miño - Sil,Albarellos,2012-11-20,91.0,24.0,26.37,11,2012
Miño - Sil,Albarellos,2012-11-27,91.0,23.0,25.27,11,2012
Miño - Sil,Albarellos,2012-12-04,91.0,23.0,25.27,12,2012
Miño - Sil,Albarellos,2012-12-11,91.0,26.0,28.57,12,2012
Miño - Sil,Albarellos,2012-12-18,91.0,46.0,50.55,12,2012
Miño - Sil,Albarellos,2012-12-25,91.0,43.0,47.25,12,2012
Miño - Sil,Albarellos,2013-01-01,91.0,37.0,40.66,1,2013
Miño - Sil,Albarellos,2013-01-08,91.0,34.0,37.36,1,2013
Miño - Sil,Albarellos,2013-01-15,91.0,32.0,35.16,1,2013
Miño - Sil,Albarellos,2013-01-22,91.0,51.0,56.04,1,2013
Miño - Sil,Albarellos,2013-01-29,91.0,47.0,51.65,1,2013
Miño - Sil,Albarellos,2013-02-05,91.0,50.0,54.95,2,2013
Miño - Sil,Albarellos,2013-02-12,91.0,43.0,47.25,2,2013
Miño - Sil,Albarellos,2013-02-19,91.0,42.0,46.15,2,2013
Miño - Sil,Albarellos,2013-02-26,91.0,45.0,49.45,2,2013
Miño - Sil,Albarellos,2013-03-05,91.0,42.0,46.15,3,2013
Miño - Sil,Albarellos,2013-03-12,91.0,46.0,50.55,3,2013
Miño - Sil,Albarellos,2013-03-19,91.0,50.0,54.95,3,2013
Miño - Sil,Albarellos,2013-03-26,91.0,39.0,42.86,3,2013
Miño - Sil,Albarellos,2013-04-02,91.0,51.0,56.04,4,2013
Miño - Sil,Albarellos,2013-04-09,91.0,58.0,63.74,4,2013
Miño - Sil,Albarellos,2013-04-16,91.0,65.0,71.43,4,2013
Miño - Sil,Albarellos,2013-04-23,91.0,64.0,70.33,4,2013
Miño - Sil,Albarellos,2013-04-30,91.0,58.0,63.74,4,2013
Miño - Sil,Albarellos,2013-05-07,91.0,55.0,60.44,5,2013
Miño - Sil,Albarellos,2013-05-14,91.0,56.0,61.54,5,2013
Miño - Sil,Albarellos,2013-05-21,91.0,56.0,61.54,5,2013
Miño - Sil,Albarellos,2013-05-28,91.0,60.0,65.93,5,2013
Miño - Sil,Albarellos,2013-06-04,91.0,62.0,68.13,6,2013
Miño - Sil,Albarellos,2013-06-11,91.0,61.0,67.03,6,2013
Miño - Sil,Albarellos,2013-06-18,91.0,62.0,68.13,6,2013
Miño - Sil,Albarellos,2013-06-25,91.0,59.0,64.84,6,2013
Miño - Sil,Albarellos,2013-07-02,91.0,60.0,65.93,7,2013
Miño - Sil,Albarellos,2013-07-09,91.0,56.0,61.54,7,2013
Miño - Sil,Albarellos,2013-07-16,91.0,40.0,43.96,7,2013
Miño - Sil,Albarellos,2013-07-23,91.0,36.0,39.56,7,2013
Miño - Sil,Albarellos,2013-07-30,91.0,34.0,37.36,7,2013
Miño - Sil,Albarellos,2013-08-06,91.0,32.0,35.16,8,2013
Miño - Sil,Albarellos,2013-08-13,91.0,29.0,31.87,8,2013
Miño - Sil,Albarellos,2013-08-20,91.0,24.0,26.37,8,2013
Miño - Sil,Albarellos,2013-08-27,91.0,21.0,23.08,8,2013
Miño - Sil,Albarellos,2013-09-03,91.0,21.0,23.08,9,2013
Miño - Sil,Albarellos,2013-09-10,91.0,21.0,23.08,9,2013
Miño - Sil,Albarellos,2013-09-17,91.0,21.0,23.08,9,2013
Miño - Sil,Albarellos,2013-09-24,91.0,20.0,21.98,9,2013
Miño - Sil,Albarellos,2013-10-01,91.0,21.0,23.08,10,2013
Miño - Sil,Albarellos,2013-10-08,91.0,23.0,25.27,10,2013
Miño - Sil,Albarellos,2013-10-15,91.0,24.0,26.37,10,2013
Miño - Sil,Albarellos,2013-10-22,91.0,30.0,32.97,10,2013
Miño - Sil,Albarellos,2013-10-29,91.0,35.0,38.46,10,2013
Miño - Sil,Albarellos,2013-11-05,91.0,36.0,39.56,11,2013
Miño - Sil,Albarellos,2013-11-12,91.0,39.0,42.86,11,2013
Miño - Sil,Albarellos,2013-11-19,91.0,27.0,29.67,11,2013
Miño - Sil,Albarellos,2013-11-26,91.0,28.0,30.77,11,2013
Miño - Sil,Albarellos,2013-12-03,91.0,22.0,24.18,12,2013
Miño - Sil,Albarellos,2013-12-10,91.0,24.0,26.37,12,2013
Miño - Sil,Albarellos,2013-12-17,91.0,23.0,25.27,12,2013
Miño - Sil,Albarellos,2013-12-24,91.0,20.0,21.98,12,2013
Miño - Sil,Albarellos,2013-12-31,91.0,37.0,40.66,12,2013
Miño - Sil,Albarellos,2014-01-07,91.0,58.0,63.74,1,2014
Miño - Sil,Albarellos,2014-01-14,91.0,53.0,58.24,1,2014
Miño - Sil,Albarellos,2014-01-21,91.0,51.0,56.04,1,2014
Miño - Sil,Albarellos,2014-01-28,91.0,43.0,47.25,1,2014
Miño - Sil,Albarellos,2014-02-04,91.0,43.0,47.25,2,2014
Miño - Sil,Albarellos,2014-02-11,91.0,67.0,73.63,2,2014
Miño - Sil,Albarellos,2014-02-18,91.0,71.0,78.02,2,2014
Miño - Sil,Albarellos,2014-02-25,91.0,63.0,69.23,2,2014
Miño - Sil,Albarellos,2014-03-04,91.0,63.0,69.23,3,2014
Miño - Sil,Albarellos,2014-03-11,91.0,64.0,70.33,3,2014
Miño - Sil,Albarellos,2014-03-18,91.0,54.0,59.34,3,2014
Miño - Sil,Albarellos,2014-03-25,91.0,46.0,50.55,3,2014
Miño - Sil,Albarellos,2014-04-01,91.0,37.0,40.66,4,2014
Miño - Sil,Albarellos,2014-04-08,91.0,37.0,40.66,4,2014
Miño - Sil,Albarellos,2014-04-15,91.0,42.0,46.15,4,2014
Miño - Sil,Albarellos,2014-04-22,91.0,46.0,50.55,4,2014
Miño - Sil,Albarellos,2014-04-29,91.0,47.0,51.65,4,2014
Miño - Sil,Albarellos,2014-05-06,91.0,47.0,51.65,5,2014
Miño - Sil,Albarellos,2014-05-13,91.0,43.0,47.25,5,2014
Miño - Sil,Albarellos,2014-05-20,91.0,45.0,49.45,5,2014
Miño - Sil,Albarellos,2014-05-27,91.0,49.0,53.85,5,2014
Miño - Sil,Albarellos,2014-06-03,91.0,49.0,53.85,6,2014
Miño - Sil,Albarellos,2014-06-10,91.0,51.0,56.04,6,2014
Miño - Sil,Albarellos,2014-06-17,91.0,50.0,54.95,6,2014
Miño - Sil,Albarellos,2014-06-24,91.0,50.0,54.95,6,2014
Miño - Sil,Albarellos,2014-07-01,91.0,49.0,53.85,7,2014
Miño - Sil,Albarellos,2014-07-08,91.0,51.0,56.04,7,2014
Miño - Sil,Albarellos,2014-07-15,91.0,52.0,57.14,7,2014
Miño - Sil,Albarellos,2014-07-22,91.0,52.0,57.14,7,2014
Miño - Sil,Albarellos,2014-07-29,91.0,47.0,51.65,7,2014
Miño - Sil,Albarellos,2014-08-05,91.0,46.0,50.55,8,2014
Miño - Sil,Albarellos,2014-08-12,91.0,44.0,48.35,8,2014
Miño - Sil,Albarellos,2014-08-19,91.0,44.0,48.35,8,2014
Miño - Sil,Albarellos,2014-08-26,91.0,41.0,45.05,8,2014
Miño - Sil,Albarellos,2014-09-02,91.0,35.0,38.46,9,2014
Miño - Sil,Albarellos,2014-09-09,91.0,27.0,29.67,9,2014
Miño - Sil,Albarellos,2014-09-16,91.0,22.0,24.18,9,2014
Miño - Sil,Albarellos,2014-09-23,91.0,25.0,27.47,9,2014
Miño - Sil,Albarellos,2014-09-30,91.0,25.0,27.47,9,2014
Miño - Sil,Albarellos,2014-10-07,91.0,22.0,24.18,10,2014
Miño - Sil,Albarellos,2014-10-14,91.0,25.0,27.47,10,2014
Miño - Sil,Albarellos,2014-10-21,91.0,36.0,39.56,10,2014
Miño - Sil,Albarellos,2014-10-28,91.0,26.0,28.57,10,2014
Miño - Sil,Albarellos,2014-11-04,91.0,22.0,24.18,11,2014
Miño - Sil,Albarellos,2014-11-11,91.0,22.0,24.18,11,2014
Miño - Sil,Albarellos,2014-11-18,91.0,35.0,38.46,11,2014
Miño - Sil,Albarellos,2014-11-25,91.0,29.0,31.87,11,2014
Miño - Sil,Albarellos,2014-12-02,91.0,23.0,25.27,12,2014
Miño - Sil,Albarellos,2014-12-09,91.0,22.0,24.18,12,2014
Miño - Sil,Albarellos,2014-12-16,91.0,20.0,21.98,12,2014
Miño - Sil,Albarellos,2014-12-23,91.0,23.0,25.27,12,2014
Miño - Sil,Albarellos,2014-12-30,91.0,21.0,23.08,12,2014
Miño - Sil,Albarellos,2015-01-06,91.0,23.0,25.27,1,2015
Miño - Sil,Albarellos,2015-01-13,91.0,21.0,23.08,1,2015
Miño - Sil,Albarellos,2015-01-20,91.0,21.0,23.08,1,2015
Miño - Sil,Albarellos,2015-01-27,91.0,21.0,23.08,1,2015
Miño - Sil,Albarellos,2015-02-03,91.0,24.0,26.37,2,2015
Miño - Sil,Albarellos,2015-02-10,91.0,24.0,26.37,2,2015
Miño - Sil,Albarellos,2015-02-17,91.0,23.0,25.27,2,2015
Miño - Sil,Albarellos,2015-02-24,91.0,28.0,30.77,2,2015
Miño - Sil,Albarellos,2015-03-03,91.0,37.0,40.66,3,2015
Miño - Sil,Albarellos,2015-03-10,91.0,43.0,47.25,3,2015
Miño - Sil,Albarellos,2015-03-17,91.0,41.0,45.05,3,2015
Miño - Sil,Albarellos,2015-03-24,91.0,34.0,37.36,3,2015
Miño - Sil,Albarellos,2015-03-31,91.0,33.0,36.26,3,2015
Miño - Sil,Albarellos,2015-04-07,91.0,35.0,38.46,4,2015
Miño - Sil,Albarellos,2015-04-14,91.0,32.0,35.16,4,2015
Miño - Sil,Albarellos,2015-04-21,91.0,33.0,36.26,4,2015
Miño - Sil,Albarellos,2015-04-28,91.0,33.0,36.26,4,2015
Miño - Sil,Albarellos,2015-05-05,91.0,37.0,40.66,5,2015
Miño - Sil,Albarellos,2015-05-12,91.0,41.0,45.05,5,2015
Miño - Sil,Albarellos,2015-05-19,91.0,43.0,47.25,5,2015
Miño - Sil,Albarellos,2015-05-26,91.0,45.0,49.45,5,2015
Miño - Sil,Albarellos,2015-06-02,91.0,46.0,50.55,6,2015
Miño - Sil,Albarellos,2015-06-09,91.0,43.0,47.25,6,2015
Miño - Sil,Albarellos,2015-06-16,91.0,40.0,43.96,6,2015
Miño - Sil,Albarellos,2015-06-23,91.0,40.0,43.96,6,2015
Miño - Sil,Albarellos,2015-06-30,91.0,39.0,42.86,6,2015
Miño - Sil,Albarellos,2015-07-07,91.0,38.0,41.76,7,2015
Miño - Sil,Albarellos,2015-07-14,91.0,37.0,40.66,7,2015
Miño - Sil,Albarellos,2015-07-21,91.0,37.0,40.66,7,2015
Miño - Sil,Albarellos,2015-07-28,91.0,37.0,40.66,7,2015
Miño - Sil,Albarellos,2015-08-04,91.0,37.0,40.66,8,2015
Miño - Sil,Albarellos,2015-08-11,91.0,35.0,38.46,8,2015
Miño - Sil,Albarellos,2015-08-18,91.0,35.0,38.46,8,2015
Miño - Sil,Albarellos,2015-08-25,91.0,35.0,38.46,8,2015
Miño - Sil,Albarellos,2015-09-01,91.0,36.0,39.56,9,2015
Miño - Sil,Albarellos,2015-09-08,91.0,36.0,39.56,9,2015
Miño - Sil,Albarellos,2015-09-15,91.0,36.0,39.56,9,2015
Miño - Sil,Albarellos,2015-09-22,91.0,43.0,47.25,9,2015
Miño - Sil,Albarellos,2015-09-29,91.0,43.0,47.25,9,2015
Miño - Sil,Albarellos,2015-10-06,91.0,37.0,40.66,10,2015
Miño - Sil,Albarellos,2015-10-13,91.0,42.0,46.15,10,2015
Miño - Sil,Albarellos,2015-10-20,91.0,40.0,43.96,10,2015
Miño - Sil,Albarellos,2015-10-27,91.0,35.0,38.46,10,2015
Miño - Sil,Albarellos,2015-11-03,91.0,40.0,43.96,11,2015
Miño - Sil,Albarellos,2015-11-10,91.0,42.0,46.15,11,2015
Miño - Sil,Albarellos,2015-11-17,91.0,31.0,34.07,11,2015
Miño - Sil,Albarellos,2015-11-24,91.0,24.0,26.37,11,2015
Miño - Sil,Albarellos,2015-12-01,91.0,21.0,23.08,12,2015
Miño - Sil,Albarellos,2015-12-08,91.0,22.0,24.18,12,2015
Miño - Sil,Albarellos,2015-12-15,91.0,24.0,26.37,12,2015
Miño - Sil,Albarellos,2015-12-22,91.0,29.0,31.87,12,2015
Miño - Sil,Albarellos,2015-12-29,91.0,33.0,36.26,12,2015
Miño - Sil,Albarellos,2016-01-05,91.0,44.0,48.35,1,2016
Miño - Sil,Albarellos,2016-01-12,91.0,77.0,84.62,1,2016
Miño - Sil,Albarellos,2016-01-19,91.0,65.0,71.43,1,2016
Miño - Sil,Albarellos,2016-01-26,91.0,48.0,52.75,1,2016
Miño - Sil,Albarellos,2016-02-02,91.0,37.0,40.66,2,2016
Miño - Sil,Albarellos,2016-02-09,91.0,26.0,28.57,2,2016
Miño - Sil,Albarellos,2016-02-16,91.0,65.0,71.43,2,2016
Miño - Sil,Albarellos,2016-02-23,91.0,57.0,62.64,2,2016
Miño - Sil,Albarellos,2016-03-01,91.0,42.0,46.15,3,2016
Miño - Sil,Albarellos,2016-03-08,91.0,42.0,46.15,3,2016
Miño - Sil,Albarellos,2016-03-15,91.0,47.0,51.65,3,2016
Miño - Sil,Albarellos,2016-03-22,91.0,38.0,41.76,3,2016
Miño - Sil,Albarellos,2016-03-29,91.0,41.0,45.05,3,2016
Miño - Sil,Albarellos,2016-04-05,91.0,47.0,51.65,4,2016
Miño - Sil,Albarellos,2016-04-12,91.0,45.0,49.45,4,2016
Miño - Sil,Albarellos,2016-04-19,91.0,46.0,50.55,4,2016
Miño - Sil,Albarellos,2016-04-26,91.0,44.0,48.35,4,2016
Miño - Sil,Albarellos,2016-05-03,91.0,42.0,46.15,5,2016
Miño - Sil,Albarellos,2016-05-10,91.0,45.0,49.45,5,2016
Miño - Sil,Albarellos,2016-05-17,91.0,53.0,58.24,5,2016
Miño - Sil,Albarellos,2016-05-24,91.0,60.0,65.93,5,2016
Miño - Sil,Albarellos,2016-05-31,91.0,59.0,64.84,5,2016
Miño - Sil,Albarellos,2016-06-07,91.0,57.0,62.64,6,2016
Miño - Sil,Albarellos,2016-06-14,91.0,58.0,63.74,6,2016
Miño - Sil,Albarellos,2016-06-21,91.0,62.0,68.13,6,2016
Miño - Sil,Albarellos,2016-06-28,91.0,65.0,71.43,6,2016
Miño - Sil,Albarellos,2016-07-05,91.0,65.0,71.43,7,2016
Miño - Sil,Albarellos,2016-07-12,91.0,59.0,64.84,7,2016
Miño - Sil,Albarellos,2016-07-19,91.0,58.0,63.74,7,2016
Miño - Sil,Albarellos,2016-07-26,91.0,57.0,62.64,7,2016
Miño - Sil,Albarellos,2016-08-02,91.0,56.0,61.54,8,2016
Miño - Sil,Albarellos,2016-08-09,91.0,53.0,58.24,8,2016
Miño - Sil,Albarellos,2016-08-16,91.0,52.0,57.14,8,2016
Miño - Sil,Albarellos,2016-08-23,91.0,52.0,57.14,8,2016
Miño - Sil,Albarellos,2016-08-30,91.0,51.0,56.04,8,2016
Miño - Sil,Albarellos,2016-09-06,91.0,47.0,51.65,9,2016
Miño - Sil,Albarellos,2016-09-13,91.0,43.0,47.25,9,2016
Miño - Sil,Albarellos,2016-09-20,91.0,43.0,47.25,9,2016
Miño - Sil,Albarellos,2016-09-27,91.0,38.0,41.76,9,2016
Miño - Sil,Albarellos,2016-10-04,91.0,34.0,37.36,10,2016
Miño - Sil,Albarellos,2016-10-11,91.0,25.0,27.47,10,2016
Miño - Sil,Albarellos,2016-10-18,91.0,23.0,25.27,10,2016
Miño - Sil,Albarellos,2016-10-25,91.0,22.0,24.18,10,2016
Miño - Sil,Albarellos,2016-11-01,91.0,22.0,24.18,11,2016
Miño - Sil,Albarellos,2016-11-08,91.0,20.0,21.98,11,2016
Miño - Sil,Albarellos,2016-11-15,91.0,21.0,23.08,11,2016
Miño - Sil,Albarellos,2016-11-22,91.0,22.0,24.18,11,2016
Miño - Sil,Albarellos,2016-11-29,91.0,21.0,23.08,11,2016
Miño - Sil,Albarellos,2016-12-06,91.0,23.0,25.27,12,2016
Miño - Sil,Albarellos,2016-12-13,91.0,24.0,26.37,12,2016
Miño - Sil,Albarellos,2016-12-20,91.0,23.0,25.27,12,2016
Miño - Sil,Albarellos,2016-12-27,91.0,24.0,26.37,12,2016
Miño - Sil,Albarellos,2017-01-03,91.0,25.0,27.47,1,2017
Miño - Sil,Albarellos,2017-01-10,91.0,24.0,26.37,1,2017
Miño - Sil,Albarellos,2017-01-17,91.0,22.0,24.18,1,2017
Miño - Sil,Albarellos,2017-01-24,91.0,20.0,21.98,1,2017
Miño - Sil,Albarellos,2017-01-31,91.0,21.0,23.08,1,2017
Miño - Sil,Albarellos,2017-02-07,91.0,52.0,57.14,2,2017
Miño - Sil,Albarellos,2017-02-14,91.0,50.0,54.95,2,2017
Miño - Sil,Albarellos,2017-02-21,91.0,48.0,52.75,2,2017
Miño - Sil,Albarellos,2017-02-28,91.0,49.0,53.85,2,2017
Miño - Sil,Albarellos,2017-03-07,91.0,52.0,57.14,3,2017
Miño - Sil,Albarellos,2017-03-14,91.0,53.0,58.24,3,2017
Miño - Sil,Albarellos,2017-03-21,91.0,56.0,61.54,3,2017
Miño - Sil,Albarellos,2017-03-28,91.0,49.0,53.85,3,2017
Miño - Sil,Albarellos,2017-04-04,91.0,47.0,51.65,4,2017
Miño - Sil,Albarellos,2017-04-11,91.0,43.0,47.25,4,2017
Miño - Sil,Albarellos,2017-04-18,91.0,43.0,47.25,4,2017
Miño - Sil,Albarellos,2017-04-25,91.0,45.0,49.45,4,2017
Miño - Sil,Albarellos,2017-05-02,91.0,47.0,51.65,5,2017
Miño - Sil,Albarellos,2017-05-09,91.0,48.0,52.75,5,2017
Miño - Sil,Albarellos,2017-05-16,91.0,53.0,58.24,5,2017
Miño - Sil,Albarellos,2017-05-23,91.0,51.0,56.04,5,2017
Miño - Sil,Albarellos,2017-05-30,91.0,41.0,45.05,5,2017
Miño - Sil,Albarellos,2017-06-06,91.0,38.0,41.76,6,2017
Miño - Sil,Albarellos,2017-06-13,91.0,39.0,42.86,6,2017
Miño - Sil,Albarellos,2017-06-20,91.0,40.0,43.96,6,2017
Miño - Sil,Albarellos,2017-06-27,91.0,39.0,42.86,6,2017
Miño - Sil,Albarellos,2017-07-04,91.0,39.0,42.86,7,2017
Miño - Sil,Albarellos,2017-07-11,91.0,40.0,43.96,7,2017
Miño - Sil,Albarellos,2017-07-18,91.0,40.0,43.96,7,2017
Miño - Sil,Albarellos,2017-07-25,91.0,40.0,43.96,7,2017
Miño - Sil,Albarellos,2017-08-01,91.0,39.0,42.86,8,2017
Miño - Sil,Albarellos,2017-08-08,91.0,39.0,42.86,8,2017
Miño - Sil,Albarellos,2017-08-15,91.0,39.0,42.86,8,2017
Miño - Sil,Albarellos,2017-08-22,91.0,39.0,42.86,8,2017
Miño - Sil,Albarellos,2017-08-29,91.0,39.0,42.86,8,2017
Miño - Sil,Albarellos,2017-09-05,91.0,38.0,41.76,9,2017
Miño - Sil,Albarellos,2017-09-12,91.0,31.0,34.07,9,2017
Miño - Sil,Albarellos,2017-09-19,91.0,29.0,31.87,9,2017
Miño - Sil,Albarellos,2017-09-26,91.0,29.0,31.87,9,2017
Miño - Sil,Albarellos,2017-10-03,91.0,27.0,29.67,10,2017
Miño - Sil,Albarellos,2017-10-10,91.0,27.0,29.67,10,2017
Miño - Sil,Albarellos,2017-10-17,91.0,26.0,28.57,10,2017
Miño - Sil,Albarellos,2017-10-24,91.0,26.0,28.57,10,2017
Miño - Sil,Albarellos,2017-10-31,91.0,26.0,28.57,10,2017
Miño - Sil,Albarellos,2017-11-07,91.0,26.0,28.57,11,2017
Miño - Sil,Albarellos,2017-11-14,91.0,24.0,26.37,11,2017
Miño - Sil,Albarellos,2017-11-21,91.0,22.0,24.18,11,2017
Miño - Sil,Albarellos,2017-11-28,91.0,22.0,24.18,11,2017
Miño - Sil,Albarellos,2017-12-05,91.0,21.0,23.08,12,2017
Miño - Sil,Albarellos,2017-12-12,91.0,27.0,29.67,12,2017
Miño - Sil,Albarellos,2017-12-19,91.0,35.0,38.46,12,2017
Miño - Sil,Albarellos,2017-12-26,91.0,34.0,37.36,12,2017
Miño - Sil,Albarellos,2018-01-02,91.0,42.0,46.15,1,2018
Miño - Sil,Albarellos,2018-01-09,91.0,50.0,54.95,1,2018
Miño - Sil,Albarellos,2018-01-16,91.0,39.0,42.86,1,2018
Miño - Sil,Albarellos,2018-01-23,91.0,31.0,34.07,1,2018
Miño - Sil,Albarellos,2018-01-30,91.0,37.0,40.66,1,2018
Miño - Sil,Albarellos,2018-02-06,91.0,37.0,40.66,2,2018
Miño - Sil,Albarellos,2018-02-13,91.0,29.0,31.87,2,2018
Miño - Sil,Albarellos,2018-02-20,91.0,38.0,41.76,2,2018
Miño - Sil,Albarellos,2018-02-27,91.0,31.0,34.07,2,2018
Miño - Sil,Albarellos,2018-03-06,91.0,23.0,25.27,3,2018
Miño - Sil,Albarellos,2018-03-13,91.0,33.0,36.26,3,2018
Miño - Sil,Albarellos,2018-03-20,91.0,41.0,45.05,3,2018
Miño - Sil,Albarellos,2018-03-27,91.0,30.0,32.97,3,2018
Miño - Sil,Albarellos,2018-04-03,91.0,33.0,36.26,4,2018
Miño - Sil,Albarellos,2018-04-10,91.0,47.0,51.65,4,2018
Miño - Sil,Albarellos,2018-04-17,91.0,47.0,51.65,4,2018
Miño - Sil,Albarellos,2018-04-24,91.0,51.0,56.04,4,2018
Miño - Sil,Albarellos,2018-05-01,91.0,48.0,52.75,5,2018
Miño - Sil,Albarellos,2018-05-08,91.0,52.0,57.14,5,2018
Miño - Sil,Albarellos,2018-05-15,91.0,47.0,51.65,5,2018
Miño - Sil,Albarellos,2018-05-22,91.0,47.0,51.65,5,2018
Miño - Sil,Albarellos,2018-05-29,91.0,47.0,51.65,5,2018
Miño - Sil,Albarellos,2018-06-05,91.0,48.0,52.75,6,2018
Miño - Sil,Albarellos,2018-06-12,91.0,47.0,51.65,6,2018
Miño - Sil,Albarellos,2018-06-19,91.0,49.0,53.85,6,2018
Miño - Sil,Albarellos,2018-06-26,91.0,51.0,56.04,6,2018
Miño - Sil,Albarellos,2018-07-03,91.0,52.0,57.14,7,2018
Miño - Sil,Albarellos,2018-07-10,91.0,54.0,59.34,7,2018
Miño - Sil,Albarellos,2018-07-17,91.0,55.0,60.44,7,2018
Miño - Sil,Albarellos,2018-07-24,91.0,55.0,60.44,7,2018
Miño - Sil,Albarellos,2018-07-31,91.0,45.0,49.45,7,2018
Miño - Sil,Albarellos,2018-08-07,91.0,41.0,45.05,8,2018
Miño - Sil,Albarellos,2018-08-14,91.0,38.0,41.76,8,2018
Miño - Sil,Albarellos,2018-08-21,91.0,38.0,41.76,8,2018
Miño - Sil,Albarellos,2018-08-28,91.0,33.0,36.26,8,2018
Miño - Sil,Albarellos,2018-09-04,91.0,28.0,30.77,9,2018
Miño - Sil,Albarellos,2018-09-11,91.0,27.0,29.67,9,2018
Miño - Sil,Albarellos,2018-09-18,91.0,27.0,29.67,9,2018
Miño - Sil,Albarellos,2018-09-25,91.0,26.0,28.57,9,2018
Miño - Sil,Albarellos,2018-10-02,91.0,24.0,26.37,10,2018
Miño - Sil,Albarellos,2018-10-09,91.0,22.0,24.18,10,2018
Miño - Sil,Albarellos,2018-10-16,91.0,22.0,24.18,10,2018
Miño - Sil,Albarellos,2018-10-23,91.0,22.0,24.18,10,2018
Miño - Sil,Albarellos,2018-10-30,91.0,21.0,23.08,10,2018
Miño - Sil,Albarellos,2018-11-06,91.0,19.0,20.88,11,2018
Miño - Sil,Albarellos,2018-11-13,91.0,35.0,38.46,11,2018
Miño - Sil,Albarellos,2018-11-20,91.0,34.0,37.36,11,2018
Miño - Sil,Albarellos,2018-11-27,91.0,30.0,32.97,11,2018
Miño - Sil,Albarellos,2018-12-04,91.0,33.0,36.26,12,2018
Miño - Sil,Albarellos,2018-12-11,91.0,34.0,37.36,12,2018
Miño - Sil,Albarellos,2018-12-18,91.0,33.0,36.26,12,2018
Miño - Sil,Albarellos,2018-12-25,91.0,36.0,39.56,12,2018
Miño - Sil,Albarellos,2019-01-01,91.0,31.0,34.07,1,2019
Miño - Sil,Albarellos,2019-01-08,91.0,22.0,24.18,1,2019
