Gestor de Red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc ;Nudo 0*;Comentarios;Comunidad Autónoma;Nombre Subestación
R1-299;Almería;Benahadux;546952,9255;4087540,244;54046749;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;NARANJOS
R1-299;Almería;Benahadux;546952,9255;4087540,244;54046749;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;NARANJOS
R1-299;Almería;Benahadux;546952,9255;4087540,244;54046749;25;0;0;14;0;;;LITORAL 400;0;0;;01 - Andalucía;NARANJOS
R1-299;Almería;Níjar;574797,3715;4085788,276;59032775;132;0;0;80;0;;;LITORAL 400;0;0;;01 - Andalucía;PIPACES
R1-299;Almería;Níjar;574797,3715;4085788,276;59032775;20;0;0;2;0;;;LITORAL 400;0;0;;01 - Andalucía;PIPACES
R1-299;Almería;Roquetas de Mar;532097,2434;4064551,121;532266840;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;PLAYA_SE
R1-299;Almería;Roquetas de Mar;532097,2434;4064551,121;532266840;20;0;0;0,3;0;;;BERJA 220;0;0;;01 - Andalucía;PLAYA_SE
R1-299;Almería;Cuevas del Almanzora;606723,8449;4124819,362;531584884;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;PORTILLO
R1-299;Almería;Almería;549665,0856;4075455,372;59032118;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;S_TOMAS
R1-299;Almería;Almería;549665,0856;4075455,372;59032118;20;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;S_TOMAS
R1-299;Almería;Serón;538374,9473;4141234,978;532207529;132;0;0;244,5;0;;;LITORAL 400;0;0;;01 - Andalucía;SERON
R1-299;Almería;Sorbas;575058,7675;4106359,04;533365561;132;0;0;46,8;0;;;LITORAL 400;0;0;;01 - Andalucía;SORBAS
R1-299;Almería;Pulpí;616822,8054;4138597,434;532737819;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;TERREROS
R1-299;Almería;Pulpí;616822,8054;4138597,434;532737819;25;0;0;2,1;0;;;LITORAL 400;0;0;;01 - Andalucía;TERREROS
R1-299;Almería;Ejido, El;517485,0668;4071482,525;532568060;66;0;0;0;0;;;BERJA 220;0;0;;01 - Andalucía;TOMILLAR
R1-299;Almería;Ejido, El;517485,0668;4071482,525;532568060;20;0;0;0,1;0;;;BERJA 220;0;0;;01 - Andalucía;TOMILLAR
R1-299;Almería;Almería;549114,3922;4080329,923;531971251;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;TORRECAR
R1-299;Almería;Almería;549114,3922;4080329,923;531971251;20;0;0;0,1;0;;;LITORAL 400;0;0;;01 - Andalucía;TORRECAR
R1-299;Almería;Almería;559674,4452;4079523,233;531541256;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;TOYO
R1-299;Almería;Almería;559674,4452;4079523,233;531541256;20;0;0;5,4;0;;;LITORAL 400;0;0;;01 - Andalucía;TOYO
R1-299;Almería;Turrillas;567199,5333;4097882,872;532538139;132;0;0;28,9;0;;;LITORAL 400;0;0;;01 - Andalucía;TURRILLA
R1-299;Almería;Vera;598746,2151;4123686,367;532691933;132;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;VERA
R1-299;Almería;Vera;598746,2151;4123686,367;532691933;66;0;0;0;0;;;LITORAL 400;0;0;;01 - Andalucía;VERA
R1-299;Almería;Vera;598746,2151;4123686,367;532691933;25;0;0;14,2;0;;;LITORAL 400;0;0;;01 - Andalucía;VERA
R1-299;Almería;Cuevas del Almanzora;609517,6592;4124211,582;531170481;66;0;0;22,3;0;;;LITORAL 400;0;0;;01 - Andalucía;VILLARIC
R1-299;Almería;Cuevas del Almanzora;609517,6592;4124211,582;531170481;25;0;0;0,2;0;;;LITORAL 400;0;0;;01 - Andalucía;VILLARIC
R1-299;Cádiz;Jerez de la Frontera;224460,2043;4068472,99;531786912;66;0;0;0,1;44;;;MIRABAL 220;0;0;;01 - Andalucía;ABELLO
R1-299;Cádiz;Jerez de la Frontera;223340,4153;4065908,252;531081949;66;0;0;0;0;;;MIRABAL 220;0;0;;01 - Andalucía;ABIERTAS
R1-299;Cádiz;Jerez de la Frontera;223340,4153;4065908,252;531081949;15;0;0;11;1;;;MIRABAL 220;0;0;;01 - Andalucía;ABIERTAS
R1-299;Cádiz;Jerez de la Frontera;224025,807;4069288,817;532723397;66;0;0;37,7;44;;;MIRABAL 220;0;0;;01 - Andalucía;AGROALIM
R1-299;Cádiz;Jerez de la Frontera;224025,807;4069288,817;532723397;15;0;0;11,2;10;;;MIRABAL 220;0;0;;01 - Andalucía;AGROALIM
R1-299;Cádiz;San Roque;289998,6261;4013346,472;59009809;66;0;0;0;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ALCAIDES
R1-299;Cádiz;San Roque;289998,6261;4013346,472;59009809;20;0;0;0,1;0;;;PINAR DE REY 220;0;0;;01 - Andalucía;ALCAIDES
R1-299;Cádiz;San Roque;285094,5475;4006884,879;54032748;66;0;0;113,5;0;;;ALGECIRAS 220;0;0;;01 - Andalucía;ALGECIRA
R1-299;Cádiz;San Roque;285094,5475;4006884,879;54032748;15;0;0;0,2;0;;;ALGECIRAS 220;0;0;;01 - Andalucía;ALGECIRA
R1-299;Cádiz;Algodonales;284645,0811;4083664,84;59018139;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;ALGODONA
R1-299;Cádiz;Algodonales;284645,0811;4083664,84;59018139;20;0;0;7;0;;;CARTUJA 220;0;0;;01 - Andalucía;ALGODONA
R1-299;Cádiz;Jerez de la Frontera;205782,0689;4070351,522;531665566;66;0;0;24;0;;;CARTUJA 220;0;0;;01 - Andalucía;ALIJAR
R1-299;Cádiz;Arcos de la Frontera;247867,4918;4070740,807;59017078;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;ARCOS
R1-299;Cádiz;Arcos de la Frontera;247867,4918;4070740,807;59017078;15;0;0;20;0;;;CARTUJA 220;0;0;;01 - Andalucía;ARCOS
R1-299;Cádiz;Jerez de la Frontera;217652,8778;4066024,753;532175367;66;0;0;0;0;;;CARTUJA 220;0;0;;01 - Andalucía;AREASUR
