;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201401;Enero de 2014;1;Andalucía;4;Almería;31659,8;18514,84;9330,82;2184,26;1629,88
201401;Enero de 2014;1;Andalucía;11;Cádiz;68531,75;37494,12;21677,6;5108,22;4251,81
201401;Enero de 2014;1;Andalucía;14;Córdoba;43056,95;19858,96;12371,46;2200,54;8625,99
201401;Enero de 2014;1;Andalucía;18;Granada;47325,32;24594,68;14058,65;2729,29;5942,7
201401;Enero de 2014;1;Andalucía;21;Huelva;33296;18050,42;9714,29;1703,55;3827,74
201401;Enero de 2014;1;Andalucía;23;Jaén;28234,54;11727,69;7826,97;1527,73;7152,15
201401;Enero de 2014;1;Andalucía;29;Málaga;85428,81;51783,58;24122;5530,23;3993
201401;Enero de 2014;1;Andalucía;41;Sevilla;112080,81;60466,39;32535,88;6001,32;13077,22
201401;Enero de 2014;2;Aragón;22;Huesca;9322,71;7439,94;1648,62;234,15;0
201401;Enero de 2014;2;Aragón;44;Teruel;6328,87;4891,89;1243,79;193,19;0
201401;Enero de 2014;2;Aragón;50;Zaragoza;48168,41;38557,61;8087,52;1523,28;0
201401;Enero de 2014;3;Asturias, Principado de;33;Asturias;53136,05;39358,86;11726,99;2050,2;0
201401;Enero de 2014;4;Balears, Illes;7;Balears, Illes;93169,65;71557,25;20044,88;1567,52;0
201401;Enero de 2014;5;Canarias;35;Palmas, Las;54655,32;33388,26;16233,9;5033,16;0
201401;Enero de 2014;5;Canarias;38;Santa Cruz de Tenerife;50185,19;29904,35;15826,34;4454,5;0
201401;Enero de 2014;6;Cantabria;39;Cantabria;30696,8;23793,08;5866,13;1037,59;0
201401;Enero de 2014;7;Castilla y León;5;Ávila;6939,29;4559,36;1970,45;409,48;0
201401;Enero de 2014;7;Castilla y León;9;Burgos;19084,53;15012,58;3513,22;558,73;0
201401;Enero de 2014;7;Castilla y León;24;León;23178,91;17329,11;5057,65;792,15;0
201401;Enero de 2014;7;Castilla y León;34;Palencia;7246,29;5448,92;1514,73;282,64;0
201401;Enero de 2014;7;Castilla y León;37;Salamanca;14935,33;10644,85;3549,87;740,61;0
201401;Enero de 2014;7;Castilla y León;40;Segovia;6785,08;5329,04;1246,28;209,76;0
201401;Enero de 2014;7;Castilla y León;42;Soria;4364,34;3556,98;702,02;105,34;0
201401;Enero de 2014;7;Castilla y León;47;Valladolid;24037,12;18691,03;4422,29;923,8;0
201401;Enero de 2014;7;Castilla y León;49;Zamora;7865,96;5516,19;2000,07;349,7;0
201401;Enero de 2014;8;Castilla - La Mancha;2;Albacete;20632,09;14154,8;4976,38;1500,91;0
201401;Enero de 2014;8;Castilla - La Mancha;13;Ciudad Real;25601,81;16936,74;6920,05;1745,02;0
201401;Enero de 2014;8;Castilla - La Mancha;16;Cuenca;9352,79;6573;2199,28;580,51;0
201401;Enero de 2014;8;Castilla - La Mancha;19;Guadalajara;13417,45;10323,12;2573,14;521,19;0
201401;Enero de 2014;8;Castilla - La Mancha;45;Toledo;37746,19;26659,94;8898,4;2187,85;0
201401;Enero de 2014;9;Cataluña;8;Barcelona;285365,8;217318,33;58799,06;9248,41;0
201401;Enero de 2014;9;Cataluña;17;Girona;42466,69;31505,84;9783,1;1177,75;0
201401;Enero de 2014;9;Cataluña;25;Lleida;19072,61;14617,88;3854,28;600,45;0
201401;Enero de 2014;9;Cataluña;43;Tarragona;47051,84;34316,6;11000,61;1734,63;0
201401;Enero de 2014;10;Comunitat Valenciana;3;Alicante/Alacant;83894,14;52854,18;24591,95;6448,01;0
201401;Enero de 2014;10;Comunitat Valenciana;12;Castellón/Castelló;28928,79;20022,34;7363,22;1543,23;0
201401;Enero de 2014;10;Comunitat Valenciana;46;Valencia/Valéncia;126020,32;88039,49;30627,96;7352,87;0
201401;Enero de 2014;11;Extremadura;6;Badajoz;41169,84;20713,81;13068,96;2614,22;4772,85
201401;Enero de 2014;11;Extremadura;10;Cáceres;25111,73;13288,82;7592,24;1231,23;2999,44
201401;Enero de 2014;12;Galicia;15;Coruña, A;54514,73;40674,74;11824,7;2015,29;0
201401;Enero de 2014;12;Galicia;27;Lugo;13946,81;10189,66;3226,57;530,58;0
201401;Enero de 2014;12;Galicia;32;Ourense;13559,93;9067,43;3880,71;611,79;0
201401;Enero de 2014;12;Galicia;36;Pontevedra;51562,29;36421,92;12950,54;2189,83;0
201401;Enero de 2014;13;Madrid, Comunidad de;28;Madrid;310772,64;253911,74;48368,21;8492,69;0
201401;Enero de 2014;14;Murcia, Región de;30;Murcia;67157,31;47070,87;15820,79;4265,65;0
201401;Enero de 2014;15;Navarra, Comunidad Foral de;31;Navarra;33245,91;27117,58;5481,36;646,97;0
201401;Enero de 2014;16;País Vasco;1;Araba/Álava;16233,96;13608,65;2382,42;242,89;0
201401;Enero de 2014;16;País Vasco;20;Gipuzkoa;31183,2;25959,31;4766,05;457,84;0
201401;Enero de 2014;16;País Vasco;48;Bizkaia;53975,13;44743,7;8199,73;1031,7;0
201401;Enero de 2014;17;Rioja, La;26;Rioja, La;15596,31;12479,13;2669,58;447,6;0
201401;Enero de 2014;18;Ceuta;51;Ceuta;2829,8;1444;1069,66;316,14;0
201401;Enero de 2014;19;Melilla;52;Melilla;2662,56;1361,84;1008,91;291,81;0
201402;Febrero de 2014;1;Andalucía;4;Almería;30106,42;17175,48;9184,82;2193,44;1552,68
201402;Febrero de 2014;1;Andalucía;11;Cádiz;64891,66;34379,81;21269,33;5213,5;4029,02
201402;Febrero de 2014;1;Andalucía;14;Córdoba;42149,29;19416,82;12326,17;2224,75;8181,55
201402;Febrero de 2014;1;Andalucía;18;Granada;45956,98;23399,49;14041,07;2792,19;5724,23
201402;Febrero de 2014;1;Andalucía;21;Huelva;28873,31;14335,34;9116,45;1749,29;3672,23
201402;Febrero de 2014;1;Andalucía;23;Jaén;27115,37;12155,63;7397,98;1607,56;5954,2
201402;Febrero de 2014;1;Andalucía;29;Málaga;82026,18;48466,19;24001,7;5553,62;4004,67
201402;Febrero de 2014;1;Andalucía;41;Sevilla;109581;57527,73;32711,91;6185,57;13155,79
201402;Febrero de 2014;2;Aragón;22;Huesca;8694,07;6817,14;1636,85;240,08;0
201402;Febrero de 2014;2;Aragón;44;Teruel;5987,81;4577,57;1211,95;198,29;0
201402;Febrero de 2014;2;Aragón;50;Zaragoza;46489,65;36996,55;7918,83;1574,27;0
201402;Febrero de 2014;3;Asturias, Principado de;33;Asturias;51353,79;37640,87;11633,67;2079,25;0
201402;Febrero de 2014;4;Balears, Illes;7;Balears, Illes;80979,14;60315,33;19079,83;1583,98;0
201402;Febrero de 2014;5;Canarias;35;Palmas, Las;53794,26;32695,47;16068,83;5029,96;0
201402;Febrero de 2014;5;Canarias;38;Santa Cruz de Tenerife;49558,91;29427,23;15672,52;4459,16;0
