;;;;GASTOS DE PRESTACIONES POR DESEMPLEO (miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201602;Febrero de 2016;1;Andalucía;41;Sevilla;89819,68;40592,66;29603,35;6452,35;12266,82
201602;Febrero de 2016;2;Aragón;22;Huesca;6241,75;4704,05;1283,58;232,62;0
201602;Febrero de 2016;2;Aragón;44;Teruel;3946,28;2838,46;920,97;166,91;0
201602;Febrero de 2016;2;Aragón;50;Zaragoza;28474,98;20874,93;6113,58;1389,91;0
201602;Febrero de 2016;3;Asturias, Principado de;33;Asturias;34492,88;23554,74;8895,4;1961,89;0
201602;Febrero de 2016;4;Balears, Illes;7;Balears, Illes;73134,54;54875,98;16953,57;1253,74;0
201602;Febrero de 2016;5;Canarias;35;Palmas, Las;43213,42;25251,41;13114,66;4340,72;0
201602;Febrero de 2016;5;Canarias;38;Santa Cruz de Tenerife;40101,43;22059,04;13543,43;4055,65;0
201602;Febrero de 2016;6;Cantabria;39;Cantabria;20583,13;14268,01;5317,53;946,04;0
201602;Febrero de 2016;7;Castilla y León;5;Ávila;5029,21;3000,62;1617,12;362,37;0
201602;Febrero de 2016;7;Castilla y León;9;Burgos;12365,28;8836,4;2969,55;509,96;0
201602;Febrero de 2016;7;Castilla y León;24;León;15302,94;10327,38;4126,35;802,49;0
201602;Febrero de 2016;7;Castilla y León;34;Palencia;4943,86;3445,52;1250,88;228,63;0
201602;Febrero de 2016;7;Castilla y León;37;Salamanca;10118,15;6302,81;3073,84;666,54;0
201602;Febrero de 2016;7;Castilla y León;40;Segovia;4300,79;3049,34;1056,17;182,36;0
201602;Febrero de 2016;7;Castilla y León;42;Soria;2448,75;1762,08;585,33;98,54;0
201602;Febrero de 2016;7;Castilla y León;47;Valladolid;15229,63;10897,14;3462,65;811,61;0
201602;Febrero de 2016;7;Castilla y León;49;Zamora;5423,1;3306,69;1735,29;356,26;0
201602;Febrero de 2016;8;Castilla - La Mancha;2;Albacete;13602,6;7872,49;4245,76;1326,45;0
201602;Febrero de 2016;8;Castilla - La Mancha;13;Ciudad Real;17679,19;9424,47;6078,37;1853,24;0
201602;Febrero de 2016;8;Castilla - La Mancha;16;Cuenca;6243,59;3835,75;1808,8;541,08;0
201602;Febrero de 2016;8;Castilla - La Mancha;19;Guadalajara;8618,4;6128,73;1969,4;471,98;0
201602;Febrero de 2016;8;Castilla - La Mancha;45;Toledo;24419,39;14069,39;7814,04;2244,04;0
201602;Febrero de 2016;9;Cataluña;8;Barcelona;187918,66;134373,11;44714,83;8348,47;0
201602;Febrero de 2016;9;Cataluña;17;Girona;29797,9;20985,23;7637,26;1111,46;0
201602;Febrero de 2016;9;Cataluña;25;Lleida;12798,29;9016,12;3091,82;634,97;0
201602;Febrero de 2016;9;Cataluña;43;Tarragona;32796,28;22211,8;8761,85;1683,29;0
201602;Febrero de 2016;10;Comunitat Valenciana;3;Alicante/Alacant;61156,74;35513,99;19376,85;5660,5;0
201602;Febrero de 2016;10;Comunitat Valenciana;12;Castellón/Castelló;19562,56;11904,8;6052,95;1483,67;0
201602;Febrero de 2016;10;Comunitat Valenciana;46;Valencia/Valéncia;87292,91;54839,57;24700,84;7059,48;0
201602;Febrero de 2016;11;Extremadura;6;Badajoz;34056,85;14989,65;12029,09;2297,14;4430,78
201602;Febrero de 2016;11;Extremadura;10;Cáceres;19711,53;9033,51;6785,69;1087,96;2702,44
201602;Febrero de 2016;12;Galicia;15;Coruña, A;37310,38;25584,73;9645,85;1954,95;0
201602;Febrero de 2016;12;Galicia;27;Lugo;9777,11;6469,88;2734,11;534,35;0
201602;Febrero de 2016;12;Galicia;32;Ourense;9696,82;5864,78;3223,71;564,96;0
201602;Febrero de 2016;12;Galicia;36;Pontevedra;35179,85;22022,96;10914,89;2068,75;0
201602;Febrero de 2016;13;Madrid, Comunidad de;28;Madrid;209838,73;162817,81;38377,85;8173,91;0
201602;Febrero de 2016;14;Murcia, Región de;30;Murcia;46926,66;30684,86;11626,94;4113,69;0
201602;Febrero de 2016;15;Navarra, Comunidad Foral de;31;Navarra;21165,07;16272,43;4208,09;668,96;0
201602;Febrero de 2016;16;País Vasco;1;Araba/Álava;9821,49;7751,08;1837,12;223,65;0
201602;Febrero de 2016;16;País Vasco;20;Gipuzkoa;20071,54;16122,29;3550,88;388,71;0
201602;Febrero de 2016;16;País Vasco;48;Bizkaia;33526,04;26365,26;6319,61;828,09;0
201602;Febrero de 2016;17;Rioja, La;26;Rioja, La;9836,45;7225,29;2142,86;441,33;0
201602;Febrero de 2016;18;Ceuta;51;Ceuta;2427,05;1049,46;852,92;362,85;0
201602;Febrero de 2016;19;Melilla;52;Melilla;2301,4;1112,91;880,95;256,6;0
201603;Marzo de 2016;1;Andalucía;4;Almería;23532,38;12129,44;7653,52;2101;1332,56
201603;Marzo de 2016;1;Andalucía;11;Cádiz;50890,57;23208,42;18052,92;5131,41;3610,93
201603;Marzo de 2016;1;Andalucía;14;Córdoba;37225,5;13823,78;12675,34;2344,24;8077,19
201603;Marzo de 2016;1;Andalucía;18;Granada;38532,82;16648,6;13368,14;2884,92;5202,73
201603;Marzo de 2016;1;Andalucía;21;Huelva;22560,35;9907,18;7684,43;1657,01;3087,06
201603;Marzo de 2016;1;Andalucía;23;Jaén;30552,02;11869,74;10091,9;1789;6543,82
201603;Marzo de 2016;1;Andalucía;29;Málaga;60767,4;31678,94;19954,82;4868,85;3673,8
201603;Marzo de 2016;1;Andalucía;41;Sevilla;87432,69;38348,96;29527,21;6456,06;12138,53
201603;Marzo de 2016;2;Aragón;22;Huesca;5817,72;4322,21;1241,03;232,2;0
201603;Marzo de 2016;2;Aragón;44;Teruel;3577,2;2506,23;886,2;164,12;0
201603;Marzo de 2016;2;Aragón;50;Zaragoza;27392,65;19845,67;6078,06;1368,57;0
201603;Marzo de 2016;3;Asturias, Principado de;33;Asturias;32921,64;22121,52;8772,49;1948,77;0
201603;Marzo de 2016;4;Balears, Illes;7;Balears, Illes;50374,15;33935,04;15162,73;1223,75;0
201603;Marzo de 2016;5;Canarias;35;Palmas, Las;42290,9;24477,95;12933;4364,7;0
201603;Marzo de 2016;5;Canarias;38;Santa Cruz de Tenerife;39348,24;21337,07;13536,58;4015,99;0
201603;Marzo de 2016;6;Cantabria;39;Cantabria;18790,71;12739,66;5057,83;938,39;0
201603;Marzo de 2016;7;Castilla y León;5;Ávila;4925,46;2821,67;1696,15;363,58;0
201603;Marzo de 2016;7;Castilla y León;9;Burgos;11865,87;8386,45;2918,4;509,59;0
201603;Marzo de 2016;7;Castilla y León;24;León;14506,91;9594,58;4054,32;812,03;0
201603;Marzo de 2016;7;Castilla y León;34;Palencia;4725,06;3248,43;1231,35;228,74;0
201603;Marzo de 2016;7;Castilla y León;37;Salamanca;9577,76;5788,37;3058,48;665,5;0
201603;Marzo de 2016;7;Castilla y León;40;Segovia;3899,63;2707,7;997,37;184,15;0
201603;Marzo de 2016;7;Castilla y León;42;Soria;2253,33;1579,75;568,05;101,3;0
201603;Marzo de 2016;7;Castilla y León;47;Valladolid;14273,01;9977,32;3424,79;811,5;0
201603;Marzo de 2016;7;Castilla y León;49;Zamora;5151,78;3084,93;1687,56;355,01;0
201603;Marzo de 2016;8;Castilla - La Mancha;2;Albacete;13048,42;7415,08;4136,22;1330,24;0
201603;Marzo de 2016;8;Castilla - La Mancha;13;Ciudad Real;17423,47;9173,59;6059,42;1839,63;0
201603;Marzo de 2016;8;Castilla - La Mancha;16;Cuenca;5967,56;3621,42;1753,2;538,99;0
201603;Marzo de 2016;8;Castilla - La Mancha;19;Guadalajara;8447,69;5922,47;2002,68;469,89;0
201603;Marzo de 2016;8;Castilla - La Mancha;45;Toledo;23309,71;13177,27;7595,08;2232,09;0
201603;Marzo de 2016;9;Cataluña;8;Barcelona;179400,45;126908,35;43656,67;8337,81;0
201603;Marzo de 2016;9;Cataluña;17;Girona;24637,48;16686,52;6767,47;1116,77;0
201603;Marzo de 2016;9;Cataluña;25;Lleida;11966,88;8277,62;2992,71;638,81;0
201603;Marzo de 2016;9;Cataluña;43;Tarragona;27724,96;17866,51;8044,54;1673,34;0
201603;Marzo de 2016;10;Comunitat Valenciana;3;Alicante/Alacant;57365,76;32248,51;18834,87;5659,56;0
201603;Marzo de 2016;10;Comunitat Valenciana;12;Castellón/Castelló;18468,84;10798,65;6064,03;1478,1;0
201603;Marzo de 2016;10;Comunitat Valenciana;46;Valencia/Valéncia;84468,1;52329,81;24400,49;7030,82;0
201603;Marzo de 2016;11;Extremadura;6;Badajoz;32306,98;13519,29;11795,01;2299,94;4376,37
201603;Marzo de 2016;11;Extremadura;10;Cáceres;18669,61;8080,1;6722,39;1090,65;2668,59
201603;Marzo de 2016;12;Galicia;15;Coruña, A;35177,43;23693,78;9402,32;1954,08;0
201603;Marzo de 2016;12;Galicia;27;Lugo;9001,62;5747;2685,32;530,42;0
201603;Marzo de 2016;12;Galicia;32;Ourense;9125,55;5309,77;3194,01;572,85;0
201603;Marzo de 2016;12;Galicia;36;Pontevedra;33268,94;20407,68;10637,07;2051,67;0
201603;Marzo de 2016;13;Madrid, Comunidad de;28;Madrid;202422,88;156230,56;37578,12;8116,22;0
201603;Marzo de 2016;14;Murcia, Región de;30;Murcia;44606,27;28673,94;11307,04;4102,4;0
201603;Marzo de 2016;15;Navarra, Comunidad Foral de;31;Navarra;20052,93;15271,46;4115,12;650,72;0
201603;Marzo de 2016;16;País Vasco;1;Araba/Álava;9541,38;7504,29;1798,69;228,79;0
201603;Marzo de 2016;16;País Vasco;20;Gipuzkoa;18834,78;14963,09;3472,94;389,78;0
201603;Marzo de 2016;16;País Vasco;48;Bizkaia;32249,31;25176,85;6214,48;846,42;0
201603;Marzo de 2016;17;Rioja, La;26;Rioja, La;9269,59;6703,16;2095,82;441,45;0
201603;Marzo de 2016;18;Ceuta;51;Ceuta;2390,98;1045,61;851,57;335,51;0
201603;Marzo de 2016;19;Melilla;52;Melilla;2111,95;970,98;820,28;261,06;0
201604;Abril de 2016;1;Andalucía;4;Almería;24153,73;12602,14;7817,55;2119,69;1297,22
201604;Abril de 2016;1;Andalucía;11;Cádiz;47673,22;20629,18;17437,58;5114,3;3568,34
201604;Abril de 2016;1;Andalucía;14;Córdoba;37522,66;13353,63;13317,4;2349,54;8169,87
201604;Abril de 2016;1;Andalucía;18;Granada;37487,09;15728,68;13255,49;2873,28;5196,67
201604;Abril de 2016;1;Andalucía;21;Huelva;20776,39;8968,33;7096,09;1628,98;2857,46
201604;Abril de 2016;1;Andalucía;23;Jaén;30206,88;10952,17;10607,9;1794,58;6584,25
