;;;;GASTOS DE PRESTACIONES POR DESEMPLEO ( miles de euros) POR PROVINCIA Y TIPO DE PRESTACIÓN;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Gasto Total Prestación;Gasto Prestación Contributiva;Gasto Subsidio Desempleo;Gasto Renta Activa Inserción;Gasto Subsidio Eventuales Agrarios
201102;Febrero de 2011;7;Castilla y León;34;Palencia;7399;5583;1619;197;0
201102;Febrero de 2011;7;Castilla y León;37;Salamanca;15562;11046;3949;567;0
201102;Febrero de 2011;7;Castilla y León;40;Segovia;6580;5260;1240;80;0
201102;Febrero de 2011;7;Castilla y León;42;Soria;3757;2961;738;58;0
201102;Febrero de 2011;7;Castilla y León;47;Valladolid;24827;19567;4590;670;0
201102;Febrero de 2011;7;Castilla y León;49;Zamora;7919;5750;1928;241;0
201102;Febrero de 2011;8;Castilla - La Mancha;2;Albacete;21909;14520;6541;848;0
201102;Febrero de 2011;8;Castilla - La Mancha;13;Ciudad Real;26969;17671;8501;797;0
201102;Febrero de 2011;8;Castilla - La Mancha;16;Cuenca;9377;6266;2881;230;0
201102;Febrero de 2011;8;Castilla - La Mancha;19;Guadalajara;14556;11234;3178;144;0
201102;Febrero de 2011;8;Castilla - La Mancha;45;Toledo;40281;28540;10912;829;0
201102;Febrero de 2011;9;Cataluña;8;Barcelona;342355;269617;69154;3584;0
201102;Febrero de 2011;9;Cataluña;17;Girona;46876;35078;11428;370;0
201102;Febrero de 2011;9;Cataluña;25;Lleida;20866;15996;4608;262;0
201102;Febrero de 2011;9;Cataluña;43;Tarragona;52547;39117;12678;752;0
201102;Febrero de 2011;10;Comunitat Valenciana;3;Alicante/Alacant;103299;67022;31083;5194;0
201102;Febrero de 2011;10;Comunitat Valenciana;12;Castellón/Castelló;39925;29880;9560;485;0
201102;Febrero de 2011;10;Comunitat Valenciana;46;Valencia/Valéncia;148553;110478;34360;3715;0
201102;Febrero de 2011;11;Extremadura;6;Badajoz;43668;22142;13936;2351;5239
201102;Febrero de 2011;11;Extremadura;10;Cáceres;24735;13596;7021;742;3376
201102;Febrero de 2011;12;Galicia;15;Coruña, A;55000;40713;12815;1472;0
201102;Febrero de 2011;12;Galicia;27;Lugo;13670;10003;3334;333;0
201102;Febrero de 2011;12;Galicia;32;Ourense;14413;9583;4315;515;0
201102;Febrero de 2011;12;Galicia;36;Pontevedra;55557;40600;13465;1492;0
