"term","estimate","std.error","statistic","p.value"
"(Intercept)",13.5497895381715,0.0894196068138694,151.530408385444,0
"NO",0.516810081795974,0.00181062044389496,285.432589441123,0
"O3",-0.114569740367899,0.00135629239697274,-84.4727439478536,0
"PM10",0.235567065079112,0.00159403364761563,147.780484703993,0
"SO2",0.0564937955524814,0.00222499690906518,25.390505183316,5.73895278505695e-142
"Mes_cos",-0.1733208874901,0.0379454857123274,-4.56762864505363,4.93601100692462e-06
"Mes_sin",0.398894888535006,0.0357930027589367,11.1444935542719,7.78612586971783e-29
"Fin_semana",-0.952549086989748,0.0559232234976387,-17.0331577368742,5.24699514239657e-65
