Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*
2021S004707;25/03/2021;8:00;CALL. JOAQUIN COSTA;6;CHAMARTÍN;Colisión frontal;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;14
2021S004707;25/03/2021;8:00;CALL. JOAQUIN COSTA;6;CHAMARTÍN;Colisión frontal;Despejado;Motocicleta hasta 125cc;Conductor;DE 40 A 44 AÑOS;Hombre;06
2021S004697;25/03/2021;7:50;CALL. PAJARONES / CALL. JUPITER;-;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Mujer;06
2021S004697;25/03/2021;7:50;CALL. PAJARONES / CALL. JUPITER;-;BARAJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14
2021S004687;25/03/2021;1:35;AVDA. ANDES / AVDA. ARROYO DEL SANTO;-;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 21 A 24 AÑOS;Hombre;
2021S004687;25/03/2021;1:35;AVDA. ANDES / AVDA. ARROYO DEL SANTO;-;HORTALEZA;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Mujer;
2021S004685;25/03/2021;0:50;CALL. GENERAL RICARDOS;79;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S004685;25/03/2021;0:50;CALL. GENERAL RICARDOS;79;CARABANCHEL;Alcance;Despejado;Camión rígido;Conductor;DE 35 A 39 AÑOS;Hombre;
2021S004693;25/03/2021;0:05;AUTOV. M-30, PK 7,200 CALZADA 2 CENTRAL;-;CIUDAD LINEAL;Choque contra obstáculo fijo;;Furgoneta;Conductor;DE 21 A 24 AÑOS;Hombre;
2021S004989;26/03/2021;23:35;CALL. CLARA DEL REY;54;CHAMARTÍN;Colisión fronto-lateral;Despejado;Turismo;Conductor;DESCONOCIDA;;
2021S004989;26/03/2021;23:35;CALL. CLARA DEL REY;54;CHAMARTÍN;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;07
2021S004862;26/03/2021;23:30;CALL. SERRANO;57;SALAMANCA;Caída;Despejado;VMU eléctrico;Conductor;DE 35 A 39 AÑOS;Hombre;14
2021S004849;26/03/2021;23:25;AUTOV. M-30 / GTA. MARQUES DE VADILLO;-;CARABANCHEL;Caída;Despejado;Motocicleta hasta 125cc;Conductor;DE 25 A 29 AÑOS;Hombre;07
2021S004842;26/03/2021;23:20;CALL. TORRELAGUNA / CALL. MARTINEZ VILLERGAS;-;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;
2021S004842;26/03/2021;23:20;CALL. TORRELAGUNA / CALL. MARTINEZ VILLERGAS;-;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Pasajero;DE 18 A 20 AÑOS;Hombre;
2021S004842;26/03/2021;23:20;CALL. TORRELAGUNA / CALL. MARTINEZ VILLERGAS;-;CIUDAD LINEAL;Choque contra obstáculo fijo;Despejado;Turismo;Conductor;DESCONOCIDA;;
