ID_ACCIDENTE,ANYO,MES,DIA_SEMANA,HORA,COD_PROVINCIA,COD_MUNICIPIO,ISLA,ZONA,ZONA_AGRUPADA,CARRETERA,KM,SENTIDO_1F,TITULARIDAD_VIA,TIPO_VIA,TIPO_ACCIDENTE,TOTAL_MU24H,TOTAL_HG24H,TOTAL_HL24H,TOTAL_VICTIMAS_24H,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,TOTAL_VICTIMAS_30DF,TOTAL_VEHICULOS,TOT_PEAT_MU24H,TOT_BICI_MU24H,TOT_CICLO_MU24H,TOT_MOTO_MU24H,TOT_TUR_MU24H,TOT_FURG_MU24H,TOT_CAM_MENOS3500_MU24H,TOT_CAM_MAS3500_MU24H,TOT_BUS_MU24H,TOT_OTRO_MU24H,TOT_SINESPECIF_MU24H,TOT_PEAT_MU30DF,TOT_BICI_MU30DF,TOT_CICLO_MU30DF,TOT_MOTO_MU30DF,TOT_TUR_MU30DF,TOT_FURG_MU30DF,TOT_CAM_MENOS3500_MU30DF,TOT_CAM_MAS3500_MU30DF,TOT_BUS_MU30DF,TOT_VMP_MU30DF,TOT_OTRO_MU30DF,TOT_SINESPECIF_MU30DF,NUDO,NUDO_INFO,CARRETERA_CRUCE,PRIORI_NORMA,PRIORI_AGENTE,PRIORI_SEMAFORO,PRIORI_VERT_STOP,PRIORI_VERT_CEDA,PRIORI_HORIZ_STOP,PRIORI_HORIZ_CEDA,PRIORI_MARCAS,PRIORI_PEA_NO_ELEV,PRIORI_PEA_ELEV,PRIORI_MARCA_CICLOS,PRIORI_CIRCUNSTANCIAL,PRIORI_OTRA,CONDICION_NIVEL_CIRCULA,CONDICION_FIRME,CONDICION_ILUMINACION,CONDICION_METEO,CONDICION_NIEBLA,CONDICION_VIENTO,VISIB_RESTRINGIDA_POR,ACERA,TRAZADO_PLANTA
16,2024,1,5,15,1,01059,,1,1,A-2134,3,2,3,6,19,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,1
17,2024,1,5,17,1,00000,,3,2,No inventariada,0,4,5,14,19,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,1,998,998
18,2024,1,6,1,1,01059,,3,2,No inventariada,0,4,4,9,2,2,2,1,5,2,2,1,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,1,4,1,,,18,998,998
19,2024,2,5,11,1,01059,,1,1,A-1,352,1,3,3,4,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,,0,0,0,1,1,1,0,0,0,0,0,0,0,1,3,1,2,,,1,998,2
20,2024,10,2,2,1,01059,,3,2,No inventariada,0,4,4,9,10,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,6,9,1,7,,,18,998,998
21,2024,8,7,5,1,01059,,3,2,No inventariada,0,4,4,9,7,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,0,0,1,0,0,0,0,0,0,0,0,0,0,6,9,1,7,,,18,999,998
22,2024,1,2,10,1,00000,,1,1,A-624,55,1,3,14,10,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,999,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1,,,1,998,1
23,2024,1,3,11,1,00000,,1,1,AP-1,111,2,2,1,4,0,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,17,998,2
24,2024,2,5,15,1,00000,,1,1,AP-1,82,1,2,2,16,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,1,3,,,1,998,2
25,2024,2,6,20,1,01059,,1,1,N-624,9,2,5,5,15,0,2,0,2,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,4,1,,,1,998,1
26,2024,2,5,9,1,00000,,1,1,A-624,45,1,3,6,19,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,2,,,1,998,1
27,2024,2,6,13,1,00000,,3,2,No inventariada,0,4,5,14,4,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,998,998
28,2024,1,7,16,1,00000,,1,1,A-132,12,2,3,5,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,998,2
29,2024,2,5,14,1,00000,,1,1,N-240,15,1,5,14,4,0,0,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,2,1,1,2,,,1,998,1
30,2024,2,6,20,1,00000,,1,1,AP-1,80,1,2,2,16,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,6,1,,,1,998,2
31,2024,2,2,5,1,01059,,1,1,A-3302,5,2,3,5,2,0,0,1,1,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,6,2,1,,1,998,1
32,2024,2,6,21,1,01059,,1,1,N-622,5,1,5,5,16,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,6,1,,,1,998,1
33,2024,2,3,18,1,00000,,3,2,No inventariada,0,4,4,9,2,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,3,1,,,1,998,998
34,2024,2,1,12,1,00000,,1,1,A-2120,30,1,3,8,14,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,998,2
35,2024,1,2,13,1,01059,,1,1,A-132,5,1,3,14,2,0,0,3,3,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,,,1,998,1
36,2024,1,4,15,1,00000,,1,1,A-2120,30,2,3,6,12,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,2,,,1,998,1
37,2024,2,1,16,1,00000,,1,1,A-3312,31,2,3,6,20,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,1,1,,,1,998,1
38,2024,2,3,18,1,00000,,1,1,A-1,328,2,3,3,19,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,6,1,,,1,998,1
39,2024,2,5,17,1,00000,,1,1,A-1,339,2,3,3,15,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,2,4,,,1,998,2
40,2024,2,3,3,1,00000,,1,1,AP-68,62,1,2,2,19,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,6,1,,,1,998,1
41,2024,2,1,5,1,01036,,1,1,A-625,369,2,3,6,16,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,3,6,3,,,1,998,3
42,2024,1,1,5,1,00000,,1,1,A-1,372,2,3,3,19,0,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,999,999,999,999,999,999,999,999,999,999,999,999,999,1,1,6,1,,,1,998,1
