trip_minutes,unlock_date,unlock_station_name,lock_station_name
16.28,2022-01-01T00:02:20,Avenida de los Toreros,Plaza de la Independencia
7.1,2022-01-01T00:07:53,Antonio Maura,Manuel Silvela
0.48,2022-01-01T00:09:21,Puerta del Ángel Caído,Puerta del Ángel Caído
6.62,2022-01-01T00:09:52,Marqués de Zafra,Parque Roma
8.07,2022-01-01T00:09:57,Jaime el Conquistador,Jesús y María
6.48,2022-01-01T00:10:00,Plaza Ramales,Plaza Ramales
9.72,2022-01-01T00:10:06,Augusto Figueroa,Plaza de Lavapiés
15.02,2022-01-01T00:10:53,Puerta del Ángel Caído,Plaza de San Juan de la Cruz
28.12,2022-01-01T00:11:29,Castellana 42,Glorieta de Cádiz
0.23,2022-01-01T00:12:48,Puerta de Mariano de Cavia,Puerta de Mariano de Cavia
8.88,2022-01-01T00:12:58,Fernando el Católico,Plaza de Pedro Zerolo
0.22,2022-01-01T00:13:06,Puerta de Mariano de Cavia,Puerta de Mariano de Cavia
14.43,2022-01-01T00:13:23,Retiro-Ibiza,Plaza de la Cebada
6.82,2022-01-01T00:13:24,Puerta de Mariano de Cavia,Batalla del Salado
8.63,2022-01-01T00:13:26,Jacinto Benavente,Paseo de la Esperanza
0.05,2022-01-01T00:13:32,Huertas,Huertas
9.8,2022-01-01T00:14:06,Huertas,Plaza de San Miguel
59.5,2022-01-01T00:14:25,San Vicente Ferrer,Marqués de Vadillo
24.03,2022-01-01T00:15:07,Marqués de Zafra,Puente de Ventas
3.35,2022-01-01T00:15:11,Barceló,Conde Duque
31.53,2022-01-01T00:16:15,Castellana 164,Marqués de Vadillo
7.82,2022-01-01T00:16:27,Corazón de María,Avenida Donostiarra
4.65,2022-01-01T00:17:52,Plaza del Encuentro,Sierra Toledana
0.48,2022-01-01T00:18:27,Embajadores 1,Embajadores 1
22.08,2022-01-01T00:19:08,Sor Ángela de la Cruz,Carlota O’Neill
24.6,2022-01-01T00:19:10,Plaza de la Cebada,Metro Tetuán
11.83,2022-01-01T00:19:13,Embajadores 1,San Vicente Ferrer
0.3,2022-01-01T00:19:16,San Francisco de Sales,San Francisco de Sales
25.28,2022-01-01T00:20:02,Avenida de América 2,Pavones
1.4,2022-01-01T00:20:21,San Francisco de Sales,San Francisco de Sales
0.13,2022-01-01T00:20:38,Plaza del Carmen ,Plaza del Carmen 
15.95,2022-01-01T00:20:54,Plaza de Castilla,Arcipreste de Hita A
11.2,2022-01-01T00:20:59,Plaza del Carmen ,Plaza de Felipe II
12.85,2022-01-01T00:20:59,San Germán 57,Plaza de las Salesas
8.52,2022-01-01T00:21:06,Ayala,Sevilla
0.3,2022-01-01T00:21:14,Puerta de Mariano de Cavia,Puerta de Mariano de Cavia
15.12,2022-01-01T00:21:22,Rubén Darío,Plaza de San Miguel
23.67,2022-01-01T00:21:27,Tres Cruces,Colegio Arquitectos
