trip_minutes,unlock_date,unlock_station_name,lock_station_name
0.37,2022-08-01T00:00:00,53 - Plaza de Lavapiés,53 - Plaza de Lavapiés
10.4,2022-08-01T00:00:10,44 - Plaza de Nelson Mandela,53 - Plaza de Lavapiés
13.32,2022-08-01T00:00:16,229 - C.D. Concepción,196 - Prosperidad
10.43,2022-08-01T00:00:40,86 - Cibeles,16 - San Bernardo
11.23,2022-08-01T00:00:44,210 - Tres Cruces,245 - Galileo
5.58,2022-08-01T00:00:45,211 - Desengaño,8 - Alonso Martínez
10.32,2022-08-01T00:00:45,53 - Plaza de Lavapiés,18 - Plaza de Pedro Zerolo
5.9,2022-08-01T00:00:52,89 - Conde Peñalver,192 - Avenida de los Toreros
16.03,2022-08-01T00:00:56,143 - Diego de León 52,40 - Conde de Romanones
30.28,2022-08-01T00:01:05,194 - Avenida de América 2,164 - Paseo de las Delicias
0.22,2022-08-01T00:01:17,246 - Santa Engracia 87,246 - Santa Engracia 87
19.62,2022-08-01T00:01:24,142 - Castellana 42,227 - Concordia
10.0,2022-08-01T00:01:27,42 - Santa Isabel,68 - Espalter
22.12,2022-08-01T00:01:39,1b - Puerta del Sol B,205 - Estrecho
0.12,2022-08-01T00:01:47,246 - Santa Engracia 87,246 - Santa Engracia 87
12.7,2022-08-01T00:01:55,115 - Ferraz,216 - Puerta del Ángel
20.67,2022-08-01T00:01:55,160 - Colombia,79 - Puerta de Granada
1.3,2022-08-01T00:02:11,13 - Conde Duque,13 - Conde Duque
9.65,2022-08-01T00:02:20,246 - Santa Engracia 87,239 - Francos Rodríguez
10.02,2022-08-01T00:02:50,41 - Antón Martín,171 - Embajadores-Cáceres
0.25,2022-08-01T00:02:55,139 - José Gutiérrez Abascal,139 - José Gutiérrez Abascal
1.6,2022-08-01T00:03:14,62 - O'Donnell,62 - O'Donnell
8.63,2022-08-01T00:03:24,38 - Plaza de los Carros,224 - Caramuel
0.15,2022-08-01T00:03:36,139 - José Gutiérrez Abascal,139 - José Gutiérrez Abascal
3.17,2022-08-01T00:03:53,13 - Conde Duque,127 - Fernando el Católico
8.92,2022-08-01T00:03:56,180 - Méndez Álvaro,226 - Sierra Toledana
28.12,2022-08-01T00:04:05,101 - Jorge Juan,53 - Plaza de Lavapiés
7.02,2022-08-01T00:04:06,5 - Fuencarral,117 - Altamirano
0.72,2022-08-01T00:04:07,216 - Puerta del Ángel,216 - Puerta del Ángel
24.77,2022-08-01T00:04:12,101 - Jorge Juan,51 - Ronda de Atocha
12.43,2022-08-01T00:04:35,116a - Plaza de España A,224 - Caramuel
6.77,2022-08-01T00:04:48,54 - Barceló,117 - Altamirano
7.23,2022-08-01T00:04:48,241 - Camilo José Cela,61 - Narváez
4.78,2022-08-01T00:05:02,59 - Plaza de Juan Pujol,8 - Alonso Martínez
15.68,2022-08-01T00:05:30,245 - Galileo,39 - Plaza de la Cebada
7.92,2022-08-01T00:05:43,62 - O'Donnell,218 - Camino Vinateros
5.08,2022-08-01T00:05:46,50 - Museo Reina Sofía,43 - Jesús y María
0.45,2022-08-01T00:05:50,5 - Fuencarral,5 - Fuencarral
9.75,2022-08-01T00:05:55,36 - Plaza Ramales,167 - Segovia 45
8.2,2022-08-01T00:05:56,116a - Plaza de España A,44 - Plaza de Nelson Mandela
14.4,2022-08-01T00:06:04,216 - Puerta del Ángel,127 - Fernando el Católico
7.87,2022-08-01T00:06:13,34 - Jacinto Benavente,212 - Marqués de Vadillo
12.98,2022-08-01T00:06:31,63 - Ibiza,41 - Antón Martín
3.2,2022-08-01T00:06:34,91 - Príncipe de Vergara,108 - Mártires Concepcionistas
12.97,2022-08-01T00:06:36,63 - Ibiza,41 - Antón Martín
11.18,2022-08-01T00:06:46,41 - Antón Martín,167 - Segovia 45
21.72,2022-08-01T00:07:23,41 - Antón Martín,223 - Ermita Santo
10.88,2022-08-01T00:07:28,13 - Conde Duque,198 - Rubén Darío
4.18,2022-08-01T00:07:28,207 - Remonta,155 - San Germán 57
11.28,2022-08-01T00:07:44,27 - Huertas,181 - Retiro-Ibiza
0.25,2022-08-01T00:07:55,80b - Atocha B,80b - Atocha B
4.98,2022-08-01T00:07:58,116b - Plaza de España B,127 - Fernando el Católico
0.3,2022-08-01T00:07:58,111b - Arcipreste de Hita B,111b - Arcipreste de Hita B
14.58,2022-08-01T00:08:01,138 - Paseo de la Castellana con Raimundo Fernández,172 - Delicias
6.12,2022-08-01T00:08:07,1a - Puerta del Sol A,52 - Plaza de Santa Ana
5.37,2022-08-01T00:08:25,111b - Arcipreste de Hita B,12 - San Hermenegildo
5.17,2022-08-01T00:08:34,34 - Jacinto Benavente,121 - Santa María de la Cabeza
19.05,2022-08-01T00:08:37,246 - Santa Engracia 87,175 - Jaime el Conquistador
10.63,2022-08-01T00:09:20,256 - Reina Victoria,113 - Pintor Rosales
6.0,2022-08-01T00:09:23,101 - Jorge Juan,144 - Juan Bravo 50
0.17,2022-08-01T00:09:36,235 - Embajadores 191,235 - Embajadores 191
11.0,2022-08-01T00:09:46,91 - Príncipe de Vergara,69 - Puerta del Ángel Caído
21.73,2022-08-01T00:09:49,40 - Conde de Romanones,23 - Santo Domingo
21.77,2022-08-01T00:09:57,235 - Embajadores 191,190 - Velázquez-Diego de León
0.15,2022-08-01T00:10:02,91 - Príncipe de Vergara,91 - Príncipe de Vergara
15.75,2022-08-01T00:10:12,95 - Villanueva,75 - Menéndez Pelayo
0.25,2022-08-01T00:10:20,80b - Atocha B,80b - Atocha B
25.73,2022-08-01T00:10:21,233 - Marqués de Corbera 12,234 - Marqués de Corbera 52
14.2,2022-08-01T00:10:24,18 - Plaza de Pedro Zerolo,235 - Embajadores 191
13.9,2022-08-01T00:10:26,9 - Plaza de San Miguel,246 - Santa Engracia 87
10.15,2022-08-01T00:10:40,91 - Príncipe de Vergara,69 - Puerta del Ángel Caído
0.35,2022-08-01T00:10:47,12 - San Hermenegildo,12 - San Hermenegildo
12.4,2022-08-01T00:10:47,223 - Ermita Santo,171 - Embajadores-Cáceres
8.05,2022-08-01T00:10:59,53 - Plaza de Lavapiés,165 - Entrada Matadero
31.82,2022-08-01T00:11:05,18 - Plaza de Pedro Zerolo,173 - Puente Praga
9.1,2022-08-01T00:11:17,238 - San Germán 5,239 - Francos Rodríguez
13.38,2022-08-01T00:11:18,26 - Plaza de las Salesas,223 - Ermita Santo
14.5,2022-08-01T00:11:23,95 - Villanueva,75 - Menéndez Pelayo
2.82,2022-08-01T00:11:25,80b - Atocha B,80b - Atocha B
19.0,2022-08-01T00:11:26,12 - San Hermenegildo,160 - Colombia
15.4,2022-08-01T00:11:27,189 - Avenida Donostiarra,77 - Conde de Casal
2.42,2022-08-01T00:11:39,134 - Agustín de Betancourt,133 - Raimundo Fernández
7.08,2022-08-01T00:11:40,207 - Remonta,132 - Glorieta de los Cuatro Caminos
14.4,2022-08-01T00:11:50,95 - Villanueva,75 - Menéndez Pelayo
3.27,2022-08-01T00:12:08,144 - Juan Bravo 50,190 - Velázquez-Diego de León
1.17,2022-08-01T00:12:23,84 - Valderribas,84 - Valderribas
25.85,2022-08-01T00:12:25,51 - Ronda de Atocha,85 - Puerta de Madrid
9.0,2022-08-01T00:12:43,52 - Plaza de Santa Ana,79 - Puerta de Granada
6.92,2022-08-01T00:12:51,87 - Ayala,85 - Puerta de Madrid
6.07,2022-08-01T00:13:37,16 - San Bernardo,167 - Segovia 45
7.5,2022-08-01T00:13:44,72 - Sainz de Baranda,79 - Puerta de Granada
6.07,2022-08-01T00:13:50,84 - Valderribas,83 - Pío Baroja
5.58,2022-08-01T00:13:52,95 - Villanueva,28 - Sevilla
9.07,2022-08-01T00:14:00,14 - Ventura Rodríguez,40 - Conde de Romanones
7.02,2022-08-01T00:14:20,72 - Sainz de Baranda,79 - Puerta de Granada
10.17,2022-08-01T00:14:34,116a - Plaza de España A,43 - Jesús y María
26.45,2022-08-01T00:15:07,161 - Paseo de la Florida,130 - Santa Engracia 127
11.77,2022-08-01T00:15:09,203 - San Francisco de Sales,38 - Plaza de los Carros
2.6,2022-08-01T00:15:16,51 - Ronda de Atocha,69 - Puerta del Ángel Caído
1.67,2022-08-01T00:15:34,51 - Ronda de Atocha,51 - Ronda de Atocha
22.9,2022-08-01T00:15:41,206 - Metro Tetuán,39 - Plaza de la Cebada
0.73,2022-08-01T00:15:46,13 - Conde Duque,13 - Conde Duque
2.18,2022-08-01T00:15:50,,
11.58,2022-08-01T00:15:55,114 - Quintana,53 - Plaza de Lavapiés
11.42,2022-08-01T00:16:21,132 - Glorieta de los Cuatro Caminos,255 - López Pozas
22.07,2022-08-01T00:16:25,54 - Barceló,78 - Pedro Bosch
20.85,2022-08-01T00:16:34,54 - Barceló,78 - Pedro Bosch
9.02,2022-08-01T00:16:38,116a - Plaza de España A,110 - Moncloa
23.72,2022-08-01T00:16:47,13 - Conde Duque,176 - Beata
13.6,2022-08-01T00:16:48,27 - Huertas,213 - Glorieta de Cádiz
