trip_minutes,unlock_date,unlock_station_name,lock_station_name
0.08,2022-04-01T00:15:38,27 - Huertas,27 - Huertas
6.55,2022-04-01T00:15:49,132 - Glorieta de los Cuatro Caminos,126 - General Álvarez de Castro
11.25,2022-04-01T00:15:49,86 - Cibeles,118 - Juan Martín
28.3,2022-04-01T00:16:16,255 - López Pozas,73 - Plaza de los Astros
8.87,2022-04-01T00:16:20,27 - Huertas,181 - Retiro-Ibiza
10.92,2022-04-01T00:16:20,199 - Fernando el Católico,131 - Bravo Murillo 44
2.08,2022-04-01T00:16:28,199 - Fernando el Católico,199 - Fernando el Católico
12.37,2022-04-01T00:16:34,169 - Pirámides,224 - Caramuel
7.97,2022-04-01T00:16:35,167 - Segovia 45,42 - Santa Isabel
13.03,2022-04-01T00:17:43,54 - Barceló,153 - General Perón con Poeta Joan Maragall
8.57,2022-04-01T00:18:00,104 - Castellana,55 - Plaza de San Ildefonso
46.55,2022-04-01T00:18:09,177 - Legazpi,11 - San Andrés
0.28,2022-04-01T00:18:18,95 - Villanueva,95 - Villanueva
28.12,2022-04-01T00:18:33,144 - Juan Bravo 50,166 - Segovia 26
4.98,2022-04-01T00:19:04,80b - Atocha B,171 - Embajadores-Cáceres
0.48,2022-04-01T00:19:09,171 - Embajadores-Cáceres,171 - Embajadores-Cáceres
0.28,2022-04-01T00:19:17,199 - Fernando el Católico,199 - Fernando el Católico
0.23,2022-04-01T00:19:38,5 - Fuencarral,5 - Fuencarral
10.5,2022-04-01T00:19:44,171 - Embajadores-Cáceres,52 - Plaza de Santa Ana
14.82,2022-04-01T00:19:44,5 - Fuencarral,212 - Marqués de Vadillo
17.97,2022-04-01T00:19:48,155 - San Germán 57,89 - Conde Peñalver
10.55,2022-04-01T00:20:02,144 - Juan Bravo 50,142 - Castellana 42
0.58,2022-04-01T00:20:03,211 - Desengaño,211 - Desengaño
3.72,2022-04-01T00:20:09,5 - Fuencarral,58 - Augusto Figueroa
3.68,2022-04-01T00:20:12,63 - Ibiza,77 - Conde de Casal
7.25,2022-04-01T00:20:31,59 - Plaza de Juan Pujol,35 - Plaza del Cordón
8.33,2022-04-01T00:20:31,138 - Paseo de la Castellana con Raimundo Fernández,239 - Francos Rodríguez
0.12,2022-04-01T00:20:55,211 - Desengaño,211 - Desengaño
0.28,2022-04-01T00:21:08,211 - Desengaño,211 - Desengaño
11.53,2022-04-01T00:21:11,199 - Fernando el Católico,17 - Carlos Cambronero
6.52,2022-04-01T00:21:46,211 - Desengaño,115 - Ferraz
5.27,2022-04-01T00:22:16,202 - Parque Santander,237 - Pablo Iglesias
51.2,2022-04-01T00:22:37,132 - Glorieta de los Cuatro Caminos,200 - Quevedo
3.72,2022-04-01T00:22:45,37 - Plaza de San Francisco,163 - Paseo de la Esperanza
7.47,2022-04-01T00:23:08,80b - Atocha B,73 - Plaza de los Astros
37.88,2022-04-01T00:23:39,173 - Puente Praga,130 - Santa Engracia 127
16.57,2022-04-01T00:23:54,174 - Madrid Río-Yeserías,77 - Conde de Casal
16.12,2022-04-01T00:24:09,184 - Marqués de Zafra,170 - Paseo de la Esperanza
49.3,2022-04-01T00:24:11,132 - Glorieta de los Cuatro Caminos,209 - Plaza de Castilla 2
15.42,2022-04-01T00:24:19,144 - Juan Bravo 50,172 - Delicias
0.28,2022-04-01T00:24:36,111b - Arcipreste de Hita B,111b - Arcipreste de Hita B
5.0,2022-04-01T00:25:18,3 - Plaza Conde Suchil,8 - Alonso Martínez
13.95,2022-04-01T00:25:19,111b - Arcipreste de Hita B,155 - San Germán 57
22.28,2022-04-01T00:25:34,242 - Avenida Bruselas,171 - Embajadores-Cáceres
8.28,2022-04-01T00:25:37,16 - San Bernardo,38 - Plaza de los Carros
25.67,2022-04-01T00:25:57,242 - Avenida Bruselas,45 - Puerta de Toledo
0.78,2022-04-01T00:26:09,166 - Segovia 26,166 - Segovia 26
13.05,2022-04-01T00:27:01,109 - Marqués de Salamanca,131 - Bravo Murillo 44
6.25,2022-04-01T00:27:09,166 - Segovia 26,163 - Paseo de la Esperanza
17.35,2022-04-01T00:27:49,99 - Alcántara,123 - Guzmán el Bueno
0.37,2022-04-01T00:28:03,8 - Alonso Martínez,8 - Alonso Martínez
14.22,2022-04-01T00:28:32,26 - Plaza de las Salesas,188 - Puente de Ventas
12.17,2022-04-01T00:28:56,96 - Castelló,226 - Sierra Toledana
9.18,2022-04-01T00:29:20,52 - Plaza de Santa Ana,164 - Paseo de las Delicias
10.9,2022-04-01T00:29:24,179 - Puente de Vallecas,53 - Plaza de Lavapiés
11.23,2022-04-01T00:30:32,32 - Plaza de la Provincia,170 - Paseo de la Esperanza
0.62,2022-04-01T00:31:10,190 - Velázquez-Diego de León,190 - Velázquez-Diego de León
11.28,2022-04-01T00:31:20,222 - Antonio López,224 - Caramuel
7.32,2022-04-01T00:31:22,164 - Paseo de las Delicias,228 - San Delfín
