trip_minutes,unlock_date,unlock_station_name,lock_station_name
7.28,2022-03-01T00:00:24,Plaza de San Miguel,Altamirano
7.57,2022-03-01T00:00:24,Camino Vinateros,Menéndez Pelayo
19.95,2022-03-01T00:01:05,Camino Vinateros,Paseo Imperial
19.68,2022-03-01T00:01:07,Ferraz,Quinta Fuente del Berro
11.2,2022-03-01T00:01:18,Villanueva,Santa María de la Cabeza
0.27,2022-03-01T00:02:05,Ibiza,Ibiza
6.4,2022-03-01T00:02:09,Plaza Conde Suchil,Quintana
6.05,2022-03-01T00:02:32,Ibiza,Conde de Casal
0.47,2022-03-01T00:02:37,Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana con Raimundo Fernández
11.57,2022-03-01T00:02:44,Delicias,Concordia
12.83,2022-03-01T00:03:17,Paseo de la Castellana con Raimundo Fernández,Puerta de Madrid
4.95,2022-03-01T00:03:44,Junta Municipal Retiro,Delicias
24.8,2022-03-01T00:03:44,San Quintín,San Quintín
0.35,2022-03-01T00:04:17,Augusto Figueroa,Augusto Figueroa
3.68,2022-03-01T00:04:20,Carlota O’Neill,Derechos Humanos
20.52,2022-03-01T00:04:42,Facultad Biología,Ribera de Curtidores
9.12,2022-03-01T00:04:56,Plaza de los Astros,Jorge Juan
1.27,2022-03-01T00:04:58,Fuencarral,Fuencarral
21.87,2022-03-01T00:04:59,Conde Peñalver,Entrada Matadero
18.68,2022-03-01T00:05:06,Augusto Figueroa,Concordia
9.97,2022-03-01T00:05:10,Fuencarral,Cea Bermúdez
6.08,2022-03-01T00:06:45,Torre Cepsa,Plaza de Castilla
13.6,2022-03-01T00:06:57,Barceló,Puerta de Granada
8.87,2022-03-01T00:07:16,Puerta de Toledo,Batalla del Salado
7.95,2022-03-01T00:07:19,Fuencarral,Cea Bermúdez
12.72,2022-03-01T00:07:38,Narváez,Marqués de Corbera 12
31.75,2022-03-01T00:08:42,Narváez,Marqués de Corbera 52
5.97,2022-03-01T00:08:46,Castellana,Plaza de San Ildefonso
0.28,2022-03-01T00:08:57,Alonso Martínez,Alonso Martínez
9.67,2022-03-01T00:09:07,Plaza de Santa Ana,San Vicente Ferrer
6.3,2022-03-01T00:09:14,Plaza de Celenque B,San Andrés
9.53,2022-03-01T00:09:14,Junta Municipal Retiro,Doctor Lozano
23.97,2022-03-01T00:09:32,Claudio Coello,López Pozas
23.4,2022-03-01T00:09:43,Almadén,Tres Cruces
3.63,2022-03-01T00:10:09,Narváez,Sainz de Baranda
8.68,2022-03-01T00:10:44,Bravo Murillo 44,Desengaño
10.65,2022-03-01T00:11:02,Plaza de la Cebada,Manuel Silvela
0.25,2022-03-01T00:11:17,Alonso Martínez,Alonso Martínez
15.95,2022-03-01T00:11:35,Entrada Matadero,Quintana
5.02,2022-03-01T00:12:28,Carretas,Embajadores 2
8.78,2022-03-01T00:12:52,Carretas,Santa María de la Cabeza
5.73,2022-03-01T00:12:53,Glorieta de los Cuatro Caminos,San Hermenegildo
5.67,2022-03-01T00:12:55,Atocha A,Jesús y María
33.75,2022-03-01T00:13:04,Plaza de Castilla,Casa Encendida
8.47,2022-03-01T00:13:30,Malasaña,Ferraz
13.65,2022-03-01T00:14:23,Delicias,Delicias
7.02,2022-03-01T00:14:55,Biblioteca Nacional,Desengaño
5.53,2022-03-01T00:15:29,Narváez,Ventas
0.2,2022-03-01T00:15:36,Miguel Moya,Miguel Moya
12.1,2022-03-01T00:15:39,Batalla del Salado,General Pardiñas
15.62,2022-03-01T00:16:03,Miguel Moya,Pirámides
14.75,2022-03-01T00:16:17,Prosperidad,Sevilla
3.87,2022-03-01T00:16:47,Embajadores 2,Embajadores-Cáceres
22.18,2022-03-01T00:16:51,Colón A,Marqués de Corbera 12
1.72,2022-03-01T00:17:11,Batalla del Salado,Batalla del Salado
8.6,2022-03-01T00:17:15,Carlos Cambronero,Galileo
0.15,2022-03-01T00:17:30,Fernando el Católico,Fernando el Católico
12.37,2022-03-01T00:17:30,Beata,Jacinto Benavente
