trip_minutes,unlock_date,unlock_station_name,lock_station_name
20.55,2022-12-01T00:00:04,163 - Paseo de la Esperanza,184 - Marqués de Zafra
24.48,2022-12-01T00:00:04,196 - Prosperidad,225 - Doctor Lozano
19.72,2022-12-01T00:00:10,80b - Atocha B,254 - Pío XII
10.4,2022-12-01T00:00:23,136 - Castellana 106,194 - Avenida de América 2
9.28,2022-12-01T00:00:26,74 - Puerta del Pacífico,48 - Embajadores 2
9.32,2022-12-01T00:00:50,58 - Augusto Figueroa,130 - Santa Engracia 127
17.17,2022-12-01T00:01:04,29 - Marqués de Cubas,233 - Marqués de Corbera 12
3.6,2022-12-01T00:01:06,98 - Plaza de Felipe II,63 - Ibiza
5.5,2022-12-01T00:01:29,57 - Santa Cruz del Marcenado,112 - Paseo de Moret
27.25,2022-12-01T00:01:42,115 - Ferraz,227 - Concordia
10.72,2022-12-01T00:01:44,216 - Puerta del Ángel,41 - Antón Martín
1.1,2022-12-01T00:01:57,209 - Plaza de Castilla 2,209 - Plaza de Castilla 2
0.28,2022-12-01T00:02:00,48 - Embajadores 2,48 - Embajadores 2
5.52,2022-12-01T00:02:03,39 - Plaza de la Cebada,16 - San Bernardo
0.77,2022-12-01T00:02:31,57 - Santa Cruz del Marcenado,57 - Santa Cruz del Marcenado
0.37,2022-12-01T00:02:42,48 - Embajadores 2,48 - Embajadores 2
5.1,2022-12-01T00:02:46,121 - Santa María de la Cabeza,169 - Pirámides
6.65,2022-12-01T00:03:01,245 - Galileo,115 - Ferraz
16.88,2022-12-01T00:03:15,39 - Plaza de la Cebada,182 - Parque Roma
19.33,2022-12-01T00:03:22,209 - Plaza de Castilla 2,184 - Marqués de Zafra
11.67,2022-12-01T00:03:26,48 - Embajadores 2,23 - Santo Domingo
23.78,2022-12-01T00:03:30,216 - Puerta del Ángel,216 - Puerta del Ángel
7.0,2022-12-01T00:03:33,58 - Augusto Figueroa,32 - Plaza de la Provincia
15.1,2022-12-01T00:04:00,57 - Santa Cruz del Marcenado,114 - Quintana
0.2,2022-12-01T00:04:23,161 - Paseo de la Florida,161 - Paseo de la Florida
0.67,2022-12-01T00:04:42,161 - Paseo de la Florida,161 - Paseo de la Florida
4.85,2022-12-01T00:04:45,65 - Antonio Maura,80a - Atocha A
9.98,2022-12-01T00:04:49,216 - Puerta del Ángel,212 - Marqués de Vadillo
48.87,2022-12-01T00:05:10,161 - Paseo de la Florida,161 - Paseo de la Florida
14.45,2022-12-01T00:05:16,45 - Puerta de Toledo,73 - Plaza de los Astros
9.67,2022-12-01T00:05:39,58 - Augusto Figueroa,42 - Santa Isabel
