trip_minutes,unlock_date,unlock_station_name,lock_station_name
5.03,2022-02-01T00:00:01,Plaza de Lavapiés,Jacinto Benavente
11.18,2022-02-01T00:00:08,Príncipe de Vergara,Camino Vinateros
7.18,2022-02-01T00:00:16,Cibeles,Serrano
22.03,2022-02-01T00:00:17,Carlota O’Neill,Batalla del Salado
10.25,2022-02-01T00:00:26,Plaza de Felipe II,Augusto Figueroa
3.52,2022-02-01T00:00:43,Conde Peñalver,Juan Bravo 50
10.1,2022-02-01T00:01:12,Serrano,Conde de Casal
5.32,2022-02-01T00:01:48,Santa Isabel,Plaza de San Miguel
12.22,2022-02-01T00:02:04,Santa María de la Cabeza,Puerta de Madrid
7.63,2022-02-01T00:02:09,Legazpi,Puente Praga
7.85,2022-02-01T00:02:11,Agustín de Betancourt,Colombia
8.08,2022-02-01T00:02:56,Atocha B,Puerta del Doce de Octubre
9.45,2022-02-01T00:03:32,Camilo José Cela,Narváez
18.02,2022-02-01T00:03:32,Plaza de los Carros,Ayala
7.58,2022-02-01T00:03:55,Velázquez,San Vicente Ferrer
9.08,2022-02-01T00:03:55,Diego de león,Narváez
13.07,2022-02-01T00:04:02,Paseo Imperial,Santa Isabel
7.38,2022-02-01T00:04:18,Espalter,Beata
8.32,2022-02-01T00:04:50,Pablo Iglesias,Santa Engracia 87
18.03,2022-02-01T00:05:33,Arcipreste de Hita B,Metro Pirámides
0.4,2022-02-01T00:07:33,Villanueva,Villanueva
10.55,2022-02-01T00:07:41,Manuel Silvela,Plaza de San Francisco
10.57,2022-02-01T00:08:05,Paseo de la Florida,Ventura Rodríguez
9.68,2022-02-01T00:08:16,Ibiza,Puente de Vallecas
7.78,2022-02-01T00:09:58,San Hermenegildo,Plaza de la Cebada
9.3,2022-02-01T00:10:03,Plaza de Juan Pujol,Puerta del Doce de Octubre
58.52,2022-02-01T00:10:24,Plaza de San Ildefonso,Plaza de San Ildefonso
13.98,2022-02-01T00:10:34,Columela,Marqués de Vadillo
11.27,2022-02-01T00:10:49,Ibiza,Plaza de Lavapiés
10.6,2022-02-01T00:10:59,Ibiza,Antón Martín
27.92,2022-02-01T00:11:16,Colombia,Arcipreste de Hita A
0.7,2022-02-01T00:11:34,,
28.43,2022-02-01T00:11:42,Plaza de Santa Ana,Puerta del Ángel
8.9,2022-02-01T00:13:04,Castellana,Plaza de San Ildefonso
10.62,2022-02-01T00:14:54,Avenida de América 2,Avenida de América 1
2.42,2022-02-01T00:15:25,Alcalá-Ventas,Marqués de Zafra
9.52,2022-02-01T00:15:26,Plaza de Nelson Mandela,Paseo Imperial
9.93,2022-02-01T00:15:42,Colegio Arquitectos,Diego de León 52
12.57,2022-02-01T00:15:45,Colegio Arquitectos,Sainz de Baranda
6.2,2022-02-01T00:16:00,Puerta de Granada,Embajadores 1
7.62,2022-02-01T00:16:24,Paseo de la Florida,Plaza de los Carros
9.85,2022-02-01T00:17:17,Plaza de la Provincia,Paseo de la Esperanza
15.48,2022-02-01T00:17:37,Puerta de Madrid,Serrano 113
16.45,2022-02-01T00:17:49,Retiro-Ibiza,Carlos Cambronero
17.42,2022-02-01T00:18:03,Augusto Figueroa,Concordia
18.18,2022-02-01T00:18:05,Sor Ángela de la Cruz,Carlota O’Neill
15.37,2022-02-01T00:18:12,Puerta del Doce de Octubre,Santa Engracia 87
0.07,2022-02-01T00:18:32,Jacinto Benavente,Jacinto Benavente
13.8,2022-02-01T00:18:37,Mártires Concepcionistas,Ventas
0.3,2022-02-01T00:18:53,Jacinto Benavente,Jacinto Benavente
16.85,2022-02-01T00:19:04,Villanueva,Pablo Iglesias
11.18,2022-02-01T00:19:16,Orense 12,San Bernardo
5.93,2022-02-01T00:19:29,Biblioteca Nacional,Desengaño
41.02,2022-02-01T00:19:29,Jacinto Benavente,Plaza de Nelson Mandela
13.23,2022-02-01T00:19:45,Fernando el Católico,Huertas
18.9,2022-02-01T00:19:49,Puerta de Granada,C.D. Concepción
5.42,2022-02-01T00:20:03,Retiro-Ibiza,Menéndez Pelayo
6.35,2022-02-01T00:20:27,Madrid Río-Yeserías,Delicias
12.07,2022-02-01T00:22:28,Alonso Martínez,Parque Roma
10.07,2022-02-01T00:23:37,Carlos Cambronero,Plaza de Celenque B
13.0,2022-02-01T00:23:54,Velázquez,Plaza de Lavapiés
21.8,2022-02-01T00:24:27,Colegio Arquitectos,Colegio Arquitectos
0.25,2022-02-01T00:24:35,Augusto Figueroa,Augusto Figueroa
0.07,2022-02-01T00:25:07,Augusto Figueroa,Augusto Figueroa
6.25,2022-02-01T00:25:25,Jacinto Benavente,Huertas
22.83,2022-02-01T00:25:28,Palacio de Oriente,Sierra Toledana
10.88,2022-02-01T00:25:37,Augusto Figueroa,Ventas
14.7,2022-02-01T00:25:44,Plaza de Lavapiés,Juan Bravo 50
1.33,2022-02-01T00:26:31,Carlos Cambronero,Carlos Cambronero
41.53,2022-02-01T00:26:40,,
21.7,2022-02-01T00:26:46,Jacinto Benavente,Velázquez 130
0.05,2022-02-01T00:26:49,Almadén,Almadén
8.72,2022-02-01T00:27:19,Almadén,Narváez
14.13,2022-02-01T00:27:35,Marqués de Corbera 52,Pavones
10.63,2022-02-01T00:27:39,Serrano,Marqués de Zafra
5.23,2022-02-01T00:28:04,Embajadores 2,Marqués de Vadillo
0.22,2022-02-01T00:28:14,Alberto Alcocer,Alberto Alcocer
5.23,2022-02-01T00:28:22,Carlos Cambronero,Plaza de Celenque B
7.8,2022-02-01T00:28:49,Alberto Alcocer,San Germán 57
6.23,2022-02-01T00:29:53,Augusto Figueroa,Plaza de San Francisco
6.35,2022-02-01T00:30:34,Santa Engracia 87,Augusto Figueroa
51.78,2022-02-01T00:32:06,Marroquina,
17.62,2022-02-01T00:32:27,Marroquina,Avenida de América 2
24.52,2022-02-01T00:32:29,Huertas,José María Pereda
0.72,2022-02-01T00:33:29,,
0.18,2022-02-01T00:34:14,Paseo de la Habana 42,Paseo de la Habana 42
9.73,2022-02-01T00:34:19,Castellana,Embajadores 2
15.07,2022-02-01T00:34:42,Paseo de la Habana 42,Palos de la Frontera
0.28,2022-02-01T00:34:56,Colegio Arquitectos,Colegio Arquitectos
19.9,2022-02-01T00:36:14,Colegio Arquitectos,Glorieta de los Cuatro Caminos
0.25,2022-02-01T00:36:25,Cibeles,Cibeles
4.93,2022-02-01T00:36:27,Marqués de Corbera 12,Gutierre de Cetina
10.08,2022-02-01T00:36:37,,
3.98,2022-02-01T00:37:20,San Germán 57,Cuatro Caminos 2
18.73,2022-02-01T00:37:33,Cibeles,Plaza de los Astros
5.52,2022-02-01T00:39:03,Pío Baroja,Velázquez
5.6,2022-02-01T00:39:25,Antonio Maura,Casa Encendida
5.65,2022-02-01T00:39:26,Antonio Maura,Casa Encendida
4.55,2022-02-01T00:43:04,Pío Baroja,Narváez
8.5,2022-02-01T00:43:23,Santa Engracia 87,Francos Rodríguez
