Provincia de origen;Provincia de origen;CCAA y provincia de destino;CCAA y provincia de destino;CCAA y provincia de destino;Concepto turístico;Periodo;Total
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M07;3.860.670
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M06;3.001.538
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M05;2.485.175
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M04;1.255.836
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M03;1.241.618
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M02;853.762
Total Nacional;;Total Nacional;Andalucía;;Turistas;2021M01;1.323.591
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M12;1.308.255
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M11;1.001.850
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M10;2.015.262
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M09;2.546.147
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M08;4.016.522
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M07;3.162.080
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M06;1.751.624
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M05;568.016
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M04;567.080
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M03;2.014.980
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M02;2.851.081
Total Nacional;;Total Nacional;Andalucía;;Turistas;2020M01;2.727.411
Total Nacional;;Total Nacional;Andalucía;;Turistas;2019M12;2.924.320
Total Nacional;;Total Nacional;Andalucía;;Turistas;2019M11;2.510.755
Total Nacional;;Total Nacional;Andalucía;;Turistas;2019M10;2.640.129
Total Nacional;;Total Nacional;Andalucía;;Turistas;2019M09;3.509.611
Total Nacional;;Total Nacional;Andalucía;;Turistas;2019M08;4.816.093
Total Nacional;;Total Nacional;Andalucía;;Turistas;2019M07;3.903.850
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2024M03;180.802
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2024M02;131.545
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2024M01;145.720
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M12;154.462
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M11;128.319
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M10;191.912
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M09;273.227
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M08;487.470
Total Nacional;;Total Nacional;Andalucía;Almería;Turistas;2023M07;404.171
