Provincia de origen;Provincia de origen;CCAA y provincia de destino;CCAA y provincia de destino;CCAA y provincia de destino;Concepto turístico;Periodo;Total
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M11;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M10;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M09;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M08;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M07;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M06;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M05;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M04;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M03;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M02;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2020M01;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2019M12;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2019M11;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2019M10;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2019M09;38
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2019M08;55
Total Nacional;Bizkaia;Total Nacional;Ceuta;;Turistas;2019M07;51
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2024M03;47
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2024M02;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2024M01;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M12;32
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M11;34
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M10;40
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M09;74
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M08;43
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M07;31
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M06;62
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M05;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M04;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M03;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M02;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2023M01;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M12;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M11;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M10;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M09;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M08;57
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M07;37
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M06;""
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M05;42
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M04;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M03;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M02;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2022M01;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M12;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M11;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M10;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M09;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M08;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M07;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M06;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M05;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M04;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M03;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M02;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2021M01;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M12;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M11;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M10;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M09;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M08;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M07;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M06;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M05;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M04;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M03;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M02;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2020M01;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2019M12;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2019M11;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2019M10;.
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2019M09;38
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2019M08;55
Total Nacional;Bizkaia;Total Nacional;Ceuta;Ceuta;Turistas;2019M07;51
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2024M03;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2024M02;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2024M01;37
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M12;70
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M11;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M10;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M09;43
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M08;65
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M07;64
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M06;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M05;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M04;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M03;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M02;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2023M01;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M12;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M11;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M10;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M09;32
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M08;61
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M07;47
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M06;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M05;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M04;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M03;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M02;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2022M01;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M12;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M11;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M10;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M09;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M08;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M07;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M06;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M05;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M04;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M03;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M02;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2021M01;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M12;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M11;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M10;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M09;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M08;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M07;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M06;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M05;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M04;""
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M03;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M02;33
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2020M01;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2019M12;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2019M11;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2019M10;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2019M09;30
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2019M08;.
Total Nacional;Bizkaia;Total Nacional;Melilla;;Turistas;2019M07;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2024M03;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2024M02;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2024M01;37
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M12;70
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M11;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M10;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M09;43
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M08;65
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M07;64
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M06;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M05;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M04;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M03;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M02;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2023M01;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M12;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M11;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M10;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M09;32
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M08;61
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M07;47
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M06;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M05;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M04;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M03;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M02;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2022M01;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M12;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M11;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M10;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M09;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M08;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M07;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M06;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M05;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M04;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M03;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M02;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2021M01;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M12;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M11;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M10;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M09;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M08;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M07;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M06;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M05;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M04;""
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M03;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M02;33
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2020M01;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2019M12;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2019M11;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2019M10;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2019M09;30
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2019M08;.
Total Nacional;Bizkaia;Total Nacional;Melilla;Melilla;Turistas;2019M07;.
Total Nacional;Valladolid;Total Nacional;;;Turistas;2024M03;188.269
Total Nacional;Valladolid;Total Nacional;;;Turistas;2024M02;154.386
Total Nacional;Valladolid;Total Nacional;;;Turistas;2024M01;163.454
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M12;186.109
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M11;154.217
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M10;207.152
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M09;192.889
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M08;286.201
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M07;299.241
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M06;199.985
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M05;198.747
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M04;217.487
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M03;154.585
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M02;146.384
Total Nacional;Valladolid;Total Nacional;;;Turistas;2023M01;153.159
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M12;174.690
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M11;163.629
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M10;190.437
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M09;205.572
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M08;294.435
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M07;295.828
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M06;203.179
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M05;214.358
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M04;208.748
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M03;156.408
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M02;140.443
Total Nacional;Valladolid;Total Nacional;;;Turistas;2022M01;140.619
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M12;169.811
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M11;172.977
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M10;202.636
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M09;222.619
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M08;327.517
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M07;280.840
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M06;202.770
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M05;170.692
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M04;147.040
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M03;122.290
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M02;79.197
Total Nacional;Valladolid;Total Nacional;;;Turistas;2021M01;89.570
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M12;111.916
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M11;108.517
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M10;148.547
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M09;196.002
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M08;289.993
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M07;257.611
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M06;109.594
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M05;57.533
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M04;47.996
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M03;128.505
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M02;217.430
Total Nacional;Valladolid;Total Nacional;;;Turistas;2020M01;200.139
Total Nacional;Valladolid;Total Nacional;;;Turistas;2019M12;232.032
Total Nacional;Valladolid;Total Nacional;;;Turistas;2019M11;199.273
Total Nacional;Valladolid;Total Nacional;;;Turistas;2019M10;216.583
Total Nacional;Valladolid;Total Nacional;;;Turistas;2019M09;263.690
Total Nacional;Valladolid;Total Nacional;;;Turistas;2019M08;342.395
Total Nacional;Valladolid;Total Nacional;;;Turistas;2019M07;306.083
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2024M03;10.290
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2024M02;7.254
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2024M01;7.709
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M12;9.968
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M11;6.312
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M10;10.930
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M09;13.145
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M08;21.709
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M07;20.446
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M06;9.998
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M05;10.357
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M04;14.502
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M03;6.396
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M02;6.437
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2023M01;6.501
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M12;8.472
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M11;7.436
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M10;8.692
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M09;14.441
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M08;22.809
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M07;20.457
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M06;10.448
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M05;11.250
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M04;14.018
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M03;6.520
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M02;5.092
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2022M01;5.877
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M12;8.891
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M11;6.858
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M10;9.833
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M09;16.213
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M08;25.917
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M07;20.435
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M06;9.639
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M05;6.291
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M04;3.210
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M03;2.750
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M02;2.112
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2021M01;2.714
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M12;2.443
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M11;2.162
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M10;5.925
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M09;10.307
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M08;19.255
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M07;11.555
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M06;2.794
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M05;1.428
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M04;1.317
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M03;4.974
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M02;9.280
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2020M01;7.983
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2019M12;10.019
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2019M11;7.800
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2019M10;8.347
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2019M09;15.603
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2019M08;24.597
Total Nacional;Valladolid;Total Nacional;Andalucía;;Turistas;2019M07;18.793
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2024M03;561
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2024M02;263
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2024M01;379
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M12;401
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M11;261
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M10;748
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M09;1.337
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M08;2.361
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M07;2.114
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M06;812
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M05;594
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M04;869
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M03;277
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M02;343
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2023M01;340
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M12;376
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M11;574
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M10;566
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M09;1.365
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M08;2.414
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M07;2.009
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M06;815
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M05;628
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M04;855
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M03;294
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M02;198
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2022M01;307
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M12;327
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M11;300
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M10;560
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M09;1.547
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M08;2.380
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M07;2.004
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M06;691
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M05;307
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M04;203
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M03;133
Total Nacional;Valladolid;Total Nacional;Andalucía;Almería;Turistas;2021M02;141
