Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO DE EDAD;SEXO;LESIVIDAD*;;
2020S000424;01/01/2020;14:20;AVDA. FRANCISCO JAVIER SAENZ DE OIZA / GTA. JUAN DE HARO;-;HORTALEZA;Choque contra obstáculo fijo;Despejado;Motocicleta > 125cc;Conductor;DE 35 A 39 AÑOS;Hombre;01;;
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14;;
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 50 A 54 AÑOS;Mujer;01;;
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14;;
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 60 A 64 AÑOS;Mujer;14;;
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;14;;
2020S000043;01/01/2020;14:14;AUTOV. M-30, KM 11,800 CALZADA 2;-;PUENTE DE VALLECAS;Alcance;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;14;;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Hombre;;;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;;;
2020S000090;01/01/2020;14:10;PLAZA. GRECIA / AVDA. LUIS ARAGONES;-;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Pasajero;DESCONOCIDA;Hombre;;;
