Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S004894;21/01/2019;16:45;CALL. JUAN IGNACIO LUCA DE TENA;7;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Camión rígido;Peatón;DE 35 A 39 AÑOS;Mujer;07;
2019S004894;21/01/2019;16:45;CALL. JUAN IGNACIO LUCA DE TENA;7;SAN BLAS-CANILLEJAS;Choque contra obstáculo fijo;Despejado;Camión rígido;Peatón;DE 45 A 49 AÑOS;Mujer;07;
2019S005050;21/01/2019;16:45;CALL. MAYOR;2;CENTRO;Alcance;Despejado;Ciclomotor;Conductor;DE 21 A 24 AÑOS;Hombre;14;
2019S005050;21/01/2019;16:45;CALL. MAYOR;2;CENTRO;Alcance;Despejado;Motocicleta > 125cc;Conductor;DESCONOCIDA;;;
2019S005090;21/01/2019;16:35;CALL. COLLADO DE MARICHIVA;12;FUENCARRAL-EL PARDO;Colisión lateral;;Turismo;Conductor;DESCONOCIDA;;;
2019S005090;21/01/2019;16:35;CALL. COLLADO DE MARICHIVA;12;FUENCARRAL-EL PARDO;Colisión lateral;;Turismo;Conductor;DESCONOCIDA;;;
2019S005750;21/01/2019;16:35;CALL. ZAIDA / CALL. SOLDADO JOSE MARIA REY;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Ciclomotor;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S005750;21/01/2019;16:35;CALL. ZAIDA / CALL. SOLDADO JOSE MARIA REY;-;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Vehículo articulado;Conductor;DESCONOCIDA;;;
2019S005004;21/01/2019;16:15;CALL. HIGUERAS / CALL. ENRIQUE BORRAS;-;LATINA;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;DE 30 A 34 AÑOS;Hombre;07;
2019S005004;21/01/2019;16:15;CALL. HIGUERAS / CALL. ENRIQUE BORRAS;-;LATINA;Colisión fronto-lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;14;
2019S006529;21/01/2019;16:05;CALL. GINZO DE LIMIA;6;FUENCARRAL-EL PARDO;Caída;Se desconoce;Camión rígido;Conductor;DE 35 A 39 AÑOS;Hombre;14;
2019S006529;21/01/2019;16:05;CALL. GINZO DE LIMIA;6;FUENCARRAL-EL PARDO;Caída;Se desconoce;Motocicleta > 125cc;Conductor;DE 50 A 54 AÑOS;Hombre;02;
2019S008249;21/01/2019;16:00;CALL. SIMCA / CALL. HORIZON;-;USERA;Choque contra obstáculo fijo;Despejado;Autobús;Conductor;DE 50 A 54 AÑOS;Hombre;14;
2019S008249;21/01/2019;16:00;CALL. SIMCA / CALL. HORIZON;-;USERA;Choque contra obstáculo fijo;Despejado;Autobús;Pasajero;DE 35 A 39 AÑOS;Mujer;07;
2019S004984;21/01/2019;15:45;AUTOV. M-30, CALZADA 1ª PK. 29;-;FUENCARRAL-EL PARDO;Alcance;Despejado;Camión rígido;Conductor;DE 30 A 34 AÑOS;Hombre;;
2019S004984;21/01/2019;15:45;AUTOV. M-30, CALZADA 1ª PK. 29;-;FUENCARRAL-EL PARDO;Alcance;Despejado;Turismo;Conductor;DE 45 A 49 AÑOS;Mujer;;
2019S006245;21/01/2019;15:40;AVDA. CARABANCHEL ALTO;56;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 55 A 59 AÑOS;Hombre;07;
2019S006245;21/01/2019;15:40;AVDA. CARABANCHEL ALTO;56;CARABANCHEL;Alcance;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;07;
2019S004941;21/01/2019;15:35;CALL. ARTURO SORIA / CALL. JULIO DANVILA;-;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;07;
2019S004941;21/01/2019;15:35;CALL. ARTURO SORIA / CALL. JULIO DANVILA;-;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Conductor;DE 70 A 74 AÑOS;Hombre;14;
2019S004941;21/01/2019;15:35;CALL. ARTURO SORIA / CALL. JULIO DANVILA;-;CIUDAD LINEAL;Colisión lateral;Despejado;Turismo;Pasajero;DE 65 A 69 AÑOS;Mujer;14;
2019S004604;21/01/2019;15:30;AVDA. ARCENTALES;7;SAN BLAS-CANILLEJAS;Colisión lateral;Despejado;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;14;
2019S004992;21/01/2019;15:15;AUTOV. M-30, CALZADA 2ª PK. 9;-;MORATALAZ;Colisión múltiple;Despejado;Turismo;Conductor;DE 40 A 44 AÑOS;Mujer;;
2019S004992;21/01/2019;15:15;AUTOV. M-30, CALZADA 2ª PK. 9;-;MORATALAZ;Colisión múltiple;Despejado;Furgoneta;Conductor;DE 30 A 34 AÑOS;Hombre;;
