Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;* La correspondencia de los códigos se encuentra descrito en la estructura del fichero.
2019S005008;22/01/2019;23:05;CALL. MONASTERIO DE MONTESCLAROS; 9A;FUENCARRAL-EL PARDO;Otro;Lluvia débil;Turismo;Conductor;DE 21 A 24 AÑOS;Mujer;;
2019S009695;22/01/2019;22:30;AVDA. RAFAEL ALBERTI;18;PUENTE DE VALLECAS;Alcance;Lluvia débil;Turismo;Conductor;DE 18 A 20 AÑOS;Hombre;;
2019S009695;22/01/2019;22:30;AVDA. RAFAEL ALBERTI;18;PUENTE DE VALLECAS;Alcance;Lluvia débil;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;
2019S004942;22/01/2019;20:56;CALL. PEÑARANDA DE BRACAMONTE;6;VILLA DE VALLECAS;Atropello a persona;Lluvia débil;Turismo;Conductor;DE 25 A 29 AÑOS;Hombre;14;
2019S004942;22/01/2019;20:56;CALL. PEÑARANDA DE BRACAMONTE;6;VILLA DE VALLECAS;Atropello a persona;Lluvia débil;Turismo;Peatón;DE 35 A 39 AÑOS;Mujer;03;
2019S004942;22/01/2019;20:56;CALL. PEÑARANDA DE BRACAMONTE;6;VILLA DE VALLECAS;Atropello a persona;Lluvia débil;Turismo;Pasajero;DE 45 A 49 AÑOS;Mujer;14;
2019S005089;22/01/2019;20:25;CALL. ARROYO FONTARRON / AUTOV. A-3;-;MORATALAZ;Colisión fronto-lateral;Lluvia débil;Turismo;Conductor;DE 30 A 34 AÑOS;Mujer;14;
2019S005089;22/01/2019;20:25;CALL. ARROYO FONTARRON / AUTOV. A-3;-;MORATALAZ;Colisión fronto-lateral;Lluvia débil;Tractocamión;Conductor;DE 25 A 29 AÑOS;Hombre;;
2019S004978;22/01/2019;20:20;CALL. SAN LAMBERTO;21;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Turismo;Conductor;DE 35 A 39 AÑOS;Hombre;;
2019S004978;22/01/2019;20:20;CALL. SAN LAMBERTO;21;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Turismo;Conductor;DE 65 A 69 AÑOS;Hombre;;
2019S004978;22/01/2019;20:20;CALL. SAN LAMBERTO;21;CIUDAD LINEAL;Colisión fronto-lateral;Lluvia débil;Turismo;Pasajero;DE 35 A 39 AÑOS;Hombre;;
2019S004974;22/01/2019;20:15;CALL. MADRE DE DIOS;38;CHAMARTÍN;Colisión múltiple;;Turismo;Conductor;MAYOR DE 74 AÑOS;Hombre;;
2019S004974;22/01/2019;20:15;CALL. MADRE DE DIOS;38;CHAMARTÍN;Colisión múltiple;;Turismo;Conductor;DE 40 A 44 AÑOS;Hombre;;
