Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc;Nudo 0*;Comentarios;Nombre Subestación;" Capacidad admitida y no resuelta (MW) 
Eólica";" Capacidad admitida y no resuelta (MW)
 Solar";" Capacidad admitida y no resuelta (MW) 
Almacenamiento";" Capacidad admitida y no resuelta (MW) 
Otras"
R1-005;Asturias;Mieres;273.961,3;4.786.535,6;328;30;0;1;14,43;0;;;Siero 220 kV;0;0;Afección a nudo concurso capacidad;SANTA_CRUZ;0;0;0;0
R1-005;Asturias;Mieres;273.961,3;4.786.535,6;328;132;0;1;0;0;;;Siero 220 kV;0;1;Afección a nudo concurso capacidad;SANTA_CRUZ;0;0;0;0
R1-005;Asturias;Grandas de Salime;187.038,4;4.794.994,5;1015;12;0;1;0;0;;;Pesoz 400 kV;0;0;Afección a nudo concurso capacidad;SANZO;0;0;0;0
R1-005;Asturias;Grandas de Salime;187.038,4;4.794.994,5;1015;132;96,89;1;526,16;34,2;;;Pesoz 400 kV;0;0;Afección a nudo concurso capacidad;SANZO;34,2;0;0;0
R1-005;Asturias;Siero;276.661,5;4.806.633,8;668;132;0;1;0;0;;;Siero 220 kV;0;1;Afección a nudo concurso capacidad;SIERO;0;0;0;0
R1-005;Asturias;Tapia de Casariego;181.847,9;4.830.683,9;513;20;0;1;0;0;;;Salas 400 kV;0;0;Afección a nudo concurso capacidad;TAPIA;0;0;0;0
R1-005;Asturias;Lena;268.732,5;4.767.708,4;28;30;0;0;22,782;0;;;Telledo 220 kV;0;0;;TELLEDO;0;0;0;0
R1-005;Burgos;Arija;421.441,3;4.759.963,5;161;12;0;0;0;0;;;Mataporquera 220 kV;0;0;;ARIJA;0;0;0;0
R1-005;Burgos;Arija;421.441,3;4.759.963,5;161;30;0;0;0,803;0;;;Mataporquera 220 kV;0;0;;ARIJA;0;0;0;0
R1-005;Burgos;Melgar de Fernamental;398.752,7;4.695.241,0;594;12;0;0;5,79;0;;;Mataporquera 220 kV;0;0;;MELGAR;0;0;0;0
R1-005;Burgos;Melgar de Fernamental;398.752,7;4.695.241,0;594;30;0;0;14,41;0;;;Mataporquera 220 kV;0;0;;MELGAR;0;0;0;0
R1-005;Burgos;Villadiego;415.898,4;4.706.924,3;429;12;0;0;2,55;0;;;Mataporquera 220 kV;0;0;;VILLADIEGO;0;0;0;0
R1-005;Burgos;Villadiego;415.898,4;4.706.924,3;429;30;0;0;3,5;0;;;Mataporquera 220 kV;0;0;;VILLADIEGO;0;0;0;0
R1-005;Palencia;Aguilar de Campoo;397.426,4;4.737.554,9;1;12;0;0;1,4;0;;;Mataporquera 220 kV;0;0;;AGUILAR_P;0;0;0;0
R1-005;Palencia;Aguilar de Campoo;397.426,4;4.737.554,9;1;30;0;0;0;0;;;Mataporquera 220 kV;0;0;;AGUILAR_P;0;0;0;0
R1-005;Cantabria;Bárcena de Cicero;456.844,5;4.807.952,4;159;12;0;0;0;0;;;Cicero 220 kV;0;0;;AMBROSERO;0;0;0;0
R1-005;Cantabria;Bárcena de Cicero;456.844,5;4.807.952,4;159;55;0;0;0;0;;;Cicero 220 kV;0;1;;AMBROSERO;0;0;0;0
R1-005;Cantabria;Arenas de Iguña;414.150,0;4.780.695,0;1021;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;ARENAS_IGUNA;0;0;0;0
R1-005;Cantabria;Arenas de Iguña;414.150,0;4.780.695,0;1021;55;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;ARENAS_IGUNA;0;0;0;0
R1-005;Cantabria;Escalante;459.837,4;4.810.826,1;623;12;0;0;0;0;;;Cicero 220 kV;0;0;;ARGOÑOS;0;0;0;0
R1-005;Cantabria;Escalante;459.837,4;4.810.826,1;623;55;0;0;0;0;;;Cicero 220 kV;0;1;;ARGOÑOS;0;0;0;0
R1-005;Cantabria;Astillero (El);433.043,6;4.805.133,3;151;12;0;0;10,1;0;;;Astillero 220 kV;0;0;;ASTILLERO;0;0;0;0
R1-005;Cantabria;Astillero (El);433.043,6;4.805.133,3;151;55;0;0;47,5;0;;;Astillero 220 kV;0;0;;ASTILLERO;0;0;0;0
R1-005;Cantabria;Hermandad de Campoo de Suso;389.462,3;4.765.616,3;327;12;0;0;0;0;;;Mataporquera 220 kV;0;0;;BRAÑAVIEJA;0;0;0;0
R1-005;Cantabria;Hermandad de Campoo de Suso;389.462,3;4.765.616,3;327;30;0;0;0;0;;;Mataporquera 220 kV;0;0;;BRAÑAVIEJA;0;0;0;0
R1-005;Cantabria;Cabezón de la Sal;399.097,9;4.796.232,5;56;12;0;1;8,4;0,77;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;CABEZON;0;0,77;0;0
R1-005;Cantabria;Cabezón de la Sal;399.097,9;4.796.232,5;56;55;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;CABEZON;0;0;0;0
R1-005;Cantabria;Camargo;429.751,4;4.809.588,5;533;12;4,656;1;0,99;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;CACICEDO;0;0;0;0
R1-005;Cantabria;Camargo;429.751,4;4.809.588,5;533;55;50;1;95;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;CACICEDO;0;0;0;0
R1-005;Cantabria;Santander;432.557,1;4.811.224,0;95;12;6,038;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;CANDINA;0;0;0;0
R1-005;Cantabria;Santander;432.557,1;4.811.224,0;95;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;CANDINA;0;0;0;0
R1-005;Cantabria;Villacarriedo;432.068,1;4.788.071,2;788;12;0;0;0;0;;;Astillero 220 kV;0;0;;CARRIEDO;0;0;0;0
R1-005;Cantabria;Villacarriedo;432.068,1;4.788.071,2;788;55;0;0;0;0;;;Astillero 220 kV;0;0;;CARRIEDO;0;0;0;0
R1-005;Cantabria;Rionansa;383.227,0;4.792.957,6;1072;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;CELIS;0;0;0;0
R1-005;Cantabria;Rionansa;383.227,0;4.792.957,6;1072;55;0;1;7;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;CELIS;0;0;0;0
R1-005;Cantabria;Solórzano;457.554,2;4.804.562,7;133;55;0;0;76,5;0;;;Cicero 220 kV;0;1;;CICERO;0;0;0;0
R1-005;Cantabria;Comillas;396.192,0;4.802.597,4;153;12;0,44;1;1;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;COMILLAS;0;0;0;0
R1-005;Cantabria;Comillas;396.192,0;4.802.597,4;153;55;0,44;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;COMILLAS;0;0;0;0
R1-005;Cantabria;Santa Cruz de Bezana;428.988,1;4.812.607,9;877;12;6,038;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;CORBAN;0;0;0;0
R1-005;Cantabria;Santa Cruz de Bezana;428.988,1;4.812.607,9;877;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;CORBAN;0;0;0;0
R1-005;Cantabria;Corrales de Buelna (Los);413.205,8;4.789.364,7;264;12;0;1;4,097;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;CORRALES;0;0;0;0
R1-005;Cantabria;Corrales de Buelna (Los);413.205,8;4.789.364,7;264;55;0;1;0;30;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;CORRALES;0;0;30;0
R1-005;Cantabria;Entrambasaguas;441.765,4;4.804.495,1;33;12;0;0;0,1;0;;;Astillero 220 kV;0;0;;EL_BOSQUE;0;0;0;0
R1-005;Cantabria;Entrambasaguas;441.765,4;4.804.495,1;33;55;0;0;0;0;;;Astillero 220 kV;0;1;;EL_BOSQUE;0;0;0;0
R1-005;Cantabria;Camargo;427.018,2;4.806.221,0;890;12;0;1;0;9,31;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;ESCOBEDO;0;0;9,31;0
R1-005;Cantabria;Camargo;427.018,2;4.806.221,0;890;55;31;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;ESCOBEDO;0;0;0;0
R1-005;Cantabria;Herrerías;377.851,1;4.798.524,8;8500;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;HERRERIAS;0;0;0;0
R1-005;Cantabria;Herrerías;377.851,1;4.798.524,8;8500;55;0;1;7,86;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;HERRERIAS;0;0;0;0
R1-005;Cantabria;Valdáliga;387.868,2;4.797.664,7;32;12;0;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;LABARCES;0;0;0;0
R1-005;Cantabria;Valdáliga;387.868,2;4.797.664,7;32;55;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;LABARCES;0;0;0;0
R1-005;Cantabria;Valdáliga;387.868,2;4.797.664,7;32;132;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;LABARCES;0;0;0;0
R1-005;Cantabria;Peñarrubia;369.393,4;4.790.089,5;126;12;0,2;1;0;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;LA_HERMIDA;0;0;0;0
R1-005;Cantabria;Peñarrubia;369.393,4;4.790.089,5;126;30;0,2;1;11,374;0;;;P.S.M. 220 KV;0;0;Afección a nudo concurso capacidad;LA_HERMIDA;0;0;0;0
R1-005;Cantabria;Peñarrubia;369.393,4;4.790.089,5;126;132;0;1;0;0;;;P.S.M. 220 KV;0;1;Afección a nudo concurso capacidad;LA_HERMIDA;0;0;0;0
R1-005;Cantabria;Santander;435.248,8;4.813.885,7;303;12;7,275;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;LAS_LLAMAS;0;0;0;0
R1-005;Cantabria;Santander;435.248,8;4.813.885,7;303;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;LAS_LLAMAS;0;0;0;0
R1-005;Cantabria;Arnuero;452.643,3;4.813.327,8;188;12;0;0;1;0;;;Cicero 220 kV;0;0;;LA_VENERA;0;0;0;0
R1-005;Cantabria;Arnuero;452.643,3;4.813.327,8;188;55;0;0;0;0;;;Cicero 220 kV;0;1;;LA_VENERA;0;0;0;0
