Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación;Nivel de Tensión (kV);Capacidad disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad ocupada (MW);Capacidad admitida y no resuelta (MW);Posiciones ocupadas;Posiciones libres;Nudo Afección RdT;Nudo limitado por Scc;Nudo 0*;Comentarios;Nombre Subestación;" Capacidad admitida y no resuelta (MW) 
Eólica";" Capacidad admitida y no resuelta (MW)
 Solar";" Capacidad admitida y no resuelta (MW) 
Almacenamiento";" Capacidad admitida y no resuelta (MW) 
Otras"
R1-005;Cantabria;Santander;432.991,5;4.811.624,0;22;12;6,038;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;VALDECILLA;0;0;0;0
R1-005;Cantabria;Santander;432.991,5;4.811.624,0;22;55;50;1;0;0;;;Cacicedo 220 kV;0;0;Afección a nudo concurso capacidad;VALDECILLA;0;0;0;0
R1-005;Cantabria;Valdeolea;404.842,0;4.747.593,8;389;12;0;0;0,7;0;;;Mataporquera 220 kV;0;0;;VALDEOLEA;0;0;0;0
R1-005;Cantabria;Valdeolea;404.842,0;4.747.593,8;389;30;0;0;0;0;;;Mataporquera 220 kV;0;0;;VALDEOLEA;0;0;0;0
R1-005;Lugo;Viveiro;132.447,0;4.836.310,7;1067;132;0;1;736,05;0;;;Boimente 400 kV;0;0;Afección a nudo concurso capacidad;BOIMENTE;0;0;0;0
R1-005;Lugo;Vilalba;122.821,1;4.818.556,3;1039;132;0;1;44,2;0;;;P.G.R. 400 kV;0;0;Afección a nudo transición justa;CARBA;0;0;0;0
R1-005;Lugo;Mondoñedo;142.917,8;4.817.884,0;313;132;0;1;312,55;0;;;Ludrio 400 kV;0;0;Afección a nudo concurso capacidad;ESTELO;0;0;0;0
R1-005;Lugo;Fonsagrada (A);163.587,0;4.778.438,6;1755;132;0;1;75,9;0;;;Ludrio 400 kV;0;0;Afección a nudo concurso capacidad;FONSAGRADA;0;0;0;0
R1-005;Lugo;Castro de Rei;140.726,1;4.784.560,7;37;132;0;1;0;0;;;Ludrio 400 kV;0;0;Afección a nudo concurso capacidad;LUDRIO;0;0;0;0
R1-005;Lugo;Mondoñedo;146.550,7;4.818.040,1;73;132;0;1;79,5;0;;;Ludrio 400 kV;0;0;Afección a nudo concurso capacidad;MONDONEDO;0;0;0;0
R1-005;Lugo;Vilalba;121.786,5;4.806.250,8;1081;132;0;1;70,2;0;;;P.G.R. 400 kV;0;0;Afección a nudo transición justa;SETE_PONTES;0;0;0;0
R1-005;Lugo;Lugo;131.875,3;4.772.615,1;77;132;0;1;0;0;;;Ludrio 400 kV;0;0;Afección a nudo concurso capacidad;SAN_CIBRAO;0;0;0;0
R1-005;Lugo;Ribadeo;170.870,2;4.828.331,6;16;132;0;1;0;0;;;Salas 400 kV;0;1;Afección a nudo concurso capacidad;RIBADEO;0;0;0;0
R1-005;Palencia;Barruelo de Santullán;395.187,1;4.750.925,8;260;12;0;0;0,7;0;;;Mataporquera 220 kV;0;0;;BARRUELO;0;0;0;0
R1-005;Palencia;Barruelo de Santullán;395.187,1;4.750.925,8;260;30;0;0;5,3;0;;;Mataporquera 220 kV;0;0;;BARRUELO;0;0;0;0
R1-005;Palencia;Aguilar de Campoo;394.775,4;4.738.831,8;878;30;0;0;13,5;0;;;Mataporquera 220 kV;0;0;;C_AGUILAR;0;0;0;0
R1-005;Palencia;Aguilar de Campoo;394.775,4;4.738.831,8;878;132;0;0;0;0;;;Mataporquera 220 kV;0;0;;C_AGUILAR;0;0;0;0
R1-005;Palencia;Carrión de los Condes;367.656,4;4.689.393,6;182;12;0;0;0,78;0;;;Mataporquera 220 kV;0;0;;CARRION_N;0;0;0;0
R1-005;Palencia;Carrión de los Condes;367.656,4;4.689.393,6;182;30;0;0;0;0;;;Mataporquera 220 kV;0;0;;CARRION_N;0;0;0;0
R1-005;Palencia;Dehesa de Montejo;378.318,6;4.745.779,4;5;12;0;0;2,49;0;;;Mataporquera 220 kV;0;0;;CERVERA;0;0;0;0
R1-005;Palencia;Dehesa de Montejo;378.318,6;4.745.779,4;5;30;0;0;3,4;0;;;Mataporquera 220 kV;0;0;;CERVERA;0;0;0;0
R1-005;Palencia;Herrera de Pisuerga;390.161,9;4.717.197,5;255;12;0;0;2,439;0;;;Mataporquera 220 kV;0;0;;HERRERA;0;0;0;0
R1-005;Palencia;Herrera de Pisuerga;390.161,9;4.717.197,5;255;30;0;0;6,426;0;;;Mataporquera 220 kV;0;0;;HERRERA;0;0;0;0
R1-005;Palencia;Aguilar de Campoo;395.161,6;4.737.833,6;76;30;0;0;9,4;0;;;Mataporquera 220 kV;0;0;;MAZUELAS;0;0;0;0
R1-005;Palencia;Aguilar de Campoo;395.161,6;4.737.833,6;76;132;0;0;160,69;0;;;Mataporquera 220 kV;0;0;;MAZUELAS;0;0;0;0
R1-005;Palencia;Osorno la Mayor;387.481,8;4.696.192,1;587;12;0;0;0;0;;;Mataporquera 220 kV;0;0;;OSORNO;0;0;0;0
R1-005;Palencia;Osorno la Mayor;387.481,8;4.696.192,1;587;30;0;0;14,62;0;;;Mataporquera 220 kV;0;0;;OSORNO;0;0;0;0
R1-005;Palencia;Osorno la Mayor;387.481,8;4.696.192,1;587;132;0;0;0;0;;;Mataporquera 220 kV;0;0;;OSORNO;0;0;0;0
R1-005;Palencia;Collazos de Boedo;389.753,6;4.720.050,1;222;30;0;0;22,87;0;;;Mataporquera 220 kV;0;0;;VILLABERMUDO;0;0;0;0
R1-005;Palencia;Collazos de Boedo;389.753,6;4.720.050,1;222;132;0;0;14,62;0;;;Mataporquera 220 kV;0;0;;VILLABERMUDO;0;0;0;0
R1-005;Tarragona;La Canonja;851.966,5;4.559.276,6;10;25;15;0;15;0;;;La Canonja 220 kV;0;0;Inviabilidad física de nuevas posiciones 25 kV;LA CANONJA;0;0;0;0
;;;;;;;;;;;;;;;;;;;;;
