Gestor de red;Provincia;Municipio;Coordenada UTM X;Coordenada UTM Y;Subestación ;Nivel de tensión (kV);Capacidad firme disponible (MW);Capacidad comprometida por cuestiones regulatorias;Capacidad de acceso firme de demanda ocupada (MW);Capacidad de acceso firme admitida y no evaluada (MW);Posiciones ocupadas;Posiciones libres;Nudo 0*;Comentarios;Nombre subestación
R1-005;Cantabria;Arenas de Iguña;414.150,0;4.780.695,0;1021;12;1,13;0;6,43;2;0;0;0;;ARENAS_IGUNA
R1-005;Cantabria;Arenas de Iguña;414.150,0;4.780.695,0;1021;55;0;0;2,78;0;0;0;0;;ARENAS_IGUNA
R1-005;Cantabria;Escalante;459.837,4;4.810.826,1;623;12;0,88;0;16,30;0;0;0;0;;ARGOÑOS
R1-005;Cantabria;Escalante;459.837,4;4.810.826,1;623;55;0;0;0;0;0;0;0;;ARGOÑOS
R1-005;Cantabria;Astillero (El);433.043,6;4.805.133,3;151;12;1,74;0;38,26;0,56;0;0;0;;ASTILLERO
R1-005;Cantabria;Astillero (El);433.043,6;4.805.133,3;151;55;0;0;79,63;0;0;0;0;;ASTILLERO
R1-005;Cantabria;Hermandad de Campoo de Suso;389.462,3;4.765.616,3;327;12;0,00;0;2,84;0;0;0;0;;BRAÑAVIEJA
R1-005;Cantabria;Hermandad de Campoo de Suso;389.462,3;4.765.616,3;327;30;0;0;0;0;0;0;1;;BRAÑAVIEJA
R1-005;Cantabria;Cabezón de la Sal;399.097,9;4.796.232,5;56;12;0,18;0;13,32;0;0;0;0;;CABEZON
R1-005;Cantabria;Cabezón de la Sal;399.097,9;4.796.232,5;56;55;0;0;0;0;0;0;0;;CABEZON
R1-005;Cantabria;Camargo;429.751,4;4.809.588,5;533;12;0,00;0;56,44;7,37;0;0;0; Inviabilidad de ampliación con nuevas posiciones;CACICEDO
R1-005;Cantabria;Camargo;429.751,4;4.809.588,5;533;55;0;0;101,00;0;0;0;0;;CACICEDO
R1-005;Cantabria;Santander;432.557,1;4.811.224,0;95;12;0,00;0;38,90;4,71;0;0;0;;CANDINA
R1-005;Cantabria;Santander;432.557,1;4.811.224,0;95;55;0;0;0,00;0;0;0;0;;CANDINA
R1-005;Cantabria;Villacarriedo;432.068,1;4.788.071,2;788;12;1,17;0;4,38;0;0;0;0;;CARRIEDO
R1-005;Cantabria;Villacarriedo;432.068,1;4.788.071,2;788;55;0;0;0;0;0;0;0;;CARRIEDO
R1-005;Cantabria;Rionansa;383.227,0;4.792.957,6;1072;12;0,37;0;1,13;0;0;0;0;;CELIS
R1-005;Cantabria;Rionansa;383.227,0;4.792.957,6;1072;55;0;0;0;0;0;0;0;;CELIS
R1-005;Cantabria;Solórzano;457.554,2;4.804.562,7;133;55;0;0;0;0;0;0;0;;CICERO
R1-005;Cantabria;Comillas;396.192,0;4.802.597,4;153;12;3,01;0;4,17;0;0;0;0;;COMILLAS
R1-005;Cantabria;Comillas;396.192,0;4.802.597,4;153;55;0;0;0;0;0;0;0;;COMILLAS
R1-005;Cantabria;Santa Cruz de Bezana;428.988,1;4.812.607,9;877;12;0,00;0;15,55;4,45;0;0;0;;CORBAN
R1-005;Cantabria;Santa Cruz de Bezana;428.988,1;4.812.607,9;877;55;0;0;3;0;0;0;0;;CORBAN
R1-005;Cantabria;Corrales de Buelna (Los);413.205,8;4.789.364,7;264;12;0,49;0;11,01;0;0;0;0;;CORRALES
R1-005;Cantabria;Corrales de Buelna (Los);413.205,8;4.789.364,7;264;55;0;0;6;0;0;0;0;;CORRALES
R1-005;Cantabria;Entrambasaguas;441.765,4;4.804.495,1;33;12;0,72;0;14,37;0;0;0;0;;EL_BOSQUE
R1-005;Cantabria;Entrambasaguas;441.765,4;4.804.495,1;33;55;0;0;0;0;0;0;0;;EL_BOSQUE
R1-005;Cantabria;Camargo;427.018,2;4.806.221,0;890;12;0,00;0;6,42;14,89;0;0;0; Inviabilidad de ampliación con nuevas posiciones;ESCOBEDO
R1-005;Cantabria;Camargo;427.018,2;4.806.221,0;890;55;0;0;0;0;0;0;0;;ESCOBEDO
R1-005;Cantabria;Herrerías;377.851,1;4.798.524,8;8500;12;1,37;0;0,13;0;0;0;0;;HERRERIAS
R1-005;Cantabria;Herrerías;377.851,1;4.798.524,8;8500;55;0;0;0;0;0;0;0;;HERRERIAS
R1-005;Cantabria;Valdáliga;387.868,2;4.797.664,7;32;12;0;0;2,68;0;0;0;0;;LABARCES
R1-005;Cantabria;Valdáliga;387.868,2;4.797.664,7;32;55;0;0;0;0;0;0;0;;LABARCES
R1-005;Cantabria;Valdáliga;387.868,2;4.797.664,7;32;132;0;0;0;0;0;0;0;;LABARCES
R1-005;Cantabria;Peñarrubia;369.393,4;4.790.089,5;126;12;0,51;0;0,49;0;0;0;0;;LA_HERMIDA
R1-005;Cantabria;Peñarrubia;369.393,4;4.790.089,5;126;30;0;0;5,31;0;0;0;0;;LA_HERMIDA
R1-005;Cantabria;Peñarrubia;369.393,4;4.790.089,5;126;132;3;0;0;0;0;0;0;;LA_HERMIDA
R1-005;Cantabria;Santander;435.248,8;4.813.885,7;303;12;4,69;0;22,58;0;0;0;0;;LAS_LLAMAS
R1-005;Cantabria;Santander;435.248,8;4.813.885,7;303;55;0;0;0;0;0;0;0;;LAS_LLAMAS
R1-005;Cantabria;Arnuero;452.643,3;4.813.327,8;188;12;1,05;0;15,77;0;0;0;0;;LA_VENERA
R1-005;Cantabria;Arnuero;452.643,3;4.813.327,8;188;55;0;0;0;0;0;0;0;;LA_VENERA
R1-005;Cantabria;Astillero (El);431.891,4;4.807.170,8;707;12;0;0;23,48;0;0;0;0;;MALIAÑO
R1-005;Cantabria;Astillero (El);431.891,4;4.807.170,8;707;55;0;0;5;0;0;0;0;;MALIAÑO
R1-005;Cantabria;Valdeolea;405.287,5;4.748.069,4;370;30;2;0;17,47;0;0;0;0;;MATAPORQUERA
R1-005;Cantabria;Valdeolea;405.287,5;4.748.069,4;370;132;0;0;66;50;0;0;0;;MATAPORQUERA
R1-005;Cantabria;Entrambasaguas;439.861,3;4.805.281,8;373;12;0,53;0;9,38;0;0;0;0;;M_CUDEYO
R1-005;Cantabria;Entrambasaguas;439.861,3;4.805.281,8;373;55;0;0;42,95;0;0;0;0;;M_CUDEYO
R1-005;Cantabria;Corrales de Buelna (Los);414.042,1;4.789.819,0;1013;55;0;0;19,8;0;0;0;0;;MECOBUSA
R1-005;Cantabria;Meruelo;450.821,4;4.808.860,6;1782;12;0,67;0;4,70;0;0;0;0;;MERUELO
R1-005;Cantabria;Meruelo;450.821,4;4.808.860,6;1782;55;0;0;0;0;0;0;0;;MERUELO
R1-005;Cantabria;Camargo;431.818,1;4.809.732,5;1000;12;1,22;0;11,85;0;0;0;0;;N_MONTAÑA
R1-005;Cantabria;Camargo;431.818,1;4.809.732,5;1000;55;0;0;4;0;0;0;0;;N_MONTAÑA
R1-005;Cantabria;Cillorigo de Liébana;369.208,8;4.780.375,5;704;12;0,06;0;4,65;0;0;0;0;;OJEDO
R1-005;Cantabria;Cillorigo de Liébana;369.208,8;4.780.375,5;704;30;0;0;0;0;0;0;0;;OJEDO
R1-005;Cantabria;Penagos;433.166,0;4.799.697,5;329;12;0;0;8,51;1;0;0;0;;PENAGOS
R1-005;Cantabria;Penagos;433.166,0;4.799.697,5;329;55;0;0;0;0;0;0;0;;PENAGOS
R1-005;Cantabria;Tudanca;387.945,2;4.778.316,5;26;12;0,91;0;0,59;0;0;0;0;;PEÑA BEJO
R1-005;Cantabria;Tudanca;387.945,2;4.778.316,5;26;55;0;0;0;0;0;0;0;;PEÑA BEJO
