ID;TERMS (PT-NPT);RELATIONS;PT;MT
5404;Acuerdo de Cooperación (UE);;;1016 construcción europea
5404;Acuerdo de Cooperación CE;USE;Acuerdo de Cooperación (UE);1016 construcción europea
7813;Acuerdo de Cotonú;;;1016 construcción europea
5430;Acuerdo de Libre Comercio de América del Norte;USE;TLCAN;7616 organizaciones extraeuropeas
4794;Acuerdo de Limitación de Armas Estratégicas;USE;Acuerdo SALT;0816 seguridad internacional
c_a4094c9b;Acuerdo de París;USE;Acuerdo de París sobre el Cambio Climático;5206 política del medio ambiente
c_a4094c9b;Acuerdo de París sobre el Cambio Climático;;;5206 política del medio ambiente
5405;Acuerdo de Schengen;;;1231 Derecho internacional
5495;Acuerdo de Wassenaar;;;7621 organizaciones mundiales
5495;Acuerdo de Wassenaar sobre control de Exportaciones de Armas Convencionales y bienes y tecnología de Doble Uso;USE;Acuerdo de Wassenaar;7621 organizaciones mundiales
5406;Acuerdo europeo de Asociación;;;1016 construcción europea
5409;Acuerdo mixto;;;1016 construcción europea
c_8150867f;Acuerdo sobre Contratación Pública;;;2021 comercio internacional
5923;Administración de justicia;USE;sistema judicial;1226 organización de la justicia
484;Afars e Issas;USE;Yibuti;7221 África
484;Afars e Issas;USE;Yibuti;7231 geografía económica
484;Afars e Issas;USE;Yibuti;7236 geografía política
261;Afganistán;;;7226 Asia-Oceanía
8284;Agencia Comunitaria de Control de la Pesca;USE;Agencia Europea de Control de la Pesca;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva de Competitividad e Innovación;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva de Consumidores, Salud, Agricultura y Alimentación;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva de Innovación y Redes;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva de Investigación;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva de Sanidad y Consumo;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva de la Red Transeuropea de Transporte;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva del Consejo Europeo de Investigación;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva en el Ámbito Educativo, Audiovisual y Cultural;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
441001;Agencia Ejecutiva para las Pequeñas y Medianas Empresas;USE;agencia ejecutiva;1006 instituciones de la Unión Europea y función pública europea
2829;Agencia Espacial Europea;;;7611 organizaciones europeas
8284;Agencia Europea de Control de la Pesca;;;1006 instituciones de la Unión Europea y función pública europea
7982;Agencia Europea de Defensa;;;1016 construcción europea
6711;Agencia Europea de Información al Consumidor;USE;Red de Centros Europeos de los Consumidores;2026 consumo
5426;Agencia Europea de Medicamentos;;;1006 instituciones de la Unión Europea y función pública europea
5310;Agencia Europea de Medio Ambiente;;;1006 instituciones de la Unión Europea y función pública europea
421;Agencia Europea de Productividad;USE;Asociación Europea de Centros Nacionales de Productividad;7611 organizaciones europeas
7221;Agencia Europea de Reconstrucción;;;1006 instituciones de la Unión Europea y función pública europea
7937;Agencia Europea de Seguridad Aérea;;;1006 instituciones de la Unión Europea y función pública europea
7936;Agencia Europea de Seguridad Marítima;;;1006 instituciones de la Unión Europea y función pública europea
7938;Agencia Europea de Seguridad de las Redes y de la Información;USE;Agencia de la Unión Europea para la Ciberseguridad;1006 instituciones de la Unión Europea y función pública europea
7984;Agencia Europea de Sustancias y Mezclas Químicas;;;1006 instituciones de la Unión Europea y función pública europea
