month,demand_mwh
2024-01,22353571.73
2024-02,20335524.43
2024-03,20714646.06
2024-04,19297307.06
2024-05,19541304.51
2024-06,19647475.57
2024-07,22776696.19
2024-08,22457895.43
2024-09,19951121.61
2024-10,20340919.01
2024-11,19908555.22
2024-12,21674632.33
