season,series,datetime,demand_mw
summer,Forecasted,2024-07-15T08:30:00.000+02:00,30694
summer,Forecasted,2024-07-15T08:35:00.000+02:00,30811
summer,Forecasted,2024-07-15T08:40:00.000+02:00,30906
summer,Forecasted,2024-07-15T08:45:00.000+02:00,30980
summer,Forecasted,2024-07-15T08:50:00.000+02:00,31080
summer,Forecasted,2024-07-15T08:55:00.000+02:00,31253
summer,Forecasted,2024-07-15T09:00:00.000+02:00,31498
summer,Forecasted,2024-07-15T09:05:00.000+02:00,31741
summer,Forecasted,2024-07-15T09:10:00.000+02:00,31903
summer,Forecasted,2024-07-15T09:15:00.000+02:00,31985
summer,Forecasted,2024-07-15T09:20:00.000+02:00,32036
summer,Forecasted,2024-07-15T09:25:00.000+02:00,32105
summer,Forecasted,2024-07-15T09:30:00.000+02:00,32191
summer,Forecasted,2024-07-15T09:35:00.000+02:00,32281
summer,Forecasted,2024-07-15T09:40:00.000+02:00,32358
summer,Forecasted,2024-07-15T09:45:00.000+02:00,32423
summer,Forecasted,2024-07-15T09:50:00.000+02:00,32485
summer,Forecasted,2024-07-15T09:55:00.000+02:00,32554
summer,Forecasted,2024-07-15T10:00:00.000+02:00,32629
summer,Forecasted,2024-07-15T10:05:00.000+02:00,32695
summer,Forecasted,2024-07-15T10:10:00.000+02:00,32739
summer,Forecasted,2024-07-15T10:15:00.000+02:00,32761
summer,Forecasted,2024-07-15T10:20:00.000+02:00,32772
summer,Forecasted,2024-07-15T10:25:00.000+02:00,32784
summer,Forecasted,2024-07-15T10:30:00.000+02:00,32796
summer,Forecasted,2024-07-15T10:35:00.000+02:00,32809
summer,Forecasted,2024-07-15T10:40:00.000+02:00,32820
summer,Forecasted,2024-07-15T10:45:00.000+02:00,32831
summer,Forecasted,2024-07-15T10:50:00.000+02:00,32836
summer,Forecasted,2024-07-15T10:55:00.000+02:00,32831
summer,Forecasted,2024-07-15T11:00:00.000+02:00,32816
summer,Forecasted,2024-07-15T11:05:00.000+02:00,32802
summer,Forecasted,2024-07-15T11:10:00.000+02:00,32803
summer,Forecasted,2024-07-15T11:15:00.000+02:00,32818
summer,Forecasted,2024-07-15T11:20:00.000+02:00,32842
summer,Forecasted,2024-07-15T11:25:00.000+02:00,32867
summer,Forecasted,2024-07-15T11:30:00.000+02:00,32895
summer,Forecasted,2024-07-15T11:35:00.000+02:00,32918
summer,Forecasted,2024-07-15T11:40:00.000+02:00,32931
summer,Forecasted,2024-07-15T11:45:00.000+02:00,32933
summer,Forecasted,2024-07-15T11:50:00.000+02:00,32956
summer,Forecasted,2024-07-15T11:55:00.000+02:00,33031
summer,Forecasted,2024-07-15T12:00:00.000+02:00,33157
summer,Forecasted,2024-07-15T12:05:00.000+02:00,33285
summer,Forecasted,2024-07-15T12:10:00.000+02:00,33364
summer,Forecasted,2024-07-15T12:15:00.000+02:00,33396
summer,Forecasted,2024-07-15T12:20:00.000+02:00,33415
summer,Forecasted,2024-07-15T12:25:00.000+02:00,33456
summer,Forecasted,2024-07-15T12:30:00.000+02:00,33520
summer,Forecasted,2024-07-15T12:35:00.000+02:00,33583
summer,Forecasted,2024-07-15T12:40:00.000+02:00,33621
summer,Forecasted,2024-07-15T12:45:00.000+02:00,33636
summer,Forecasted,2024-07-15T12:50:00.000+02:00,33679
summer,Forecasted,2024-07-15T12:55:00.000+02:00,33802
summer,Forecasted,2024-07-15T13:00:00.000+02:00,34007
summer,Forecasted,2024-07-15T13:05:00.000+02:00,34208
summer,Forecasted,2024-07-15T13:10:00.000+02:00,34323
summer,Forecasted,2024-07-15T13:15:00.000+02:00,34351
summer,Forecasted,2024-07-15T13:20:00.000+02:00,34345
summer,Forecasted,2024-07-15T13:25:00.000+02:00,34357
summer,Forecasted,2024-07-15T13:30:00.000+02:00,34386
summer,Forecasted,2024-07-15T13:35:00.000+02:00,34417
summer,Forecasted,2024-07-15T13:40:00.000+02:00,34436
summer,Forecasted,2024-07-15T13:45:00.000+02:00,34442
summer,Forecasted,2024-07-15T13:50:00.000+02:00,34445
summer,Forecasted,2024-07-15T13:55:00.000+02:00,34454
summer,Forecasted,2024-07-15T14:00:00.000+02:00,34467
summer,Forecasted,2024-07-15T14:05:00.000+02:00,34476
summer,Forecasted,2024-07-15T14:10:00.000+02:00,34472
summer,Forecasted,2024-07-15T14:15:00.000+02:00,34453
summer,Forecasted,2024-07-15T14:20:00.000+02:00,34427
summer,Forecasted,2024-07-15T14:25:00.000+02:00,34402
summer,Forecasted,2024-07-15T14:30:00.000+02:00,34375
summer,Forecasted,2024-07-15T14:35:00.000+02:00,34349
summer,Forecasted,2024-07-15T14:40:00.000+02:00,34324
summer,Forecasted,2024-07-15T14:45:00.000+02:00,34298
summer,Forecasted,2024-07-15T14:50:00.000+02:00,34268
summer,Forecasted,2024-07-15T14:55:00.000+02:00,34227
summer,Forecasted,2024-07-15T15:00:00.000+02:00,34175
summer,Forecasted,2024-07-15T15:05:00.000+02:00,34125
summer,Forecasted,2024-07-15T15:10:00.000+02:00,34089
summer,Forecasted,2024-07-15T15:15:00.000+02:00,34065
summer,Forecasted,2024-07-15T15:20:00.000+02:00,34046
summer,Forecasted,2024-07-15T15:25:00.000+02:00,34022
summer,Forecasted,2024-07-15T15:30:00.000+02:00,33995
summer,Forecasted,2024-07-15T15:35:00.000+02:00,33969
summer,Forecasted,2024-07-15T15:40:00.000+02:00,33951
summer,Forecasted,2024-07-15T15:45:00.000+02:00,33942
summer,Forecasted,2024-07-15T15:50:00.000+02:00,33929
summer,Forecasted,2024-07-15T15:55:00.000+02:00,33903
summer,Forecasted,2024-07-15T16:00:00.000+02:00,33864
summer,Forecasted,2024-07-15T16:05:00.000+02:00,33830
summer,Forecasted,2024-07-15T16:10:00.000+02:00,33824
summer,Forecasted,2024-07-15T16:15:00.000+02:00,33843
summer,Forecasted,2024-07-15T16:20:00.000+02:00,33878
summer,Forecasted,2024-07-15T16:25:00.000+02:00,33915
summer,Forecasted,2024-07-15T16:30:00.000+02:00,33956
summer,Forecasted,2024-07-15T16:35:00.000+02:00,34001
summer,Forecasted,2024-07-15T16:40:00.000+02:00,34054
summer,Forecasted,2024-07-15T16:45:00.000+02:00,34114
summer,Forecasted,2024-07-15T16:50:00.000+02:00,34177
summer,Forecasted,2024-07-15T16:55:00.000+02:00,34239
summer,Forecasted,2024-07-15T17:00:00.000+02:00,34301
