;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
200701;Enero de 2007;1;Andalucía;4;Almería;4001;Abla;30;0;10;0;0;20;0;7;0;6;17
200701;Enero de 2007;1;Andalucía;4;Almería;4002;Abrucena;44;0;25;0;0;19;0;14;2;13;15
200701;Enero de 2007;1;Andalucía;4;Almería;4003;Adra;588;9;411;22;3;135;8;83;20;331;154
200701;Enero de 2007;1;Andalucía;4;Almería;4004;Albánchez;19;5;9;1;1;3;0;3;8;0;8
200701;Enero de 2007;1;Andalucía;4;Almería;4005;Alboloduy;4;0;0;0;0;4;0;0;0;0;4
200701;Enero de 2007;1;Andalucía;4;Almería;4006;Albox;327;10;154;65;4;81;13;22;10;129;166
200701;Enero de 2007;1;Andalucía;4;Almería;4007;Alcolea;38;0;17;0;0;21;0;20;2;6;10
200701;Enero de 2007;1;Andalucía;4;Almería;4008;Alcóntar;12;1;3;0;0;8;0;2;1;0;9
200701;Enero de 2007;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;9;0;6;0;0;3;0;0;0;5;4
200701;Enero de 2007;1;Andalucía;4;Almería;4010;Alhabia;32;0;23;0;0;9;0;0;4;13;15
200701;Enero de 2007;1;Andalucía;4;Almería;4011;Alhama de Almería;165;2;40;79;4;30;10;6;6;18;135
200701;Enero de 2007;1;Andalucía;4;Almería;4012;Alicún;5;0;4;1;0;0;0;4;1;0;0
200701;Enero de 2007;1;Andalucía;4;Almería;4013;Almería;7290;199;3518;457;160;2726;230;345;188;1574;5183
200701;Enero de 2007;1;Andalucía;4;Almería;4014;Almócita;2;0;2;0;0;0;0;1;0;0;1
200701;Enero de 2007;1;Andalucía;4;Almería;4015;Alsodux;2;0;1;0;0;1;0;0;0;2;0
200701;Enero de 2007;1;Andalucía;4;Almería;4016;Antas;221;8;131;22;2;54;4;57;15;41;108
200701;Enero de 2007;1;Andalucía;4;Almería;4017;Arboleas;52;1;35;0;1;15;0;27;1;7;17
200701;Enero de 2007;1;Andalucía;4;Almería;4018;Armuña de Almanzora;9;0;3;0;0;6;0;2;0;2;5
200701;Enero de 2007;1;Andalucía;4;Almería;4019;Bacares;12;0;3;0;0;9;0;4;0;1;7
200701;Enero de 2007;1;Andalucía;4;Almería;4020;Bayárcal;7;0;6;1;0;0;0;1;0;5;1
