;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201801;Enero de 2018;1;Andalucía;4;Almería;4001;Abla;27;0;11;0;0;16;0;7;1;0;19
201801;Enero de 2018;1;Andalucía;4;Almería;4002;Abrucena;34;0;24;0;0;10;0;9;1;6;18
201801;Enero de 2018;1;Andalucía;4;Almería;4003;Adra;475;7;264;7;2;193;2;203;12;28;232
201801;Enero de 2018;1;Andalucía;4;Almería;4004;Albánchez;15;1;8;0;0;6;0;3;1;1;10
201801;Enero de 2018;1;Andalucía;4;Almería;4005;Alboloduy;27;0;10;0;0;17;0;5;5;0;17
201801;Enero de 2018;1;Andalucía;4;Almería;4006;Albox;325;10;148;10;7;146;4;27;29;50;219
201801;Enero de 2018;1;Andalucía;4;Almería;4007;Alcolea;52;1;40;0;0;11;0;20;2;2;28
201801;Enero de 2018;1;Andalucía;4;Almería;4008;Alcóntar;10;0;5;0;0;5;0;0;1;0;9
201801;Enero de 2018;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;9;0;2;0;0;7;0;2;0;1;6
201801;Enero de 2018;1;Andalucía;4;Almería;4010;Alhabia;8;0;5;0;0;3;0;3;2;1;2
201801;Enero de 2018;1;Andalucía;4;Almería;4011;Alhama de Almería;88;0;57;1;3;26;1;11;4;26;47
201801;Enero de 2018;1;Andalucía;4;Almería;4012;Alicún;9;0;5;0;0;4;0;2;0;0;7
201801;Enero de 2018;1;Andalucía;4;Almería;4013;Almería;6363;134;3098;123;141;2774;93;891;168;530;4774
201801;Enero de 2018;1;Andalucía;4;Almería;4014;Almócita;7;0;5;0;0;2;0;3;0;0;4
201801;Enero de 2018;1;Andalucía;4;Almería;4015;Alsodux;3;0;2;0;0;1;0;0;0;0;3
201801;Enero de 2018;1;Andalucía;4;Almería;4016;Antas;555;81;312;7;11;142;2;232;7;21;295
201801;Enero de 2018;1;Andalucía;4;Almería;4017;Arboleas;93;5;71;0;1;16;0;34;0;5;54
201801;Enero de 2018;1;Andalucía;4;Almería;4018;Armuña de Almanzora;7;0;1;0;0;6;0;5;0;0;2
201801;Enero de 2018;1;Andalucía;4;Almería;4019;Bacares;3;0;0;0;0;3;0;0;0;0;3
201801;Enero de 2018;1;Andalucía;4;Almería;4020;Bayárcal;5;0;1;0;0;4;0;2;0;0;3
201801;Enero de 2018;1;Andalucía;4;Almería;4021;Bayarque;4;0;1;0;0;3;0;0;0;3;1
201801;Enero de 2018;1;Andalucía;4;Almería;4022;Bédar;10;0;7;0;0;3;0;0;0;0;10
201801;Enero de 2018;1;Andalucía;4;Almería;4023;Beires;5;0;3;0;1;1;0;0;0;0;5
201801;Enero de 2018;1;Andalucía;4;Almería;4024;Benahadux;143;1;61;3;0;78;0;7;94;4;38
