;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201301;Enero de 2013;1;Andalucía;4;Almería;4056;Laroya;2;0;1;0;0;1;0;0;0;0;2
201301;Enero de 2013;1;Andalucía;4;Almería;4057;Láujar de Andarax;44;0;24;0;0;20;0;5;2;4;33
201301;Enero de 2013;1;Andalucía;4;Almería;4058;Líjar;10;0;2;3;0;5;0;0;3;0;7
201301;Enero de 2013;1;Andalucía;4;Almería;4059;Lubrín;23;1;8;1;0;13;0;10;0;1;12
201301;Enero de 2013;1;Andalucía;4;Almería;4060;Lucainena de las Torres;11;0;8;0;0;3;0;3;0;2;6
201301;Enero de 2013;1;Andalucía;4;Almería;4061;Lúcar;17;0;7;0;0;10;0;11;0;0;6
201301;Enero de 2013;1;Andalucía;4;Almería;4062;Macael;39;1;25;1;0;11;1;0;18;3;18
201301;Enero de 2013;1;Andalucía;4;Almería;4063;María;21;0;9;0;0;12;0;15;0;0;6
201301;Enero de 2013;1;Andalucía;4;Almería;4064;Mojácar;240;3;123;4;1;106;3;0;0;14;226
201301;Enero de 2013;1;Andalucía;4;Almería;4065;Nacimiento;10;0;5;0;0;5;0;8;1;0;1
201301;Enero de 2013;1;Andalucía;4;Almería;4066;Níjar;971;7;509;1;12;439;3;432;12;40;487
201301;Enero de 2013;1;Andalucía;4;Almería;4067;Ohanes;12;1;7;0;0;4;0;5;0;0;7
201301;Enero de 2013;1;Andalucía;4;Almería;4068;Olula de Castro;1;0;0;0;0;1;0;0;0;0;1
201301;Enero de 2013;1;Andalucía;4;Almería;4069;Olula del Río;53;2;25;2;3;17;4;6;1;7;39
201301;Enero de 2013;1;Andalucía;4;Almería;4070;Oria;32;0;17;0;0;14;1;11;1;2;18
201301;Enero de 2013;1;Andalucía;4;Almería;4071;Padules;7;0;6;0;0;1;0;3;0;0;4
201301;Enero de 2013;1;Andalucía;4;Almería;4072;Partaloa;6;0;4;0;0;2;0;2;0;0;4
201301;Enero de 2013;1;Andalucía;4;Almería;4073;Paterna del Río;3;0;2;0;0;1;0;2;0;1;0
201301;Enero de 2013;1;Andalucía;4;Almería;4074;Pechina;30;0;17;0;0;13;0;10;0;1;19
201301;Enero de 2013;1;Andalucía;4;Almería;4075;Pulpí;502;7;325;2;5;162;1;184;19;13;286
201301;Enero de 2013;1;Andalucía;4;Almería;4076;Purchena;25;0;14;0;0;11;0;7;5;2;11
201301;Enero de 2013;1;Andalucía;4;Almería;4077;Rágol;10;0;2;0;0;8;0;8;0;0;2
201301;Enero de 2013;1;Andalucía;4;Almería;4078;Rioja;17;0;5;0;0;12;0;3;1;0;13
201301;Enero de 2013;1;Andalucía;4;Almería;4079;Roquetas de Mar;1184;19;647;17;20;464;17;294;20;100;770
201301;Enero de 2013;1;Andalucía;4;Almería;4080;Santa Cruz de Marchena;0;0;0;0;0;0;0;0;0;0;0
201301;Enero de 2013;1;Andalucía;4;Almería;4081;Santa Fe de Mondújar;17;0;12;0;0;5;0;16;0;0;1
201301;Enero de 2013;1;Andalucía;4;Almería;4082;Senés;16;0;5;0;0;11;0;3;0;3;10
201301;Enero de 2013;1;Andalucía;4;Almería;4083;Serón;49;1;18;0;0;29;1;8;5;2;34
201301;Enero de 2013;1;Andalucía;4;Almería;4084;Sierro;0;0;0;0;0;0;0;0;0;0;0
201301;Enero de 2013;1;Andalucía;4;Almería;4085;Somontín;3;0;1;0;0;2;0;2;0;1;0
201301;Enero de 2013;1;Andalucía;4;Almería;4086;Sorbas;75;1;49;1;0;24;0;9;2;26;38
