;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201701;Enero de 2017;1;Andalucía;4;Almería;4001;Abla;30;2;12;3;0;13;0;5;1;2;22
201701;Enero de 2017;1;Andalucía;4;Almería;4002;Abrucena;25;0;18;0;0;7;0;9;0;4;12
201701;Enero de 2017;1;Andalucía;4;Almería;4003;Adra;440;19;237;3;1;176;4;226;5;18;191
201701;Enero de 2017;1;Andalucía;4;Almería;4004;Albánchez;12;1;5;0;0;6;0;0;3;0;9
201701;Enero de 2017;1;Andalucía;4;Almería;4005;Alboloduy;9;0;5;0;0;4;0;4;0;0;5
201701;Enero de 2017;1;Andalucía;4;Almería;4006;Albox;246;7;131;2;4;94;8;22;21;37;166
201701;Enero de 2017;1;Andalucía;4;Almería;4007;Alcolea;36;0;23;1;0;12;0;21;3;1;11
201701;Enero de 2017;1;Andalucía;4;Almería;4008;Alcóntar;11;0;9;0;0;2;0;0;2;5;4
201701;Enero de 2017;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;2;0;1;0;0;1;0;0;0;0;2
201701;Enero de 2017;1;Andalucía;4;Almería;4010;Alhabia;5;0;3;0;0;2;0;2;0;1;2
201701;Enero de 2017;1;Andalucía;4;Almería;4011;Alhama de Almería;58;1;32;1;0;23;1;13;1;16;28
201701;Enero de 2017;1;Andalucía;4;Almería;4012;Alicún;4;0;2;0;0;2;0;1;0;1;2
