;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
201401;Enero de 2014;1;Andalucía;4;Almería;4001;Abla;20;0;11;0;0;9;0;3;1;3;13
201401;Enero de 2014;1;Andalucía;4;Almería;4002;Abrucena;41;1;26;0;0;14;0;7;3;17;14
201401;Enero de 2014;1;Andalucía;4;Almería;4003;Adra;259;4;118;0;1;136;0;136;0;14;109
201401;Enero de 2014;1;Andalucía;4;Almería;4004;Albánchez;4;0;1;0;0;3;0;0;0;0;4
201401;Enero de 2014;1;Andalucía;4;Almería;4005;Alboloduy;27;4;18;0;0;5;0;21;0;2;4
201401;Enero de 2014;1;Andalucía;4;Almería;4006;Albox;161;3;89;4;0;56;9;16;15;12;118
201401;Enero de 2014;1;Andalucía;4;Almería;4007;Alcolea;49;1;23;0;0;25;0;31;0;3;15
201401;Enero de 2014;1;Andalucía;4;Almería;4008;Alcóntar;17;0;4;0;0;13;0;4;0;0;13
201401;Enero de 2014;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;15;0;11;0;0;4;0;1;0;0;14
201401;Enero de 2014;1;Andalucía;4;Almería;4010;Alhabia;9;0;9;0;0;0;0;2;0;5;2
201401;Enero de 2014;1;Andalucía;4;Almería;4011;Alhama de Almería;47;0;31;0;1;14;1;10;0;7;30
201401;Enero de 2014;1;Andalucía;4;Almería;4012;Alicún;0;0;0;0;0;0;0;0;0;0;0
201401;Enero de 2014;1;Andalucía;4;Almería;4013;Almería;4373;82;2129;58;121;1906;77;427;82;310;3554
201401;Enero de 2014;1;Andalucía;4;Almería;4014;Almócita;15;0;12;0;0;3;0;6;0;0;9
201401;Enero de 2014;1;Andalucía;4;Almería;4015;Alsodux;0;0;0;0;0;0;0;0;0;0;0
201401;Enero de 2014;1;Andalucía;4;Almería;4016;Antas;205;7;138;12;1;47;0;52;10;9;134
201401;Enero de 2014;1;Andalucía;4;Almería;4017;Arboleas;31;1;18;0;0;12;0;4;2;0;25
201401;Enero de 2014;1;Andalucía;4;Almería;4018;Armuña de Almanzora;13;0;5;0;0;8;0;3;3;0;7
201401;Enero de 2014;1;Andalucía;4;Almería;4019;Bacares;7;0;2;0;0;5;0;4;0;0;3
201401;Enero de 2014;1;Andalucía;4;Almería;4020;Bayárcal;1;0;0;0;0;1;0;0;0;0;1
201401;Enero de 2014;1;Andalucía;4;Almería;4021;Bayarque;1;0;0;0;0;1;0;0;0;1;0
201401;Enero de 2014;1;Andalucía;4;Almería;4022;Bédar;14;2;7;0;0;5;0;9;0;0;5
201401;Enero de 2014;1;Andalucía;4;Almería;4023;Beires;1;0;1;0;0;0;0;0;0;0;1
201401;Enero de 2014;1;Andalucía;4;Almería;4024;Benahadux;48;0;30;0;1;16;1;5;11;6;26
201401;Enero de 2014;1;Andalucía;4;Almería;4026;Benitagla;1;0;1;0;0;0;0;1;0;0;0
201401;Enero de 2014;1;Andalucía;4;Almería;4027;Benizalón;9;0;6;0;0;3;0;0;0;3;6
201401;Enero de 2014;1;Andalucía;4;Almería;4028;Bentarique;22;0;8;0;0;14;0;4;0;0;18
201401;Enero de 2014;1;Andalucía;4;Almería;4029;Berja;172;1;105;4;0;62;0;59;6;35;72
201401;Enero de 2014;1;Andalucía;4;Almería;4030;Canjáyar;20;0;15;0;0;5;0;9;0;2;9
201401;Enero de 2014;1;Andalucía;4;Almería;4031;Cantoria;76;1;40;19;1;14;1;9;29;11;27
201401;Enero de 2014;1;Andalucía;4;Almería;4032;Carboneras;186;4;157;6;0;18;1;9;10;16;151
201401;Enero de 2014;1;Andalucía;4;Almería;4033;Castro de Filabres;0;0;0;0;0;0;0;0;0;0;0
201401;Enero de 2014;1;Andalucía;4;Almería;4034;Cóbdar;0;0;0;0;0;0;0;0;0;0;0
