;;;;CONTRATOS POR MUNICIPIOS DESGLOSADO POR SEXO, TIPO DE CONTRATO Y SECTOR DE LA ACTIVIDAD ECONÓMICA;;;;;;;;;;;;;;
Código mes ;mes;Código de CA;Comunidad Autónoma;Codigo Provincia;Provincia;Codigo Municipio; Municipio;Total Contratos;Contratos iniciales indefinidos hombres;Contratos iniciales temporales hombres;Contratos convertidos en indefinidos hombres;Contratos iniciales indefinidos mujeres;Contratos iniciales temporales mujeres;Contratos convertidos en indefinidos mujeres;Contratos  Agricultura;Contratos  Industria;Contratos Construcción;Contratos  Servicios
200901;Enero de 2009;1;Andalucía;4;Almería;4001;Abla;16;0;4;1;3;8;0;0;1;0;15
200901;Enero de 2009;1;Andalucía;4;Almería;4002;Abrucena;27;1;9;0;0;17;0;6;2;4;15
200901;Enero de 2009;1;Andalucía;4;Almería;4003;Adra;385;14;195;1;3;168;4;129;22;87;147
200901;Enero de 2009;1;Andalucía;4;Almería;4004;Albánchez;21;0;6;7;1;3;4;0;1;0;20
200901;Enero de 2009;1;Andalucía;4;Almería;4005;Alboloduy;9;0;4;0;0;5;0;1;1;1;6
200901;Enero de 2009;1;Andalucía;4;Almería;4006;Albox;229;3;142;21;5;56;2;2;12;69;146
200901;Enero de 2009;1;Andalucía;4;Almería;4007;Alcolea;19;0;8;1;0;10;0;11;0;3;5
200901;Enero de 2009;1;Andalucía;4;Almería;4008;Alcóntar;11;1;3;0;0;7;0;4;1;0;6
200901;Enero de 2009;1;Andalucía;4;Almería;4009;Alcudia de Monteagud;3;0;0;0;0;3;0;0;0;0;3
200901;Enero de 2009;1;Andalucía;4;Almería;4010;Alhabia;5;0;5;0;0;0;0;0;1;4;0
200901;Enero de 2009;1;Andalucía;4;Almería;4011;Alhama de Almería;62;0;30;0;0;19;13;0;3;6;53
200901;Enero de 2009;1;Andalucía;4;Almería;4012;Alicún;3;0;1;0;2;0;0;0;0;0;3
200901;Enero de 2009;1;Andalucía;4;Almería;4013;Almería;4897;95;2168;113;96;2317;108;331;143;659;3764
200901;Enero de 2009;1;Andalucía;4;Almería;4014;Almócita;5;0;4;0;0;1;0;2;0;1;2
200901;Enero de 2009;1;Andalucía;4;Almería;4015;Alsodux;0;0;0;0;0;0;0;0;0;0;0
200901;Enero de 2009;1;Andalucía;4;Almería;4016;Antas;157;4;91;5;3;50;4;48;8;14;87
200901;Enero de 2009;1;Andalucía;4;Almería;4017;Arboleas;30;0;19;0;1;10;0;11;0;9;10
200901;Enero de 2009;1;Andalucía;4;Almería;4018;Armuña de Almanzora;10;0;1;0;0;9;0;0;1;0;9
200901;Enero de 2009;1;Andalucía;4;Almería;4019;Bacares;3;0;2;0;0;1;0;1;0;2;0
200901;Enero de 2009;1;Andalucía;4;Almería;4020;Bayárcal;15;0;10;0;0;5;0;0;0;2;13
200901;Enero de 2009;1;Andalucía;4;Almería;4021;Bayarque;13;0;8;0;0;5;0;0;0;13;0
200901;Enero de 2009;1;Andalucía;4;Almería;4022;Bédar;1;0;1;0;0;0;0;0;0;0;1
200901;Enero de 2009;1;Andalucía;4;Almería;4023;Beires;0;0;0;0;0;0;0;0;0;0;0
200901;Enero de 2009;1;Andalucía;4;Almería;4024;Benahadux;64;0;36;2;0;26;0;0;9;19;36
200901;Enero de 2009;1;Andalucía;4;Almería;4026;Benitagla;0;0;0;0;0;0;0;0;0;0;0
200901;Enero de 2009;1;Andalucía;4;Almería;4027;Benizalón;17;0;14;0;0;3;0;7;0;2;8
200901;Enero de 2009;1;Andalucía;4;Almería;4028;Bentarique;3;0;1;0;0;2;0;1;0;0;2
200901;Enero de 2009;1;Andalucía;4;Almería;4029;Berja;170;0;70;3;1;94;2;75;0;14;81
200901;Enero de 2009;1;Andalucía;4;Almería;4030;Canjáyar;19;0;12;0;0;7;0;9;0;0;10
200901;Enero de 2009;1;Andalucía;4;Almería;4031;Cantoria;72;1;32;5;0;31;3;12;16;10;34
200901;Enero de 2009;1;Andalucía;4;Almería;4032;Carboneras;72;1;52;0;2;16;1;0;15;30;27
200901;Enero de 2009;1;Andalucía;4;Almería;4033;Castro de Filabres;0;0;0;0;0;0;0;0;0;0;0
200901;Enero de 2009;1;Andalucía;4;Almería;4034;Cóbdar;0;0;0;0;0;0;0;0;0;0;0
200901;Enero de 2009;1;Andalucía;4;Almería;4035;Cuevas del Almanzora;687;3;519;2;0;163;0;511;6;81;89
200901;Enero de 2009;1;Andalucía;4;Almería;4036;Chercos;7;0;1;0;0;6;0;0;1;0;6
200901;Enero de 2009;1;Andalucía;4;Almería;4037;Chirivel;39;0;22;0;0;17;0;5;0;11;23
200901;Enero de 2009;1;Andalucía;4;Almería;4038;Dalías;63;0;32;0;0;30;1;17;2;17;27
200901;Enero de 2009;1;Andalucía;4;Almería;4041;Enix;5;0;5;0;0;0;0;2;0;3;0
200901;Enero de 2009;1;Andalucía;4;Almería;4043;Felix;3;0;3;0;0;0;0;0;3;0;0
