fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010
2009-1,2331,7.2(19),20.0,86.0,1.0,6.0,2.1,925.4(11),6.0,1016.0,911.5,-0.7,14.0(30),9.4,0.0,0.0,1.0,26/30.3(24),0.0,10.0,22.0,2.0,3.6,19.0,-10.9(12),413.0,68.0,0.0,3.0,314.0,37.7,11.0,0.0,3.0,15.0,17.0,-1.7,9.0,2.8,6.2,0.0,4.1,891.8(23),9.0
2009-2,2331,5.3(06),10.0,,0.0,3.0,5.0,927.4(22),5.0,1016.0,911.9,-0.7,17.8(27),5.8,0.0,0.0,4.0,18/23.3(04),0.0,14.0,47.0,0.0,3.8,8.0,-4.5(07),449.0,61.0,0.0,1.0,517.0,18.8,3.0,0.0,3.4,18.0,19.0,2.8,7.0,4.1,8.9,0.0,3.6,887.1(01),5.0
2009-3,2331,11.9(05),6.0,62.0,0.0,2.0,7.6,925.4(12),5.0,1017.6,914.4,0.2,21.0(13),4.6,0.0,0.0,12.0,30/18.6(05),1.0,13.0,63.0,0.0,8.0,9.0,-3.4(25),338.0,60.0,0.0,1.0,1093.0,27.1,4.0,1.0,7.8,16.0,16.0,3.0,7.0,6.8,13.4,0.0,7.4,892.8(05),6.0
2009-4,2331,8.7(17),5.0,66.0,3.0,0.0,6.9,923.7(21),4.0,1014.3,912.0,2.3,23.2(23),6.0,0.0,0.0,0.0,21/20.0(09),0.0,25.0,52.0,0.0,10.3,12.0,-1.8(13),379.0,73.0,0.0,0.0,1024.0,41.3,11.0,0.0,10.1,16.0,8.0,7.2,0.0,8.2,14.0,0.0,9.7,900.5(15),9.0
2009-5,2331,11.9(22),3.0,62.0,0.0,3.0,9.8,925.8(27),5.0,1016.1,915.8,7.0,27.6(20),12.0,0.0,0.0,5.0,21/18.1(11),1.0,23.0,67.0,0.0,17.0,10.0,1.8(15),391.0,104.0,0.0,0.0,1476.0,44.8,12.0,5.0,17.4,17.0,0.0,11.7,0.0,13.8,20.6,0.0,15.7,907.2(11),9.0
2009-6,2331,16.0(14),7.0,,0.0,2.0,8.8,923.7(20),4.0,1013.8,915.2,10.6,34.2(13),15.3,4.0,0.0,5.0,26/19.2(08),1.0,18.0,57.0,0.0,21.9,9.0,6.3(01),353.0,122.0,0.0,2.0,1619.0,35.1,12.0,3.0,22.2,15.0,0.0,17.4,0.0,17.7,24.7,0.0,20.4,903.8(06),7.0
2009-7,2331,4.1(22),0.0,48.0,0.0,1.0,12.0,924.7(17),5.0,1014.3,916.4,11.7,35.0(26),16.8,13.0,0.0,12.0,22/23.6(22),0.0,19.0,80.0,0.0,26.1,2.0,6.3(18),377.0,115.0,0.0,0.0,2457.0,4.4,2.0,1.0,26.3,16.0,0.0,20.2,0.0,20.1,28.4,0.0,24.6,906.9(22),1.0
2009-8,2331,6.6(01),2.0,54.0,0.0,1.0,10.4,921.9(28),2.0,1014.4,916.5,12.8,35.0(23),17.7,14.0,0.0,8.0,24/16.9(01),0.0,21.0,75.0,0.0,25.3,4.0,8.5(30),391.0,130.0,0.0,0.0,2016.0,15.1,7.0,2.0,25.2,16.0,0.0,19.6,0.0,20.7,28.5,0.0,24.3,909.3(24),3.0
2009-9,2331,16.3(17),4.0,65.0,0.0,4.0,7.7,924.2(21),0.0,1017.2,917.4,10.3,30.5(08),15.0,1.0,0.0,5.0,06/15.0(11),1.0,21.0,61.0,0.0,20.0,5.0,6.0(17),359.0,120.0,0.0,2.0,1363.0,30.1,7.0,0.0,19.4,15.0,0.0,13.2,0.0,16.4,22.4,0.0,19.9,907.0(17),4.0
2009-10,2331,34.5(21),9.0,68.0,0.0,2.0,6.0,925.0(31),2.0,1017.1,916.1,7.0,27.2(05),14.2,0.0,0.0,5.0,14/18.1(22),1.0,17.0,54.0,0.0,14.9,5.0,-3.4(19),327.0,104.0,1.0,0.0,1096.0,48.1,8.0,0.0,14.1,13.0,2.0,9.6,0.0,13.0,19.1,0.0,14.7,891.8(22),3.0
2009-11,2331,31.2(01),13.0,78.0,0.0,3.0,3.0,927.3(23),12.0,1016.7,914.1,4.7,19.4(16),11.6,0.0,0.0,1.0,35/20.0(08),2.0,16.0,31.0,0.0,9.0,16.0,-0.6(30),483.0,87.0,1.0,1.0,770.0,63.9,17.0,0.0,8.0,18.0,1.0,6.9,3.0,8.7,12.5,0.0,9.3,898.4(29),10.0
2009-12,2331,25.1(23),16.0,86.0,0.0,2.0,1.8,924.1(09),8.0,1011.2,907.3,-0.9,12.8(10),9.1,0.0,0.0,1.0,23/23.3(30),8.0,14.0,20.0,0.0,4.2,20.0,-17.1(20),447.0,72.0,0.0,2.0,301.0,166.4,13.0,0.0,3.3,18.0,14.0,-2.4,11.0,2.9,6.7,0.0,4.5,884.0(24),14.0
2009-13,2331,34.5(21/oct),95.0,,4.0,29.0,6.8,927.4(22/feb),58.0,1015.4,914.1,5.4,35.0(26/jul),17.7,32.0,0.0,59.0,26/30.3(24/ene),15.0,211.0,52.0,2.0,13.7,119.0,-17.1(20/dic),392.0,93.0,2.0,12.0,14046.0,532.8,107.0,12.0,13.4,16.0,77.0,-2.4,37.0,11.3,17.1,0.0,13.2,884.0(24/dic),80.0
