fecha,indicativo,p_max,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,w_racha,np_100,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,n_cub,n_des,n_nub
2019-1,5402,26.4(31),30143.0,70.0,0.0,1.0,7.7,1024.0(05),0.0,1022.3,1011.1,1.7,21.4(26),11.9,0.0,0.0,24/15.0(31),1.0,78.0,0.0,3.0,-2.5(11),203.0,80.0,0.0,0.0,823.0,37.2,3.0,0.0,9.0,13.0,11.6,0.0,8.9,16.1,0.0,993.6(31),3.0,,,
2019-2,5402,0.5(01),35707.0,64.0,0.0,0.0,9.3,1021.2(25),1.0,1024.9,1013.7,3.2,24.8(28),6.8,0.0,0.0,23/17.5(01),0.0,86.0,0.0,1.0,-0.3(03),155.0,86.0,0.0,0.0,937.0,0.5,3.0,1.0,6.0,2.0,13.4,0.0,11.7,20.1,0.0,987.5(01),0.0,,,
2019-3,5402,12.1(06),57646.0,54.0,0.0,0.0,,1021.4(09),1.0,1022.4,1011.1,5.9,28.2(26),12.5,0.0,0.0,23/21.1(06),1.0,,0.0,5.0,2.6(22),209.0,89.0,0.0,0.0,1761.0,16.0,5.0,1.0,10.0,0.0,17.2,0.0,14.6,23.5,0.0,998.3(06),3.0,,,
2019-4,5402,11.7(07),57815.0,61.0,0.0,1.0,10.5,1015.2(26),3.0,1013.7,1002.8,8.6,31.3(30),13.5,2.0,0.0,29/18.9(23),1.0,80.0,0.0,15.0,4.6(04),260.0,109.0,0.0,0.0,1603.0,51.9,15.0,3.0,13.0,0.0,15.5,0.0,15.5,22.4,0.0,987.7(23),11.0,8.0,4.0,18.0
2019-5,5402,0.0(--),83446.0,38.0,0.0,0.0,12.6,1011.4(30),1.0,1013.8,1003.3,13.7,37.1(28),18.6,20.0,0.0,23/17.5(16),0.0,89.0,0.0,0.0,11.0(13),239.0,109.0,0.0,0.0,3451.0,0.0,0.0,0.0,11.0,0.0,25.0,0.0,22.6,31.5,0.0,995.0(16),0.0,1.0,12.0,18.0
2019-6,5402,0.0(--),84747.0,35.0,0.0,0.0,13.3,1009.8(15),0.0,1014.0,1003.5,15.8,40.4(29),21.0,26.0,0.0,99/13.3(14),0.0,90.0,0.0,0.0,11.0(06),272.0,117.0,0.0,0.0,3680.0,0.0,0.0,0.0,13.0,0.0,27.1,0.0,24.4,32.9,0.0,996.6(13),0.0,0.0,16.0,14.0
2019-7,5402,0.0(--),84783.0,39.0,0.0,0.0,13.0,1008.0(01),1.0,1012.6,1002.3,19.8,41.8(11),23.9,31.0,0.0,23/16.1(23),0.0,90.0,0.0,0.0,16.5(08),283.0,151.0,0.0,0.0,4163.0,0.0,1.0,0.0,13.0,0.0,30.7,0.0,28.1,36.4,0.0,996.9(28),0.0,0.0,17.0,14.0
2019-8,5402,11.4(26),79103.0,33.0,1.0,0.0,,1009.0(30),1.0,1013.9,1003.5,19.9,41.4(17),22.6,29.0,0.0,20/18.6(26),1.0,,0.0,1.0,17.2(12),218.0,134.0,0.0,0.0,3886.0,11.4,0.0,1.0,9.0,0.0,32.1,0.0,28.8,37.6,0.0,998.5(06),1.0,2.0,23.0,6.0
2019-9,5402,8.1(14),56185.0,46.0,0.0,1.0,10.5,1013.2(12),0.0,1016.1,1005.6,17.8,39.1(02),22.6,22.0,0.0,08/14.4(12),0.0,84.0,0.0,4.0,12.6(23),201.0,145.0,0.0,0.0,2544.0,12.3,6.0,1.0,9.0,0.0,26.2,0.0,25.2,32.5,0.0,999.7(01),3.0,3.0,9.0,18.0
2019-10,5402,4.6(19),45272.0,53.0,0.0,0.0,9.6,1015.3(31),1.0,1017.1,1006.3,12.5,35.1(07),19.7,13.0,0.0,21/16.1(19),0.0,86.0,0.0,3.0,6.5(16),188.0,121.0,0.0,0.0,1732.0,6.4,5.0,0.0,8.0,0.0,15.2,0.0,20.1,27.7,0.0,996.4(19),2.0,4.0,10.0,17.0
2019-11,5402,34.5(22),23498.0,73.0,0.0,3.0,6.3,1014.9(09),2.0,1016.0,1005.0,8.5,26.7(01),18.2,0.0,0.0,22/18.9(22),2.0,62.0,0.0,16.0,-1.8(16),234.0,114.0,1.0,3.0,929.0,73.0,18.0,0.0,10.0,1.0,9.8,0.0,13.1,17.7,0.0,985.1(22),9.0,10.0,5.0,13.0
2019-12,5402,50.3(19),23608.0,77.0,0.0,2.0,6.6,1022.3(31),3.0,1020.7,1009.6,7.7,21.2(16),16.5,0.0,0.0,22/22.8(19),3.0,68.0,0.0,9.0,1.9(12),237.0,113.0,2.0,2.0,541.0,130.8,9.0,0.0,10.0,0.0,13.7,0.0,12.6,17.5,0.0,987.9(16),6.0,8.0,8.0,15.0
2019-13,5402,50.3(19/dic),661953.0,54.0,1.0,8.0,,1024.0(05/ene),14.0,1017.3,1006.5,11.3,41.8(11/jul),23.9,143.0,0.0,22/22.8(19/dic),9.0,,0.0,57.0,-2.5(11/ene),225.0,114.0,3.0,5.0,26050.0,339.5,65.0,7.0,10.0,16.0,9.8,0.0,18.8,26.3,0.0,985.1(22/nov),38.0,,,
