fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
1990-1,5402,21.3(27),8.0,77.0,0.0,1.0,6.0,1026.2(21),1.0,1026.5,1015.2,4.3,17.2(27),11.8,0.0,0.0,13.0,24/18.1(31),3.0,10.0,60.0,0.0,9.0,-1.4(23),173.0,95.0,0.0,0.0,441.0,73.6,9.0,0.0,7.0,1.0,11.6,0.0,9.6,14.8,0.0,996.5(28),8.0
1990-2,5402,0.0(--),1.0,71.0,0.0,6.0,8.2,1023.3(23),0.0,1025.8,1014.7,5.5,25.0(24),10.0,0.0,0.0,10.0,24/11.4(12),0.0,17.0,76.0,0.0,0.0,1.6(16),124.0,111.0,0.0,5.0,615.0,0.0,0.0,1.0,6.0,0.0,12.4,0.0,13.0,20.4,0.0,1005.7(16),0.0
1990-3,5402,9.2(31),6.0,60.0,0.0,0.0,6.0,1021.2(20),,1024.1,1013.1,7.9,28.6(22),13.6,0.0,0.0,9.0,,0.0,16.0,50.0,,9.0,1.0(28),,105.0,0.0,0.0,1173.0,20.7,9.0,1.0,12.0,0.0,14.0,0.0,14.8,21.8,0.0,1002.2(31),5.0
1990-4,5402,28.2(01),5.0,64.0,1.0,0.0,7.4,1014.9(18),,1015.7,1004.8,8.7,26.0(17),13.8,0.0,0.0,5.0,,4.0,20.0,56.0,,13.0,2.4(22),219.0,111.0,0.0,1.0,1055.0,119.3,14.0,6.0,12.0,0.0,16.2,0.0,14.8,21.0,0.0,990.9(06),12.0
1990-5,5402,1.1(12),0.0,57.0,0.0,0.0,10.5,1012.5(28),0.0,1015.9,1005.2,12.4,34.0(30),17.4,9.0,0.0,10.0,21/15.0(12),0.0,21.0,74.0,0.0,1.0,9.8(08),217.0,146.0,0.0,0.0,2012.0,1.1,1.0,0.0,9.0,0.0,22.0,0.0,20.3,28.1,0.0,998.7(09),1.0
1990-6,5402,0.0(--),0.0,53.0,0.0,0.0,11.3,1008.7(26),0.0,1015.3,1004.8,15.6,38.4(24),19.6,23.0,0.0,12.0,25/12.8(04),0.0,18.0,76.0,0.0,0.0,12.2(06),287.0,167.0,0.0,0.0,2829.0,0.0,0.0,0.0,13.0,0.0,27.0,0.0,23.9,32.1,0.0,1000.0(04),0.0
1990-7,5402,1.8(27),0.0,42.0,0.0,0.0,11.5,1010.0(29),,1015.2,1004.9,19.5,43.0(24),22.8,31.0,0.0,24.0,,0.0,7.0,79.0,,1.0,15.2(01),,176.0,0.0,0.0,3350.0,1.8,1.0,0.0,9.0,0.0,32.2,0.0,28.8,38.1,0.0,998.6(18),1.0
1990-8,5402,1.6(19),0.0,47.0,0.0,0.0,10.8,1011.0(05),,1016.2,1005.8,19.6,41.2(04),22.4,31.0,0.0,23.0,,0.0,8.0,79.0,,1.0,16.2(31),,182.0,0.0,0.0,2545.0,1.6,2.0,2.0,10.0,0.0,32.4,0.0,28.4,37.2,0.0,999.0(07),1.0
1990-9,5402,9.0(08),5.0,55.0,0.0,0.0,7.1,1013.2(27),1.0,1016.1,1005.6,18.9,37.4(05),22.4,26.0,0.0,7.0,20/19.4(17),0.0,18.0,57.0,0.0,5.0,13.4(22),193.0,185.0,0.0,0.0,1657.0,11.8,7.0,1.0,8.0,0.0,27.4,0.0,25.8,32.8,0.0,1000.0(04),3.0
1990-10,5402,30.7(18),12.0,71.0,0.0,0.0,5.5,1010.6(13),,1015.9,1005.1,13.3,31.0(01),18.4,3.0,0.0,4.0,,3.0,15.0,48.0,,11.0,8.4(10),,155.0,1.0,0.0,1031.0,115.5,14.0,2.0,10.0,0.0,16.8,0.0,18.6,23.9,0.0,995.2(21),10.0
1990-11,5402,34.6(07),6.0,79.0,0.0,5.0,6.4,,,,,6.9,24.0(17),14.4,0.0,,8.0,,4.0,16.0,63.0,,9.0,-0.6(29),164.0,119.0,1.0,,430.0,85.0,10.0,0.0,6.0,2.0,12.0,0.0,12.5,18.2,,,6.0
1990-12,5402,6.3(25),15.0,81.0,0.0,8.0,3.8,1018.9(25),,1020.9,1009.7,3.9,17.0(29),10.4,0.0,0.0,5.0,,0.0,11.0,40.0,,9.0,-1.4(13),160.0,97.0,0.0,6.0,393.0,16.9,11.0,0.0,8.0,7.0,9.4,0.0,8.8,13.7,0.0,994.6(08),5.0
1990-13,5402,34.6(07/nov),58.0,63.0,1.0,20.0,7.9,,,,,11.4,43.0(24/jul),22.8,123.0,,130.0,,14.0,177.0,63.0,,68.0,-1.4(23/ene),,137.0,2.0,,17531.0,447.3,78.0,13.0,9.0,10.0,9.4,0.0,18.3,25.2,,,52.0
