fecha,indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2020-1,5402,11.0(24),9.0,25998.0,77.0,0.0,2.0,6.5,1023.7(03),1.0,1026.2,1015.0,4.8,19.1(29),10.4,0.0,0.0,10.0,04/16.9(20),1.0,12.0,66.0,0.0,6.0,0.0(12),167.0,96.0,0.0,2.0,433.0,44.9,7.0,0.0,7.0,1.0,11.3,0.0,10.2,15.5,0.0,1000.9(21),6.0
2020-2,5402,0.6(29),3.0,38520.0,68.0,0.0,1.0,9.2,1023.6(10),0.0,1026.2,1015.1,6.7,25.4(04),11.7,0.0,0.0,11.0,99/10.8(29),0.0,15.0,85.0,0.0,2.0,2.3(24),153.0,112.0,0.0,0.0,840.0,0.7,2.0,0.0,7.0,0.0,16.9,0.0,14.2,21.5,0.0,1006.2(28),0.0
2020-3,5402,22.7(30),4.0,47771.0,66.0,0.0,2.0,,1017.2(09),3.0,1017.1,1006.2,7.8,29.0(10),14.1,0.0,0.0,2.0,99/16.1(18),1.0,24.0,,0.0,10.0,2.0(07),252.0,109.0,0.0,1.0,1312.0,49.8,12.0,0.0,11.0,0.0,15.9,0.0,14.7,21.4,0.0,992.2(31),8.0
2020-4,5402,18.4(25),,49922.0,71.0,0.0,0.0,9.3,1013.0(07),,1015.1,1004.3,11.3,26.8(23),14.3,0.0,,,,1.0,,70.0,,14.0,6.6(03),,139.0,0.0,,,68.9,18.0,0.0,8.0,0.0,17.3,0.0,16.8,22.3,,995.3(13),11.0
2020-5,5402,7.1(09),,76370.0,50.0,,,10.2,1013.5(23),,1015.3,1004.7,14.0,38.0(23),16.8,20.0,,,,0.0,,72.0,,9.0,9.4(15),,138.0,0.0,,,22.2,,,9.0,0.0,20.3,,22.4,30.7,,993.0(13),6.0
2020-6,5402,0.0(--),0.0,87471.0,39.0,0.0,0.0,12.5,1012.6(15),2.0,1014.1,1003.6,16.4,40.8(22),20.8,24.0,0.0,14.0,22/17.5(11),0.0,16.0,85.0,0.0,0.0,12.5(13),299.0,126.0,0.0,0.0,3732.0,0.0,0.0,0.0,14.0,0.0,26.3,0.0,24.7,33.1,0.0,996.7(06),0.0
2020-7,5402,1.2(21),0.0,84484.0,31.0,0.0,0.0,12.8,1009.4(04),,1012.6,1002.4,21.7,43.9(26),24.6,31.0,0.0,26.0,,0.0,5.0,88.0,,1.0,17.3(03),,143.0,0.0,0.0,4546.0,1.2,1.0,1.0,10.0,0.0,35.5,0.0,30.8,39.8,0.0,997.4(14),1.0
2020-8,5402,57.6(11),0.0,78532.0,36.0,1.0,0.0,11.6,1009.7(22),2.0,1012.5,1002.2,19.5,43.9(01),24.3,31.0,0.0,22.0,17/18.1(08),1.0,9.0,86.0,0.0,4.0,13.8(31),223.0,139.0,1.0,0.0,3334.0,58.6,4.0,1.0,10.0,0.0,30.6,0.0,28.4,37.2,0.0,994.4(28),1.0
2020-9,5402,14.2(18),4.0,55672.0,45.0,0.0,0.0,9.1,1012.3(25),1.0,1016.0,1005.4,16.8,37.8(12),20.9,21.0,0.0,8.0,25/19.7(18),1.0,18.0,73.0,0.0,3.0,9.6(26),187.0,138.0,0.0,0.0,2271.0,15.1,3.0,1.0,8.0,0.0,24.8,0.0,24.7,32.5,0.0,999.0(17),1.0
2020-10,5402,16.3(21),,43979.0,55.0,0.0,1.0,8.6,1017.5(24),3.0,1018.3,1007.4,10.1,33.0(08),17.3,5.0,0.0,,22/25.3(20),2.0,,77.0,1.0,5.0,5.3(27),200.0,110.0,0.0,0.0,,49.0,6.0,0.0,8.0,0.0,18.5,0.0,17.9,25.6,0.0,990.6(02),5.0
2020-11,5402,34.2(25),,27122.0,78.0,0.0,3.0,5.9,1018.2(19),1.0,1020.5,1009.5,9.6,28.9(01),14.6,0.0,0.0,,24/16.1(25),4.0,,58.0,0.0,12.0,3.1(24),171.0,132.0,1.0,0.0,,101.9,12.0,3.0,7.0,0.0,11.7,0.0,15.3,20.8,0.0,995.0(27),7.0
2020-12,5402,8.5(19),,22731.0,82.0,0.0,5.0,5.0,1020.3(21),0.0,1018.9,1007.7,5.1,20.3(12),15.2,0.0,0.0,,27/12.8(08),0.0,,52.0,0.0,14.0,-2.5(31),207.0,106.0,0.0,0.0,,36.3,13.0,0.0,9.0,4.0,11.1,0.0,10.1,15.1,0.0,989.7(04),9.0
2020-13,5402,57.6(11/ago),,638572.0,58.0,,,,1023.7(03/ene),,1017.7,1007.0,12.0,43.9(26/jul),24.6,132.0,,,,11.0,,,,80.0,-2.5(31/dic),,124.0,2.0,,,448.6,,,9.0,5.0,11.1,,19.2,26.3,,989.7(04/dic),55.0
