fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010
2020-1,2331,4.6(25),14.0,86.0,0.0,13.0,3.3,932.1(04),6.0,1027.2,922.0,0.2,14.3(08),8.5,0.0,0.0,1.0,02/26.1(19),0.0,16.0,36.0,1.0,4.2,13.0,-5.6(07),369.0,74.0,0.0,8.0,357.0,25.5,15.0,0.0,3.7,16.0,17.0,0.6,1.0,4.2,8.2,1.0,4.3,912.8(25),7.0
2020-2,2331,2.4(08),11.0,75.0,0.0,7.0,5.5,931.5(23),2.0,1026.3,922.6,1.9,20.3(23),10.0,0.0,0.0,3.0,24/21.9(29),0.0,15.0,52.0,0.0,7.7,3.0,-4.2(19),337.0,84.0,0.0,3.0,652.0,4.0,8.0,0.0,7.6,15.0,10.0,8.1,0.0,7.7,13.6,0.0,7.2,906.3(29),2.0
2020-3,2331,21.8(01),8.0,76.0,0.0,4.0,6.0,926.0(17),8.0,1018.0,914.9,1.7,21.6(11),6.8,0.0,0.0,3.0,25/30.8(02),2.0,20.0,50.0,1.0,9.1,12.0,-4.0(27),426.0,80.0,0.0,3.0,697.0,51.6,8.0,1.0,8.8,20.0,8.0,4.5,5.0,7.3,12.8,0.0,8.6,892.4(02),7.0
2020-4,2331,19.6(09),,81.0,0.0,2.0,3.7,922.1(07),3.0,1014.2,912.8,6.3,19.9(25),10.0,0.0,,,23/16.1(29),4.0,,28.0,0.0,,21.0,-3.1(04),330.0,109.0,0.0,,,106.4,25.0,9.0,,15.0,2.0,9.4,0.0,11.2,16.0,,,904.9(21),15.0
2020-5,2331,25.2(12),,64.0,0.0,1.0,8.6,928.6(23),2.0,1015.8,916.2,7.6,28.8(22),12.1,0.0,,,18/20.0(04),2.0,,59.0,0.0,,5.0,1.3(17),358.0,118.0,0.0,,,48.6,5.0,5.0,,17.0,0.0,10.8,0.0,14.7,21.8,,,903.5(13),5.0
2020-6,2331,24.2(03),,63.0,1.0,1.0,7.6,925.7(21),2.0,1013.8,914.7,8.9,33.0(23),14.3,4.0,,,24/17.5(12),2.0,,50.0,0.0,,11.0,2.9(09),321.0,124.0,0.0,,,64.4,10.0,9.0,,15.0,0.0,11.9,0.0,16.1,23.3,,,901.4(12),7.0
2020-7,2331,8.4(21),1.0,53.0,0.0,2.0,11.5,923.7(04),6.0,1015.5,917.7,12.0,38.0(27),15.7,15.0,0.0,10.0,18/20.3(30),0.0,20.0,77.0,0.0,26.2,6.0,5.7(04),449.0,133.0,0.0,0.0,2096.0,16.2,6.0,5.0,26.6,20.0,0.0,22.0,0.0,20.5,29.0,0.0,24.5,911.9(01),4.0
2020-8,2331,11.6(11),2.0,53.0,1.0,1.0,9.3,923.6(22),3.0,1013.5,915.6,11.8,38.2(07),18.1,12.0,0.0,5.0,17/17.5(11),1.0,24.0,67.0,0.0,25.3,7.0,3.5(31),347.0,124.0,0.0,0.0,2027.0,29.2,6.0,5.0,25.2,16.0,0.0,17.4,0.0,19.9,27.9,0.0,24.4,907.6(20),5.0
2020-9,2331,13.8(18),5.0,59.0,0.0,2.0,8.4,924.0(07),3.0,1017.1,917.5,8.6,33.2(04),16.2,3.0,0.0,9.0,17/18.6(18),2.0,16.0,67.0,0.0,20.6,9.0,1.4(28),335.0,108.0,0.0,0.0,1477.0,51.2,9.0,2.0,20.4,15.0,0.0,14.1,0.0,16.1,23.6,0.0,20.3,910.2(18),8.0
2020-10,2331,34.2(20),8.0,76.0,0.0,1.0,4.7,926.0(11),6.0,1017.8,915.8,5.0,23.6(19),10.9,0.0,0.0,3.0,21/21.7(02),3.0,20.0,43.0,0.0,12.8,13.0,-0.4(17),380.0,97.0,1.0,1.0,837.0,85.2,19.0,0.0,12.0,16.0,2.0,9.6,0.0,10.4,15.8,0.0,12.5,892.0(02),9.0
2020-11,2331,10.2(06),8.0,81.0,0.0,5.0,4.8,932.6(19),1.0,1022.6,919.5,3.3,17.6(18),10.8,0.0,0.0,3.0,13/18.3(06),1.0,19.0,49.0,0.0,9.5,7.0,-3.6(22),312.0,93.0,0.0,3.0,512.0,14.2,10.0,0.0,8.9,13.0,5.0,8.1,0.0,8.5,13.7,0.0,9.3,904.4(28),2.0
2020-12,2331,7.8(14),12.0,86.0,0.0,0.0,2.1,926.9(26),6.0,1016.1,912.2,1.2,15.1(22),7.3,0.0,0.0,0.0,22/23.9(27),0.0,19.0,23.0,0.0,5.7,16.0,-3.4(26),422.0,77.0,0.0,0.0,431.0,43.6,17.0,0.0,4.9,18.0,15.0,3.3,8.0,4.6,7.9,0.0,5.6,891.6(28),10.0
2020-13,2331,34.2(20/oct),,71.0,2.0,39.0,6.3,932.6(19/nov),48.0,1018.2,916.8,5.7,38.2(07/ago),18.1,34.0,,,25/30.8(02/mar),17.0,,50.0,2.0,,123.0,-5.6(07/ene),366.0,102.0,1.0,,,540.1,138.0,36.0,,16.0,59.0,0.6,14.0,11.8,17.8,,,891.6(28/dic),81.0
