fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
1994-1,5402,17.0(06),6.0,71.0,0.0,1.0,6.3,1025.0(27),2.0,1024.4,1013.1,2.3,21.4(29),9.6,0.0,0.0,15.0,22/19.4(10),1.0,10.0,63.0,0.0,7.0,-2.4(21),168.0,84.0,0.0,2.0,566.0,37.2,7.0,0.0,9.0,9.0,10.2,0.0,8.8,15.2,0.0,983.2(06),6.0
1994-2,5402,15.0(27),9.0,75.0,0.0,0.0,5.7,1023.0(09),3.0,1019.6,1008.4,4.2,20.8(25),10.2,0.0,0.0,6.0,24/18.6(03),1.0,13.0,53.0,0.0,10.0,-1.8(06),176.0,97.0,0.0,0.0,541.0,52.0,14.0,0.0,10.0,6.0,9.4,0.0,10.3,16.4,0.0,991.1(28),8.0
1994-3,5402,0.7(05),1.0,61.0,0.0,0.0,8.4,1019.4(03),0.0,1021.4,1010.4,7.5,29.5(25),12.0,0.0,0.0,13.0,33/12.8(25),0.0,17.0,70.0,0.0,1.0,3.8(03),143.0,111.0,0.0,0.0,1119.0,0.7,2.0,2.0,7.0,0.0,19.2,0.0,15.6,23.7,0.0,998.7(01),0.0
1994-4,5402,13.0(15),6.0,53.0,0.0,0.0,8.3,1020.3(03),1.0,1017.8,1006.9,6.6,31.2(29),11.0,3.0,0.0,12.0,24/15.6(22),1.0,12.0,63.0,0.0,6.0,1.2(17),196.0,92.0,0.0,0.0,1601.0,29.9,7.0,0.0,12.0,0.0,12.4,0.0,14.8,22.9,0.0,994.9(20),5.0
1994-5,5402,14.4(17),6.0,58.0,1.0,1.0,8.3,1012.3(01),2.0,1014.7,1004.0,12.3,34.2(03),16.6,11.0,0.0,3.0,26/18.9(17),2.0,22.0,58.0,0.0,8.0,7.3(12),251.0,133.0,0.0,0.0,1633.0,48.8,12.0,1.0,13.0,0.0,20.4,0.0,19.7,27.0,0.0,993.6(13),6.0
1994-6,5402,0.7(16),1.0,40.0,0.0,0.0,11.3,1011.5(03),0.0,1016.8,1006.3,16.0,42.5(30),19.2,28.0,0.0,19.0,26/11.9(07),0.0,10.0,76.0,0.0,1.0,11.2(03),219.0,136.0,0.0,0.0,3041.0,0.7,1.0,0.0,11.0,0.0,28.2,0.0,25.4,34.8,0.0,1001.0(24),0.0
1994-7,5402,0.2(14),0.0,34.0,0.0,0.0,11.3,1009.0(05),0.0,1014.6,1004.2,19.2,44.0(04),25.4,31.0,0.0,21.0,27/13.9(15),0.0,10.0,78.0,0.0,2.0,16.0(07),266.0,146.0,0.0,0.0,3610.0,0.4,2.0,0.0,12.0,0.0,31.7,0.0,29.4,39.5,0.0,1000.0(11),0.0
1994-8,5402,0.0(--),0.0,40.0,0.0,0.0,11.3,1009.5(23),,1014.4,1004.1,20.0,44.4(26),25.2,31.0,0.0,23.0,,0.0,8.0,83.0,,0.0,16.4(25),,164.0,0.0,0.0,3021.0,0.0,0.0,0.0,12.0,0.0,31.6,0.0,29.0,38.0,0.0,998.8(20),0.0
1994-9,5402,11.3(22),0.0,46.0,0.0,0.0,9.0,1010.7(05),0.0,1015.7,1005.1,14.5,37.2(03),19.4,18.0,0.0,15.0,17/13.3(22),1.0,15.0,72.0,0.0,2.0,8.4(19),188.0,128.0,0.0,0.0,2428.0,14.5,3.0,1.0,10.0,0.0,21.0,0.0,22.8,31.1,0.0,993.6(21),2.0
1994-10,5402,28.2(19),6.0,66.0,0.0,0.0,6.3,1013.6(13),,1016.2,1005.4,13.8,30.2(13),18.8,2.0,0.0,2.0,,2.0,23.0,56.0,,9.0,10.3(30),151.0,153.0,0.0,0.0,937.0,62.9,10.0,1.0,7.0,0.0,18.8,0.0,19.7,25.6,0.0,991.8(19),6.0
1994-11,5402,33.8(03),4.0,78.0,0.0,2.0,6.4,1020.0(24),0.0,1022.1,1011.1,9.0,24.0(01),15.2,0.0,0.0,13.0,24/14.4(03),2.0,13.0,63.0,0.0,7.0,2.4(27),123.0,133.0,1.0,2.0,441.0,57.5,8.0,1.0,7.0,0.0,16.0,0.0,14.8,20.6,0.0,996.0(04),6.0
1994-12,5402,13.3(07),6.0,76.0,0.0,9.0,6.0,1023.3(10),0.0,1027.9,1016.7,3.8,21.2(01),13.0,0.0,0.0,11.0,23/12.2(31),1.0,14.0,62.0,0.0,6.0,-5.2(27),90.0,101.0,0.0,2.0,384.0,27.1,7.0,0.0,6.0,10.0,10.2,0.0,9.8,15.8,0.0,1006.2(01),6.0
1994-13,5402,33.8(03/nov),45.0,58.0,1.0,13.0,8.2,1025.0(27/ene),,1018.8,1008.0,10.8,44.4(26/ago),25.4,124.0,0.0,153.0,,11.0,167.0,66.0,,59.0,-5.2(27/dic),,123.0,1.0,6.0,19322.0,331.7,73.0,6.0,10.0,25.0,9.4,0.0,18.3,25.9,0.0,983.2(06/ene),45.0
