fecha,indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2015-1,5402,13.2(18),4.0,29670.0,73.0,0.0,3.0,7.0,1032.7(09),2.0,1025.9,1014.6,0.7,21.1(30),11.7,0.0,0.0,15.0,25/18.9(31),1.0,12.0,71.0,0.0,7.0,-2.6(01),163.0,80.0,0.0,1.0,629.0,33.2,7.0,0.0,8.0,18.0,7.1,0.0,8.2,15.6,1.0,990.5(31),6.0
2015-2,5402,5.9(14),4.0,32624.0,68.0,0.0,3.0,6.6,1022.5(25),1.0,1020.5,1009.3,3.7,21.6(26),8.7,0.0,0.0,9.0,02/17.5(17),0.0,15.0,61.0,0.0,8.0,-2.2(06),211.0,86.0,0.0,2.0,1020.0,15.5,8.0,0.0,10.0,2.0,10.5,0.0,10.0,16.2,0.0,993.5(04),5.0
2015-3,5402,24.4(23),7.0,52785.0,63.0,0.0,3.0,7.9,1021.2(05),3.0,1019.7,1008.7,5.4,33.0(31),9.5,1.0,0.0,10.0,99/16.4(17),1.0,14.0,66.0,0.0,8.0,0.1(07),130.0,101.0,0.0,2.0,1287.0,38.6,8.0,2.0,6.0,0.0,15.4,0.0,13.9,22.5,0.0,990.9(24),5.0
2015-4,5402,15.3(15),8.0,58051.0,61.0,0.0,1.0,7.7,1013.8(01),0.0,1017.7,1006.8,10.6,32.2(01),13.5,2.0,0.0,2.0,27/15.0(15),2.0,20.0,59.0,0.0,8.0,7.7(19),153.0,128.0,0.0,1.0,1524.0,37.9,10.0,1.0,7.0,0.0,18.1,0.0,18.1,25.6,0.0,996.7(05),5.0
2015-5,5402,0.1(18),2.0,80672.0,37.0,0.0,0.0,10.9,1013.2(08),1.0,1016.0,1005.5,13.5,41.2(13),17.4,27.0,0.0,10.0,25/15.8(04),0.0,19.0,77.0,0.0,1.0,8.4(06),175.0,111.0,0.0,0.0,2943.0,0.1,1.0,0.0,8.0,0.0,25.4,0.0,23.2,32.9,0.0,997.1(03),0.0
2015-6,5402,6.6(14),1.0,83249.0,35.0,0.0,0.0,11.6,1011.3(16),1.0,1015.6,1005.2,16.8,43.7(28),21.6,25.0,0.0,16.0,23/16.4(13),0.0,13.0,79.0,0.0,3.0,12.6(14),216.0,125.0,0.0,0.0,3400.0,9.6,3.0,0.0,11.0,0.0,26.2,0.0,26.1,35.3,0.0,999.0(10),2.0
2015-7,5402,0.0(--),0.0,90209.0,28.0,0.0,0.0,12.5,1009.1(11),0.0,1013.5,1003.3,20.7,45.2(06),25.4,31.0,0.0,28.0,99/15.0(17),0.0,3.0,87.0,0.0,0.0,18.6(01),221.0,131.0,0.0,0.0,4880.0,0.0,0.0,0.0,11.0,0.0,35.3,0.0,30.5,40.3,0.0,995.7(31),0.0
2015-8,5402,2.1(07),3.0,71549.0,40.0,0.0,0.0,9.7,1010.3(13),1.0,1014.0,1003.6,20.5,40.8(10),27.2,31.0,0.0,13.0,21/16.9(08),0.0,15.0,72.0,0.0,3.0,15.4(25),229.0,157.0,0.0,0.0,3440.0,2.9,3.0,0.0,10.0,0.0,30.1,0.0,28.4,36.3,0.0,998.1(01),1.0
2015-9,5402,6.7(16),2.0,56363.0,47.0,0.0,0.0,7.9,1011.7(20),2.0,1015.4,1004.9,16.1,35.2(27),20.2,19.0,0.0,8.0,25/18.1(16),0.0,20.0,64.0,0.0,4.0,11.2(23),205.0,136.0,0.0,0.0,2541.0,7.4,4.0,0.0,9.0,0.0,25.9,0.0,23.7,31.1,0.0,997.2(16),1.0
2015-10,5402,34.7(05),12.0,36128.0,69.0,0.0,0.0,5.9,1012.1(01),,1015.4,1004.7,14.4,32.8(01),19.2,3.0,0.0,6.0,,3.0,13.0,53.0,,11.0,10.2(30),,158.0,1.0,0.0,1169.0,80.7,13.0,1.0,6.0,0.0,21.5,0.0,20.2,25.9,0.0,997.3(19),9.0
2015-11,5402,39.4(01),1.0,34147.0,71.0,0.0,0.0,8.3,1024.6(30),0.0,1024.6,1013.6,7.2,27.6(07),14.4,0.0,0.0,21.0,99/13.9(01),2.0,8.0,82.0,0.0,3.0,-0.8(24),111.0,117.0,1.0,0.0,799.0,55.3,3.0,0.0,5.0,1.0,15.8,0.0,15.0,22.8,0.0,998.9(01),2.0
2015-12,5402,11.3(28),3.0,24113.0,72.0,0.0,0.0,5.7,1023.5(04),0.0,1029.3,1018.1,4.9,23.5(05),11.4,0.0,0.0,7.0,99/8.3(03),1.0,21.0,59.0,0.0,3.0,1.4(25),109.0,98.0,0.0,0.0,661.0,19.2,4.0,0.0,5.0,0.0,14.2,0.0,12.3,19.7,0.0,1010.9(14),2.0
2015-13,5402,39.4(01/nov),47.0,649560.0,55.0,0.0,10.0,8.5,1032.7(09/ene),,1019.0,1008.2,11.2,45.2(06/jul),27.2,139.0,0.0,145.0,,10.0,173.0,69.0,,59.0,-2.6(01/ene),,119.0,2.0,6.0,24293.0,300.4,64.0,4.0,8.0,21.0,7.1,0.0,19.1,27.0,1.0,990.5(31/ene),38.0
