fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2011-1,5402,14.7(08),12.0,77.0,0.0,6.0,4.1,1020.1(17),0.0,1019.5,1008.3,6.1,18.7(15),10.7,0.0,0.0,5.0,27/15.0(08),1.0,14.0,42.0,0.0,10.0,0.7(31),155.0,97.0,0.0,3.0,403.0,37.4,13.0,3.0,7.0,0.0,8.5,0.0,10.1,14.1,0.0,987.7(27),7.0
2011-2,5402,21.3(15),3.0,69.0,0.0,1.0,7.5,1025.0(04),1.0,1022.3,1011.2,4.7,24.0(25),10.8,0.0,0.0,10.0,23/16.9(16),3.0,15.0,69.0,0.0,5.0,0.0(03),157.0,90.0,0.0,1.0,581.0,73.9,5.0,1.0,7.0,1.0,10.6,0.0,10.9,16.9,0.0,989.8(16),5.0
2011-3,5402,17.5(14),8.0,62.0,0.0,0.0,6.2,1016.3(31),0.0,1017.3,1006.2,8.5,26.8(31),12.7,0.0,0.0,6.0,25/12.5(13),1.0,17.0,51.0,0.0,11.0,1.2(03),181.0,96.0,0.0,0.0,1011.0,42.9,12.0,1.0,8.0,0.0,12.5,0.0,13.8,19.0,0.0,987.7(14),8.0
2011-4,5402,21.4(29),8.0,55.0,0.0,1.0,7.3,1013.5(01),,1013.8,1003.1,12.1,31.7(07),16.4,4.0,0.0,11.0,,4.0,11.0,56.0,,9.0,10.0(24),,118.0,0.0,0.0,1480.0,77.3,10.0,5.0,9.0,0.0,16.9,0.0,18.8,25.4,0.0,990.3(30),8.0
2011-5,5402,29.5(02),3.0,50.0,0.0,1.0,9.2,1011.6(24),0.0,1015.5,1004.9,15.5,33.8(24),18.5,12.0,0.0,9.0,32/14.4(03),2.0,19.0,65.0,0.0,8.0,11.1(08),183.0,131.0,0.0,0.0,1876.0,49.3,9.0,4.0,9.0,0.0,20.1,0.0,21.9,28.2,0.0,987.5(02),5.0
2011-6,5402,12.2(06),0.0,36.0,1.0,0.0,12.1,1009.3(25),1.0,1014.8,1004.3,17.5,38.9(26),22.0,23.0,0.0,21.0,26/20.0(06),1.0,9.0,82.0,0.0,2.0,13.1(08),162.0,118.0,0.0,0.0,3100.0,12.3,1.0,2.0,8.0,0.0,23.0,0.0,25.4,33.3,0.0,993.5(05),1.0
2011-7,5402,0.0(--),0.0,34.0,0.0,0.0,12.0,1007.8(15),0.0,1012.4,1002.0,19.8,39.3(27),23.0,30.0,0.0,25.0,21/13.9(03),0.0,6.0,83.0,0.0,0.0,16.4(04),243.0,126.0,0.0,0.0,4028.0,0.0,0.0,0.0,12.0,0.0,29.1,0.0,27.5,35.2,0.0,994.3(21),0.0
2011-8,5402,1.9(19),2.0,37.0,0.0,0.0,11.1,1007.8(03),1.0,1012.9,1002.5,20.6,41.6(20),25.9,30.0,0.0,21.0,26/17.5(01),0.0,8.0,81.0,0.0,1.0,15.3(27),232.0,139.0,0.0,0.0,3618.0,1.9,1.0,0.0,11.0,0.0,28.5,0.0,28.2,35.7,0.0,993.2(01),1.0
2011-9,5402,4.3(01),2.0,41.0,0.0,0.0,9.1,1013.0(27),0.0,1016.0,1005.4,17.4,38.1(09),20.0,24.0,0.0,17.0,99/10.8(01),0.0,11.0,73.0,0.0,2.0,12.2(25),172.0,126.0,0.0,0.0,2482.0,5.5,2.0,1.0,7.0,0.0,23.4,0.0,24.8,32.2,0.0,998.1(09),2.0
2011-10,5402,15.1(26),1.0,46.0,0.0,0.0,9.0,1014.7(10),1.0,1017.7,1007.0,13.4,35.3(13),16.9,13.0,0.0,19.0,20/16.1(24),2.0,11.0,80.0,0.0,4.0,10.0(25),150.0,107.0,0.0,0.0,1817.0,41.6,4.0,0.0,6.0,0.0,19.1,0.0,20.9,28.4,0.0,989.6(24),4.0
2011-11,5402,29.8(03),7.0,73.0,0.0,2.0,5.6,1019.4(26),1.0,1017.3,1006.3,9.1,24.6(12),14.8,0.0,0.0,7.0,24/15.3(04),3.0,16.0,56.0,0.0,8.0,3.2(28),144.0,114.0,0.0,0.0,582.0,82.6,8.0,2.0,7.0,0.0,14.9,0.0,14.0,18.8,0.0,986.6(04),7.0
2011-12,5402,4.9(10),6.0,72.0,0.0,2.0,6.2,1024.9(30),0.0,1027.9,1016.6,3.7,21.8(22),10.1,0.0,0.0,15.0,32/11.4(02),0.0,10.0,64.0,0.0,6.0,-0.5(31),102.0,89.0,0.0,2.0,458.0,8.1,7.0,0.0,5.0,3.0,12.3,0.0,10.0,16.2,0.0,1007.6(11),2.0
2011-13,5402,29.8(03/nov),52.0,54.0,1.0,13.0,8.3,1025.0(04/feb),,1017.3,1006.5,12.4,41.6(20/ago),25.9,136.0,0.0,166.0,,17.0,147.0,67.0,,66.0,-0.5(31/dic),,113.0,0.0,6.0,21436.0,432.8,72.0,19.0,8.0,4.0,8.5,0.0,18.9,25.3,0.0,986.6(04/nov),50.0
