fecha,indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2016-1,5402,11.2(08),15.0,22748.0,83.0,0.0,5.0,4.0,1026.2(31),4.0,1024.5,1013.4,6.8,22.3(23),14.9,0.0,0.0,1.0,31/18.1(05),2.0,15.0,40.0,0.0,15.0,1.1(17),187.0,116.0,0.0,3.0,458.0,53.1,18.0,0.0,8.0,0.0,12.5,0.0,11.7,16.6,0.0,996.0(05),11.0
2016-2,5402,12.9(26),10.0,28672.0,74.0,0.0,2.0,4.8,1023.6(04),4.0,1021.8,1010.7,5.7,23.1(01),14.5,0.0,0.0,5.0,30/23.3(14),1.0,14.0,44.0,0.0,12.0,-2.0(17),265.0,104.0,0.0,0.0,975.0,38.3,12.0,0.0,11.0,1.0,12.4,0.0,11.5,17.2,0.0,992.1(27),9.0
2016-3,5402,20.1(20),4.0,52117.0,66.0,1.0,2.0,8.4,1019.3(01),1.0,1017.8,1006.7,4.5,26.0(29),9.8,0.0,0.0,9.0,32/16.1(07),1.0,18.0,70.0,0.0,9.0,-0.1(09),165.0,97.0,0.0,2.0,1205.0,36.4,9.0,1.0,8.0,2.0,16.0,0.0,12.2,19.9,0.0,996.9(07),6.0
2016-4,5402,36.9(04),13.0,57978.0,66.0,1.0,1.0,8.2,1012.7(21),2.0,1014.2,1003.3,9.5,28.9(30),14.4,0.0,0.0,5.0,22/16.9(04),5.0,12.0,62.0,0.0,11.0,1.4(01),193.0,126.0,1.0,0.0,1482.0,122.7,10.0,1.0,10.0,0.0,15.3,0.0,16.3,23.0,0.0,992.5(04),8.0
2016-5,5402,30.8(08),10.0,67667.0,55.0,0.0,3.0,8.7,1012.9(01),0.0,1014.6,1003.9,12.1,33.7(20),16.4,9.0,0.0,7.0,21/15.0(08),6.0,14.0,61.0,0.0,10.0,6.3(03),198.0,126.0,1.0,2.0,1939.0,106.1,10.0,3.0,9.0,0.0,18.0,0.0,19.3,26.5,0.0,989.4(08),10.0
2016-6,5402,0.0(--),,86519.0,33.0,0.0,0.0,12.9,1014.1(19),,1014.8,1004.3,16.2,40.0(09),21.5,26.0,0.0,,,0.0,,88.0,,0.0,12.3(02),,122.0,0.0,0.0,3558.0,0.0,0.0,0.0,10.0,0.0,26.7,0.0,25.7,35.2,0.0,996.2(15),0.0
2016-7,5402,0.0(--),,82570.0,,0.0,0.0,12.4,,,,,,,,,0.0,,,0.0,,86.0,,0.0,,,,0.0,0.0,4285.0,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0
2016-8,5402,0.0(--),,76414.0,,0.0,0.0,12.6,,,,,,,,,0.0,,,0.0,,93.0,,0.0,,,,0.0,0.0,3831.0,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0
2016-9,5402,3.0(13),,59883.0,39.0,0.0,0.0,9.4,1013.6(28),0.0,1016.9,1006.4,17.1,45.4(06),22.6,26.0,0.0,,99/13.9(29),0.0,,76.0,0.0,1.0,10.3(15),189.0,127.0,0.0,0.0,3155.0,3.0,1.0,0.0,8.0,0.0,25.8,0.0,26.0,34.8,0.0,999.6(12),1.0
2016-10,5402,34.4(23),,40042.0,62.0,0.0,0.0,7.2,1017.3(28),,1015.8,1005.1,14.2,34.6(04),17.8,10.0,0.0,,,3.0,,65.0,,7.0,8.8(31),,146.0,2.0,0.0,1519.0,86.0,7.0,0.0,6.0,0.0,18.4,0.0,20.9,27.4,0.0,991.4(13),5.0
2016-11,5402,31.1(25),,26738.0,75.0,0.0,2.0,5.9,1017.7(09),1.0,1016.8,1005.7,8.1,27.4(02),16.7,0.0,0.0,,22/19.7(21),4.0,,58.0,0.0,10.0,3.3(17),172.0,114.0,1.0,1.0,691.0,109.3,10.0,0.0,7.0,0.0,12.3,0.0,13.5,18.8,0.0,991.3(22),8.0
2016-12,5402,17.0(14),,25466.0,79.0,0.0,2.0,6.1,1026.9(24),0.0,1025.7,1014.4,5.6,20.9(06),13.0,0.0,0.0,,08/15.0(17),2.0,,64.0,0.0,6.0,0.0(31),140.0,105.0,0.0,1.0,471.0,39.9,8.0,0.0,6.0,1.0,12.0,0.0,11.4,17.1,0.0,997.0(03),4.0
2016-13,5402,36.9(04/abr),,626814.0,,2.0,17.0,8.4,,,,,,,,,0.0,,,24.0,,67.0,,81.0,,,,5.0,9.0,23569.0,594.8,85.0,5.0,,,,0.0,,,0.0,,62.0
