fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
2012-1,5402,7.5(15),1.0,69.0,0.0,7.0,7.3,1028.3(19),0.0,1026.5,1015.2,1.6,20.6(05),4.6,0.0,0.0,17.0,04/9.2(04),0.0,13.0,74.0,0.0,3.0,-2.0(30),92.0,78.0,0.0,2.0,569.0,11.5,3.0,0.0,4.0,5.0,8.3,0.0,9.0,16.4,1.0,999.4(16),2.0,
2012-2,5402,0.9(02),0.0,43.0,0.0,0.0,9.7,1025.1(05),0.0,1024.4,1013.1,-0.9,24.4(27),6.0,0.0,0.0,20.0,02/14.4(04),0.0,9.0,90.0,0.0,2.0,-4.8(05),148.0,46.0,0.0,0.0,1238.0,1.0,2.0,0.0,7.0,20.0,10.6,0.0,8.1,17.1,0.0,999.5(02),0.0,
2012-3,5402,2.1(16),4.0,47.0,0.0,0.0,8.5,1021.9(03),0.0,1023.2,1012.1,5.9,29.5(14),12.2,0.0,0.0,10.0,08/13.9(20),0.0,17.0,71.0,0.0,3.0,0.1(08),159.0,73.0,0.0,0.0,1554.0,3.4,6.0,0.0,8.0,0.0,15.9,0.0,14.2,22.6,0.0,999.1(31),2.0,
2012-4,5402,11.0(29),12.0,52.0,0.0,0.0,7.6,1011.4(17),3.0,1012.3,1001.4,9.6,29.2(09),14.4,0.0,0.0,6.0,22/17.5(28),1.0,12.0,57.0,0.0,13.0,3.6(17),301.0,93.0,0.0,0.0,1852.0,34.8,13.0,2.0,14.0,0.0,13.9,0.0,15.6,21.5,0.0,992.6(12),7.0,
2012-5,5402,41.0(05),5.0,42.0,0.0,0.0,10.0,1013.4(12),2.0,1015.2,1004.6,14.1,38.6(31),18.6,19.0,0.0,8.0,22/18.6(04),2.0,18.0,70.0,0.0,6.0,7.5(02),201.0,110.0,1.0,0.0,2604.0,69.5,8.0,2.0,11.0,0.0,16.0,0.0,22.2,30.3,0.0,996.5(17),6.0,78074.0
2012-6,5402,0.0(--),1.0,31.0,0.0,0.0,11.4,1009.6(16),0.0,1014.4,1004.0,18.4,44.1(26),24.3,29.0,0.0,17.0,24/11.7(07),0.0,12.0,77.0,0.0,0.0,13.9(09),240.0,115.0,0.0,0.0,3790.0,0.0,0.0,0.0,11.0,0.0,26.0,0.0,26.9,35.4,0.0,997.0(06),0.0,
2012-7,5402,0.0(--),0.0,28.0,0.0,0.0,12.4,1013.3(17),0.0,1013.9,1003.5,19.1,42.0(18),22.0,31.0,0.0,27.0,24/11.7(14),0.0,4.0,86.0,0.0,0.0,16.0(06),235.0,109.0,0.0,0.0,4224.0,0.0,0.0,1.0,12.0,0.0,30.3,0.0,28.2,37.3,0.0,997.7(04),0.0,
2012-8,5402,0.0(--),0.0,28.0,0.0,0.0,11.1,1009.9(31),0.0,1014.4,1004.0,20.4,45.5(11),25.2,31.0,0.0,19.0,23/11.7(05),0.0,12.0,82.0,0.0,0.0,15.0(14),214.0,115.0,0.0,0.0,4304.0,0.0,0.0,0.0,10.0,0.0,32.6,0.0,29.5,38.5,0.0,997.3(04),0.0,
2012-9,5402,55.1(27),4.0,43.0,0.0,0.0,8.0,1010.1(24),0.0,1014.3,1003.8,17.4,38.2(12),21.4,22.0,0.0,13.0,25/14.4(23),2.0,13.0,64.0,0.0,5.0,14.0(25),183.0,124.0,2.0,0.0,2410.0,104.4,5.0,0.0,8.0,0.0,18.7,0.0,24.8,32.1,0.0,996.1(26),5.0,
2012-10,5402,36.8(25),7.0,61.0,0.0,1.0,6.9,1012.0(07),0.0,1013.5,1002.7,13.7,34.4(09),19.3,5.0,0.0,7.0,25/11.7(11),2.0,17.0,61.0,0.0,11.0,7.5(29),161.0,133.0,1.0,0.0,1090.0,70.8,11.0,1.0,6.0,0.0,14.5,0.0,19.4,25.1,0.0,988.4(30),6.0,
2012-11,5402,59.5(08),12.0,78.0,0.0,1.0,4.4,1011.7(23),2.0,1015.3,1004.3,10.0,23.0(15),15.1,0.0,0.0,4.0,22/17.5(04),5.0,14.0,43.0,0.0,17.0,1.7(29),172.0,130.0,2.0,1.0,491.0,188.5,18.0,2.0,7.0,0.0,13.9,0.0,14.5,18.8,0.0,994.1(18),14.0,
2012-12,5402,6.7(06),7.0,,0.0,5.0,5.0,,,,,,,,,0.0,7.0,,0.0,17.0,52.0,,8.0,,,,0.0,3.0,322.0,26.9,10.0,0.0,7.0,,,0.0,,,0.0,,6.0,
2012-13,5402,59.5(08/nov),53.0,,0.0,14.0,8.5,,,,,,,,,0.0,155.0,,12.0,158.0,69.0,,68.0,,,,6.0,6.0,24448.0,510.8,76.0,8.0,9.0,,,0.0,,,1.0,,48.0,
