fecha,indicativo,p_max,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,w_racha,np_100,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,n_cub,n_des,n_nub
2018-1,5402,14.3(05),24692.0,79.0,0.0,7.0,5.1,1026.6(02),2.0,1024.4,1013.1,3.4,21.6(23),12.1,0.0,0.0,08/18.9(28),2.0,51.0,0.0,10.0,-0.4(09),139.0,95.0,0.0,5.0,603.0,47.3,10.0,0.0,7.0,2.0,7.5,0.0,9.4,15.3,1.0,989.0(06),8.0,,,
2018-2,5402,14.7(28),33762.0,66.0,0.0,1.0,7.1,1016.6(15),2.0,1015.2,1004.0,2.2,22.9(16),12.1,0.0,0.0,21/18.6(28),1.0,66.0,0.0,7.0,-3.1(09),167.0,79.0,0.0,1.0,875.0,28.0,7.0,0.0,7.0,9.0,8.7,0.0,9.5,16.7,0.0,984.0(28),4.0,,,
2018-3,5402,25.9(02),39454.0,76.0,0.0,3.0,5.8,1017.4(27),11.0,1012.0,1001.0,7.1,25.4(28),13.4,0.0,0.0,22/23.6(01),8.0,48.0,0.0,23.0,0.5(22),314.0,113.0,0.0,2.0,1015.0,215.9,23.0,3.0,14.0,0.0,12.9,0.0,12.2,17.3,0.0,977.0(01),20.0,,,
2018-4,5402,18.3(10),56983.0,,,,9.2,1013.5(17),,1013.4,1002.6,9.6,29.8(24),16.1,0.0,0.0,,2.0,70.0,,12.0,4.6(14),,123.0,0.0,1.0,1541.0,54.2,,,12.0,0.0,13.5,,16.2,22.8,0.0,986.9(10),6.0,6.0,4.0,20.0
2018-5,5402,19.1(06),,54.0,0.0,5.0,9.2,1011.5(13),0.0,1014.5,1003.8,12.0,31.1(16),16.2,2.0,0.0,20/13.9(28),1.0,65.0,0.0,8.0,5.0(02),197.0,127.0,0.0,1.0,2081.0,25.6,13.0,3.0,9.0,0.0,17.5,0.0,19.5,27.0,0.0,997.5(16),3.0,5.0,5.0,21.0
2018-6,5402,3.2(08),,44.0,0.0,0.0,10.2,1009.0(07),0.0,1014.3,1003.8,16.9,40.0(18),20.9,19.0,0.0,26/13.3(30),0.0,69.0,0.0,2.0,12.8(12),247.0,138.0,0.0,0.0,3075.0,3.3,2.0,0.0,11.0,0.0,20.4,0.0,24.6,32.3,0.0,994.6(29),1.0,4.0,10.0,16.0
2018-7,5402,0.0(--),89821.0,37.0,0.0,0.0,12.3,1010.6(05),0.0,1014.7,1004.3,17.8,40.5(31),20.2,29.0,0.0,26/11.4(14),0.0,85.0,0.0,0.0,16.3(03),242.0,136.0,0.0,0.0,3865.0,0.0,0.0,0.0,11.0,0.0,29.5,0.0,26.6,35.4,0.0,999.4(27),0.0,0.0,27.0,4.0
2018-8,5402,0.0(--),74948.0,33.0,0.0,0.0,11.6,1008.8(11),0.0,1013.6,1003.2,20.7,45.1(04),24.0,31.0,0.0,25/12.8(08),0.0,85.0,0.0,0.0,16.5(10),215.0,140.0,0.0,0.0,4220.0,0.0,0.0,1.0,9.0,0.0,33.1,0.0,30.0,39.1,0.0,996.9(07),0.0,0.0,24.0,7.0
2018-9,5402,25.1(26),55381.0,51.0,0.0,0.0,9.2,1015.0(27),0.0,1016.7,1006.2,19.1,41.0(02),21.0,29.0,0.0,11/15.0(15),1.0,74.0,0.0,5.0,16.7(10),182.0,172.0,0.0,0.0,2362.0,42.2,6.0,4.0,7.0,0.0,23.1,0.0,26.7,34.3,0.0,999.0(02),4.0,3.0,12.0,15.0
2018-10,5402,25.1(30),39227.0,64.0,1.0,2.0,,1015.3(24),0.0,1014.0,1003.2,13.0,34.0(01),19.1,9.0,0.0,18/13.3(30),5.0,,0.0,13.0,4.6(29),201.0,136.0,0.0,0.0,1502.0,122.7,15.0,2.0,9.0,0.0,13.2,0.0,19.2,25.3,0.0,989.8(30),12.0,,,
2018-11,5402,20.8(25),24247.0,82.0,0.0,1.0,5.7,1015.2(28),1.0,1016.6,1005.6,8.7,22.7(16),13.6,0.0,0.0,32/17.5(08),5.0,56.0,0.0,15.0,3.3(29),177.0,127.0,0.0,0.0,548.0,101.5,15.0,0.0,8.0,0.0,14.6,0.0,13.4,18.1,0.0,990.3(19),12.0,,,
2018-12,5402,5.2(18),27358.0,78.0,0.0,1.0,8.0,1023.3(21),1.0,1026.8,1015.5,4.4,23.8(06),8.4,0.0,0.0,26/29.2(13),0.0,84.0,1.0,4.0,0.0(31),149.0,100.0,0.0,1.0,591.0,12.3,5.0,0.0,6.0,1.0,10.3,0.0,11.1,17.7,0.0,1000.2(13),3.0,,,
2018-13,5402,25.9(02/mar),,,,,,1026.6(02/ene),,1016.4,1005.5,11.2,45.1(04/ago),24.0,119.0,0.0,,25.0,,,99.0,-3.1(09/feb),,124.0,0.0,11.0,22278.0,653.0,,,9.0,12.0,7.5,,18.2,25.1,1.0,977.0(01/mar),73.0,,,
