fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
2006-1,5402,32.8(27),11.0,79.0,0.0,6.0,5.7,1019.5(11),0.0,1021.0,1009.7,3.3,18.2(19),8.5,0.0,0.0,10.0,02/11.9(28),2.0,10.0,58.0,0.0,9.0,-1.1(05),138.0,92.0,1.0,3.0,407.0,71.7,8.0,0.0,5.0,3.0,5.4,2.0,8.6,14.0,0.0,994.9(27),7.0,
2006-2,5402,20.5(25),9.0,78.0,0.0,4.0,5.7,1015.3(06),2.0,1018.2,1007.1,4.5,22.6(11),9.6,0.0,0.0,6.0,22/19.4(19),3.0,13.0,53.0,0.0,9.0,-0.8(23),188.0,98.0,0.0,2.0,477.0,58.6,10.0,1.0,7.0,2.0,10.4,0.0,10.1,15.7,1.0,993.1(26),7.0,31196.0
2006-3,5402,17.0(19),11.0,72.0,0.0,2.0,6.2,1021.0(07),2.0,1018.6,1007.6,8.3,26.6(30),13.8,0.0,0.0,8.0,25/18.9(04),3.0,12.0,52.0,0.0,8.0,0.6(06),225.0,119.0,0.0,1.0,929.0,67.3,8.0,0.0,9.0,0.0,14.0,0.0,14.0,19.8,0.0,990.9(18),7.0,47737.0
2006-4,5402,17.1(05),5.0,,0.0,1.0,7.9,1011.9(02),2.0,1015.1,1004.3,11.8,30.7(03),15.7,1.0,0.0,2.0,23/16.9(04),2.0,23.0,60.0,0.0,7.0,8.2(01),216.0,145.0,0.0,0.0,1241.0,37.2,8.0,1.0,9.0,0.0,18.8,0.0,18.2,24.6,0.0,995.5(23),4.0,60243.0
2006-5,5402,16.8(03),4.0,,0.0,0.0,8.9,1014.7(25),0.0,1016.4,1005.8,14.4,40.1(17),19.6,16.0,0.0,5.0,07/12.8(26),1.0,22.0,62.0,0.0,2.0,7.0(24),205.0,156.0,0.0,0.0,1934.0,25.6,5.0,0.0,9.0,0.0,19.8,0.0,22.1,29.8,0.0,995.8(02),2.0,69700.0
2006-6,5402,0.8(16),1.0,49.0,0.0,0.0,11.0,1011.8(02),0.0,1015.8,1005.3,17.7,41.0(22),22.4,27.0,0.0,13.0,22/15.0(08),0.0,16.0,75.0,0.0,2.0,11.2(02),249.0,171.0,0.0,0.0,2735.0,1.1,2.0,1.0,10.0,0.0,25.4,0.0,25.8,33.8,0.0,999.3(13),0.0,76392.0
2006-7,5402,0.2(11),2.0,39.0,0.0,0.0,11.3,1010.7(10),0.0,1016.1,1005.8,20.4,43.0(10),26.6,31.0,0.0,22.0,19/14.4(13),0.0,7.0,78.0,0.0,1.0,16.2(03),226.0,167.0,0.0,0.0,3961.0,0.2,1.0,1.0,10.0,0.0,32.0,0.0,29.5,38.5,0.0,1000.2(29),0.0,80859.0
2006-8,5402,33.8(17),0.0,47.0,0.0,0.0,11.3,1010.4(20),,1014.1,1003.7,20.5,42.5(30),24.3,27.0,0.0,22.0,,2.0,9.0,83.0,,2.0,16.0(19),,188.0,1.0,0.0,3377.0,48.2,2.0,0.0,9.0,0.0,26.9,0.0,28.7,36.8,0.0,998.0(03),2.0,77362.0
2006-9,5402,15.0(21),3.0,52.0,0.0,0.0,8.2,1011.6(04),,1015.8,1005.3,18.4,41.6(03),22.6,19.0,0.0,6.0,,2.0,21.0,66.0,,4.0,13.1(17),,165.0,0.0,0.0,2434.0,32.4,6.0,2.0,8.0,0.0,25.2,0.0,25.5,32.6,0.0,998.3(21),3.0,
2006-10,5402,52.3(17),10.0,65.0,0.0,0.0,5.6,1015.7(05),,1016.3,1005.6,15.4,32.8(08),20.0,7.0,0.0,5.0,,4.0,16.0,50.0,,10.0,11.0(06),,161.0,2.0,0.0,1380.0,133.7,12.0,1.0,10.0,0.0,19.2,0.0,21.2,27.0,0.0,994.8(25),8.0,
2006-11,5402,27.4(16),10.0,80.0,0.0,2.0,5.0,1019.6(12),,1021.6,1010.6,11.3,26.2(01),17.5,0.0,0.0,6.0,,2.0,14.0,49.0,,11.0,6.6(20),,145.0,0.0,1.0,559.0,66.5,14.0,0.0,6.0,0.0,15.8,0.0,15.9,20.5,0.0,997.9(25),7.0,
2006-12,5402,16.7(05),3.0,76.0,0.0,0.0,6.4,1029.8(31),1.0,1027.1,1015.9,3.9,19.1(31),10.5,0.0,0.0,13.0,28/16.9(05),2.0,15.0,67.0,0.0,5.0,0.1(22),156.0,92.0,0.0,0.0,440.0,45.9,5.0,0.0,8.0,0.0,10.4,0.0,9.9,15.8,0.0,1002.4(08),4.0,
2006-13,5402,52.3(17/oct),69.0,,0.0,15.0,7.8,1029.8(31/dic),,1018.0,1007.2,12.5,43.0(10/jul),26.6,128.0,0.0,118.0,,23.0,178.0,63.0,,70.0,-1.1(05/ene),,142.0,4.0,7.0,19874.0,588.4,81.0,7.0,8.0,5.0,5.4,2.0,19.1,25.7,1.0,990.9(18/mar),51.0,
