fecha,indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2014-1,5402,23.1(18),14.0,22282.0,80.0,0.0,1.0,4.3,1020.5(24),1.0,1018.4,1007.3,5.6,20.3(26),14.0,0.0,0.0,4.0,26/22.2(04),3.0,13.0,43.0,0.0,16.0,0.9(30),177.0,104.0,0.0,1.0,550.0,88.6,17.0,0.0,8.0,0.0,10.5,0.0,10.4,15.2,0.0,981.7(19),9.0
2014-2,5402,22.6(09),17.0,24952.0,78.0,0.0,5.0,4.3,1021.5(27),5.0,1019.7,1008.6,5.8,20.4(23),14.1,0.0,0.0,1.0,22/22.8(09),3.0,10.0,39.0,0.0,16.0,0.3(03),228.0,105.0,0.0,2.0,659.0,88.6,20.0,0.0,10.0,0.0,11.5,0.0,10.7,15.6,0.0,989.5(09),12.0
2014-3,5402,15.1(29),6.0,51374.0,63.0,0.0,0.0,7.6,1018.0(15),0.0,1018.8,1007.7,6.2,26.9(17),12.4,0.0,0.0,9.0,25/15.0(01),1.0,16.0,63.0,0.0,7.0,1.6(24),200.0,96.0,0.0,0.0,1250.0,25.8,7.0,0.0,9.0,0.0,12.1,0.0,13.5,20.8,0.0,991.3(29),5.0
2014-4,5402,28.2(20),7.0,60417.0,63.0,0.0,0.0,8.3,1014.6(25),2.0,1015.4,1004.6,10.7,32.3(17),15.0,6.0,0.0,7.0,29/16.1(20),1.0,16.0,63.0,0.0,8.0,6.3(04),177.0,133.0,0.0,0.0,1416.0,46.3,8.0,0.0,8.0,0.0,15.8,0.0,18.0,25.4,0.0,990.4(02),5.0
2014-5,5402,7.4(20),1.0,84117.0,40.0,0.0,0.0,11.7,1011.4(14),2.0,1014.5,1003.9,11.7,36.5(11),16.1,21.0,0.0,12.0,23/18.1(21),0.0,18.0,82.0,0.0,4.0,7.6(04),190.0,110.0,0.0,0.0,2529.0,7.7,5.0,0.0,8.0,0.0,22.4,0.0,21.2,30.6,0.0,995.4(19),1.0
2014-6,5402,7.5(24),0.0,80451.0,41.0,0.0,0.0,10.4,1009.5(02),0.0,1015.0,1004.5,15.9,41.2(14),18.7,27.0,0.0,10.0,99/14.4(06),0.0,20.0,71.0,0.0,3.0,12.5(30),219.0,128.0,0.0,0.0,2814.0,11.4,4.0,2.0,11.0,0.0,25.5,0.0,24.5,33.1,0.0,997.1(14),2.0
2014-7,5402,0.2(03),1.0,86657.0,37.0,0.0,1.0,11.7,1009.0(21),0.0,1014.0,1003.6,17.9,42.9(16),21.8,30.0,0.0,20.0,23/13.3(01),0.0,10.0,81.0,0.0,1.0,13.9(01),249.0,133.0,0.0,0.0,3813.0,0.2,1.0,1.0,12.0,0.0,29.4,0.0,27.0,36.1,0.0,997.4(24),0.0
2014-8,5402,0.0(--),0.0,75715.0,33.0,0.0,0.0,11.7,1008.5(24),0.0,1013.6,1003.2,18.0,41.5(27),22.2,30.0,0.0,23.0,25/11.7(01),0.0,8.0,86.0,0.0,0.0,13.9(14),196.0,121.0,0.0,0.0,3648.0,0.0,0.0,0.0,9.0,0.0,28.9,0.0,27.5,37.1,0.0,998.0(08),0.0
2014-9,5402,56.1(16),6.0,53232.0,57.0,0.0,0.0,7.4,1011.9(29),1.0,1014.7,1004.1,18.3,41.8(01),22.3,20.0,0.0,6.0,22/16.4(16),3.0,18.0,60.0,0.0,7.0,15.5(16),180.0,168.0,1.0,0.0,2098.0,91.5,11.0,2.0,8.0,0.0,25.2,0.0,24.8,31.2,0.0,996.9(16),5.0
2014-10,5402,35.6(13),1.0,42334.0,63.0,0.0,1.0,7.6,1015.0(22),2.0,1016.8,1006.1,13.9,34.1(20),18.7,9.0,0.0,8.0,23/18.9(11),2.0,22.0,68.0,0.0,6.0,9.5(31),133.0,149.0,1.0,0.0,1460.0,70.5,6.0,0.0,6.0,0.0,19.9,0.0,21.0,28.1,0.0,995.3(11),6.0
2014-11,5402,35.0(03),9.0,25755.0,79.0,1.0,1.0,4.9,1013.2(01),1.0,1011.7,1000.8,10.0,27.0(01),15.4,0.0,0.0,3.0,21/23.6(04),7.0,18.0,48.0,0.0,15.0,4.3(10),157.0,132.0,2.0,1.0,596.0,157.5,14.0,1.0,6.0,0.0,15.0,0.0,14.8,19.6,0.0,972.9(28),13.0
2014-12,5402,12.7(13),4.0,25244.0,81.0,0.0,7.0,6.2,1024.1(29),0.0,1025.0,1013.7,3.2,19.4(01),10.4,0.0,1.0,10.0,18/12.5(13),1.0,17.0,65.0,0.0,5.0,-2.9(31),114.0,94.0,0.0,4.0,436.0,13.9,6.0,0.0,6.0,3.0,10.6,0.0,9.2,15.2,0.0,993.5(01),1.0
2014-13,5402,56.1(16/sep),66.0,632530.0,60.0,1.0,16.0,8.0,1024.1(29/dic),14.0,1016.5,1005.7,11.4,42.9(16/jul),22.3,143.0,1.0,113.0,21/23.6(04/nov),21.0,186.0,64.0,0.0,88.0,-2.9(31/dic),185.0,123.0,4.0,8.0,21269.0,602.0,99.0,6.0,8.0,3.0,10.5,0.0,18.6,25.7,0.0,972.9(28/nov),59.0
