fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010
2013-1,2331,28.4(18),18.0,86.0,0.0,4.0,2.8,933.4(03),5.0,1020.4,915.6,0.6,14.0(05),7.0,0.0,0.0,3.0,35/22.8(19),2.0,10.0,29.0,0.0,4.2,20.0,-3.7(07),365.0,73.0,0.0,1.0,327.0,84.7,15.0,0.0,3.5,15.0,14.0,1.5,4.0,4.1,7.6,0.0,4.1,880.2(19),13.0
2013-2,2331,6.0(26),12.0,85.0,0.0,3.0,2.8,927.2(04),6.0,1019.1,914.0,-0.7,12.2(20),3.9,0.0,0.0,0.0,25/22.8(10),0.0,16.0,27.0,0.0,3.9,17.0,-4.8(24),338.0,65.0,0.0,2.0,236.0,37.1,7.0,0.0,3.3,15.0,20.0,0.0,13.0,2.9,6.4,0.0,3.9,897.5(22),9.0
2013-3,2331,14.8(11),15.0,80.0,0.0,2.0,3.5,916.1(01),14.0,1006.4,903.9,2.4,15.7(07),7.6,0.0,0.0,0.0,20/24.2(07),3.0,16.0,29.0,0.0,6.5,21.0,-3.4(13),462.0,78.0,0.0,3.0,600.0,115.8,21.0,2.0,6.3,20.0,11.0,0.0,3.0,6.4,10.3,0.0,5.9,893.5(05),17.0
2013-4,2331,8.4(29),12.0,71.0,0.0,1.0,6.0,924.5(19),11.0,1015.6,912.9,2.4,24.0(17),8.0,0.0,0.0,3.0,23/18.1(09),0.0,15.0,45.0,0.0,11.0,13.0,-3.5(21),470.0,80.0,0.0,0.0,890.0,30.2,11.0,0.0,10.8,21.0,6.0,5.0,5.0,7.8,13.1,0.0,10.0,894.4(01),5.0
2013-5,2331,12.8(19),13.0,73.0,1.0,0.0,6.4,921.5(31),1.0,1015.9,913.5,3.3,22.5(14),10.6,0.0,0.0,4.0,34/16.9(22),2.0,14.0,44.0,0.0,13.4,15.0,-0.8(04),338.0,88.0,0.0,0.0,792.0,62.1,17.0,2.0,13.4,15.0,1.0,9.9,0.0,8.8,14.3,0.0,12.6,895.7(17),10.0
2013-6,2331,22.1(07),5.0,68.0,0.0,3.0,8.6,925.6(29),3.0,1017.8,917.2,7.3,30.4(16),11.6,1.0,0.0,7.0,16/16.9(05),3.0,18.0,56.0,0.0,19.0,8.0,4.0(04),369.0,115.0,0.0,2.0,1026.0,65.4,10.0,2.0,19.6,17.0,0.0,11.1,0.0,13.7,20.0,0.0,17.4,907.2(17),6.0
2013-7,2331,24.6(12),0.0,57.0,2.0,3.0,11.0,923.6(29),5.0,1014.9,917.0,13.1,33.8(31),16.7,10.0,0.0,10.0,27/23.6(12),1.0,21.0,74.0,0.0,26.4,8.0,9.2(31),333.0,147.0,0.0,1.0,1858.0,40.4,7.0,6.0,27.2,15.0,0.0,22.5,0.0,20.8,28.5,0.0,24.3,907.8(27),6.0
2013-8,2331,2.0(07),0.0,56.0,0.0,0.0,11.2,924.1(09),2.0,1016.0,917.2,11.3,34.2(21),18.2,8.0,0.0,12.0,01/16.1(07),0.0,19.0,81.0,0.0,26.3,2.0,6.8(21),395.0,124.0,0.0,0.0,1889.0,2.1,3.0,1.0,26.6,18.0,0.0,21.5,0.0,19.1,26.8,0.0,25.1,910.4(01),1.0
2013-9,2331,7.1(07),5.0,63.0,0.0,1.0,8.8,923.9(01),2.0,1016.3,916.6,9.2,29.4(03),13.4,0.0,0.0,5.0,21/17.5(27),0.0,20.0,70.0,0.0,21.7,7.0,4.8(12),320.0,118.0,0.0,1.0,1281.0,29.6,8.0,2.0,21.4,14.0,0.0,15.9,0.0,16.4,23.6,0.0,21.5,904.2(28),7.0
2013-10,2331,21.4(01),11.0,77.0,0.0,1.0,5.2,923.8(06),4.0,1017.1,915.8,8.1,23.3(18),15.8,0.0,0.0,1.0,17/18.6(24),3.0,19.0,47.0,0.0,14.9,12.0,-2.0(31),360.0,116.0,0.0,0.0,770.0,71.3,14.0,2.0,14.2,15.0,2.0,10.5,0.0,12.7,17.3,0.0,15.1,904.4(22),7.0
2013-11,2331,8.2(15),17.0,85.0,0.0,0.0,2.1,927.2(14),10.0,1021.9,917.6,3.3,19.5(05),11.2,0.0,0.0,1.0,02/20.0(26),0.0,12.0,21.0,0.0,7.6,17.0,-4.0(28),453.0,84.0,0.0,0.0,443.0,50.6,17.0,0.0,6.6,19.0,8.0,2.0,4.0,6.1,8.9,0.0,8.2,905.0(21),11.0
2013-12,2331,39.8(24),10.0,85.0,0.0,3.0,3.1,930.3(14),6.0,1025.3,919.7,-1.3,13.6(16),5.8,0.0,0.0,5.0,19/23.3(24),2.0,16.0,34.0,0.0,3.3,13.0,-8.2(10),374.0,67.0,1.0,3.0,323.0,72.1,11.0,0.0,2.7,16.0,21.0,1.0,2.0,3.2,7.6,0.0,3.5,894.2(25),8.0
2013-13,2331,39.8(24/dic),118.0,74.0,3.0,21.0,6.0,933.4(03/ene),69.0,1017.2,915.1,4.9,34.2(21/ago),18.2,19.0,0.0,51.0,20/24.2(07/mar),16.0,196.0,46.0,0.0,13.2,153.0,-8.2(10/dic),381.0,96.0,1.0,13.0,10435.0,661.4,141.0,17.0,13.0,17.0,83.0,0.0,31.0,10.2,15.4,0.0,12.6,880.2(19/ene),100.0
