fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010,glo
2005-1,5402,0.0(--),1.0,67.0,0.0,0.0,8.6,1027.2(06),1.0,1027.7,1016.3,-0.9,20.5(21),4.4,0.0,0.0,23.0,02/15.6(26),0.0,7.0,87.0,0.0,0.0,-8.2(28),139.0,72.0,0.0,0.0,546.0,0.0,0.0,0.0,6.0,21.0,7.1,0.0,7.4,15.7,0.0,1004.3(26),0.0,
2005-2,5402,29.8(27),4.0,64.0,0.0,0.0,7.8,1029.0(11),0.0,1019.9,1008.7,1.0,20.2(13),5.4,0.0,0.0,16.0,01/14.4(08),2.0,8.0,73.0,0.0,6.0,-4.9(01),201.0,71.0,0.0,0.0,884.0,57.9,7.0,1.0,8.0,12.0,6.8,0.0,8.3,15.5,0.0,989.9(28),5.0,
2005-3,5402,6.7(01),12.0,66.0,0.0,0.0,6.4,1017.4(17),0.0,1018.4,1007.4,7.9,29.8(31),14.6,0.0,0.0,3.0,24/15.0(26),0.0,16.0,53.0,0.0,9.0,-1.8(08),208.0,111.0,0.0,0.0,1266.0,17.5,11.0,0.0,8.0,3.0,6.7,0.0,14.1,20.2,0.0,990.9(01),6.0,
2005-4,5402,24.0(02),5.0,55.0,0.0,0.0,9.4,1017.2(10),3.0,1017.1,1006.3,9.4,33.2(29),13.5,4.0,0.0,9.0,36/16.9(15),1.0,16.0,71.0,0.0,3.0,5.4(10),229.0,113.0,0.0,0.0,1736.0,34.1,3.0,2.0,10.0,0.0,16.6,0.0,17.0,24.7,0.0,998.7(07),3.0,
2005-5,5402,27.3(12),5.0,49.0,0.0,0.0,10.0,1012.1(14),2.0,1016.6,1006.0,14.0,35.7(26),21.0,18.0,0.0,8.0,29/20.6(16),1.0,18.0,70.0,0.0,6.0,9.0(17),227.0,138.0,0.0,0.0,2586.0,37.3,6.0,1.0,10.0,0.0,21.6,0.0,22.0,29.9,0.0,999.7(11),5.0,73001.0
2005-6,5402,0.0(--),0.0,45.0,0.0,0.0,11.5,1010.9(15),0.0,1015.7,1005.2,18.1,41.6(22),22.4,29.0,0.0,12.0,24/13.3(12),0.0,18.0,78.0,0.0,0.0,15.4(29),229.0,175.0,0.0,0.0,3527.0,0.0,1.0,0.0,10.0,0.0,29.6,0.0,27.0,35.7,0.0,998.2(11),0.0,75573.0
2005-7,5402,0.0(--),1.0,45.0,0.0,0.0,12.2,1011.4(20),0.0,1015.2,1004.8,19.5,42.5(20),22.6,31.0,0.0,22.0,25/13.3(27),0.0,8.0,84.0,0.0,0.0,14.7(30),264.0,187.0,0.0,0.0,3844.0,0.0,0.0,0.0,11.0,0.0,32.6,0.0,28.4,37.3,0.0,999.7(07),0.0,83291.0
2005-8,5402,0.0(--),1.0,39.0,0.0,0.0,11.1,1009.7(22),0.0,1015.2,1004.8,19.4,44.8(07),24.3,31.0,0.0,20.0,24/13.9(09),0.0,10.0,81.0,0.0,0.0,14.8(26),227.0,155.0,0.0,0.0,3568.0,0.0,1.0,0.0,9.0,0.0,31.8,0.0,28.5,37.5,0.0,999.5(16),0.0,57022.0
2005-9,5402,10.3(07),0.0,46.0,0.0,0.0,9.7,1013.5(29),0.0,1017.6,1007.0,15.9,38.4(04),20.4,24.0,0.0,15.0,22/13.3(17),1.0,15.0,78.0,0.0,2.0,9.1(20),201.0,141.0,0.0,0.0,2515.0,19.9,3.0,1.0,7.0,0.0,25.3,0.0,23.9,31.9,0.0,1000.6(07),2.0,56172.0
2005-10,5402,91.2(11),10.0,66.0,0.0,5.0,6.2,1013.0(25),,1018.1,1007.3,13.4,34.4(01),17.4,5.0,0.0,8.0,,4.0,13.0,55.0,,10.0,7.6(06),,147.0,1.0,2.0,1171.0,171.4,11.0,2.0,7.0,0.0,18.7,0.0,19.4,25.4,0.0,1000.9(11),7.0,33638.0
2005-11,5402,9.1(14),4.0,70.0,0.0,2.0,6.3,1020.8(09),0.0,1018.8,1007.7,7.1,24.0(02),13.7,0.0,0.0,6.0,34/11.4(09),0.0,20.0,62.0,0.0,6.0,0.2(30),181.0,104.0,0.0,1.0,849.0,13.7,7.0,0.0,7.0,0.0,12.0,0.0,12.5,17.9,1.0,996.1(26),3.0,
2005-12,5402,41.2(02),7.0,76.0,0.0,6.0,5.8,1017.4(09),1.0,1021.5,1010.3,5.1,18.6(03),13.2,0.0,0.0,14.0,23/18.6(02),3.0,10.0,60.0,0.0,8.0,-2.2(17),205.0,98.0,1.0,1.0,667.0,70.8,8.0,0.0,8.0,4.0,12.6,0.0,10.3,15.4,0.0,999.0(02),5.0,
2005-13,5402,91.2(11/oct),50.0,57.0,0.0,13.0,8.8,1029.0(11/feb),,1018.5,1007.7,10.8,44.8(07/ago),24.3,142.0,0.0,156.0,,12.0,159.0,71.0,,50.0,-8.2(28/ene),,126.0,2.0,4.0,23159.0,422.6,58.0,7.0,8.0,40.0,6.7,0.0,18.2,25.6,1.0,989.9(28/feb),36.0,
