fecha,indicativo,p_max,n_cub,glo,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2009-1,5402,13.8(01),13.0,21687.0,78.0,0.0,6.0,4.0,1019.3(12),2.0,1018.6,1007.4,4.3,19.0(23),13.7,0.0,0.0,5.0,22/20.0(30),2.0,13.0,40.0,0.0,14.0,-2.9(10),184.0,92.0,0.0,5.0,431.0,64.1,17.0,0.0,8.0,6.0,7.2,0.0,9.1,13.8,1.0,994.2(25),12.0
2009-2,5402,31.0(01),8.0,34510.0,68.0,0.0,1.0,6.5,1018.7(22),3.0,1015.9,1004.8,4.9,22.2(23),10.6,0.0,0.0,11.0,26/19.7(04),3.0,9.0,60.0,0.0,9.0,1.8(11),164.0,90.0,1.0,0.0,627.0,83.1,9.0,0.0,7.0,0.0,10.4,0.0,11.2,17.6,0.0,975.9(01),5.0
2009-3,5402,22.2(29),9.0,46643.0,62.0,0.0,1.0,6.3,1013.2(10),1.0,1015.6,1004.6,7.8,29.0(26),11.2,0.0,0.0,10.0,28/18.6(05),3.0,12.0,52.0,0.0,11.0,2.8(31),169.0,103.0,0.0,0.0,1035.0,70.7,11.0,1.0,8.0,0.0,11.3,0.0,14.7,21.6,0.0,987.6(28),6.0
2009-4,5402,13.9(18),7.0,65057.0,54.0,0.0,1.0,8.9,1013.6(20),1.0,1015.7,1004.9,8.4,29.7(24),11.4,0.0,0.0,4.0,30/16.9(10),1.0,19.0,68.0,0.0,7.0,3.5(13),211.0,97.0,0.0,1.0,1520.0,25.6,7.0,0.0,10.0,0.0,17.9,0.0,15.6,22.6,0.0,996.5(14),4.0
2009-5,5402,4.3(22),4.0,80665.0,40.0,0.0,2.0,10.9,1013.1(02),0.0,1015.7,1005.0,12.0,36.3(30),17.4,16.0,0.0,14.0,23/15.0(22),0.0,13.0,77.0,0.0,3.0,7.9(02),204.0,106.0,0.0,0.0,2326.0,4.8,3.0,2.0,11.0,0.0,24.1,0.0,21.0,29.9,0.0,997.7(30),1.0
2009-6,5402,1.2(06),3.0,76737.0,39.0,0.0,0.0,10.0,1010.2(10),2.0,1014.5,1004.1,17.9,41.6(13),24.4,22.0,0.0,9.0,23/18.9(15),0.0,18.0,68.0,0.0,2.0,12.4(07),245.0,129.0,0.0,0.0,2980.0,2.0,2.0,0.0,12.0,0.0,23.8,0.0,26.1,34.2,0.0,998.3(06),1.0
2009-7,5402,0.0(--),0.0,86890.0,27.0,0.0,0.0,12.2,1010.7(17),0.0,1015.1,1004.7,19.0,41.4(21),23.2,31.0,0.0,21.0,99/11.7(13),0.0,10.0,84.0,0.0,0.0,15.5(15),226.0,105.0,0.0,0.0,4208.0,0.0,0.0,0.0,11.0,0.0,33.6,0.0,28.4,37.8,0.0,998.7(13),0.0
2009-8,5402,0.0(--),1.0,78691.0,29.0,0.0,0.0,11.8,1008.5(20),1.0,1013.5,1003.1,20.3,41.5(22),23.8,31.0,0.0,21.0,04/16.4(13),0.0,9.0,87.0,0.0,0.0,16.0(03),193.0,117.0,0.0,0.0,3797.0,0.0,0.0,0.0,8.0,0.0,32.7,0.0,29.2,38.0,0.0,997.4(24),0.0
2009-9,5402,16.0(17),3.0,53878.0,47.0,0.0,0.0,7.7,1012.9(19),2.0,1015.6,1005.0,17.5,38.5(04),22.1,15.0,0.0,9.0,22/16.4(17),1.0,18.0,61.0,0.0,5.0,13.5(22),185.0,137.0,0.0,0.0,2220.0,27.2,5.0,2.0,8.0,0.0,24.3,0.0,24.3,31.0,0.0,995.5(16),2.0
2009-10,5402,20.2(20),4.0,46930.0,52.0,0.0,1.0,8.8,1015.0(31),1.0,1016.3,1005.6,14.2,34.4(05),19.4,13.0,0.0,11.0,23/21.1(22),3.0,16.0,79.0,0.0,3.0,9.2(23),132.0,128.0,0.0,0.0,1488.0,44.8,3.0,0.0,5.0,0.0,19.2,0.0,21.7,29.1,0.0,990.7(20),3.0
2009-11,5402,29.0(29),5.0,29721.0,60.0,0.0,0.0,6.6,1021.8(23),0.0,1020.0,1009.0,8.3,29.7(01),12.6,0.0,0.0,6.0,25/13.9(07),1.0,19.0,65.0,0.0,4.0,3.5(23),146.0,101.0,0.0,0.0,1162.0,33.2,4.0,0.0,6.0,0.0,14.3,0.0,15.1,22.0,0.0,995.4(29),2.0
2009-12,5402,77.0(21),9.0,18482.0,80.0,0.0,8.0,3.4,1017.4(09),5.0,1013.2,1002.1,6.0,20.0(29),15.2,0.0,0.0,1.0,25/22.8(30),9.0,21.0,35.0,0.0,18.0,-2.3(15),246.0,106.0,2.0,2.0,473.0,303.0,18.0,3.0,11.0,2.0,7.5,0.0,10.6,15.1,3.0,979.4(24),14.0
2009-13,5402,77.0(21/dic),66.0,639891.0,53.0,0.0,20.0,8.1,1021.8(23/nov),18.0,1015.8,1005.0,11.7,41.6(13/jun),24.4,128.0,0.0,122.0,25/22.8(30/dic),23.0,177.0,65.0,0.0,76.0,-2.9(10/ene),192.0,109.0,3.0,8.0,22267.0,658.5,79.0,8.0,9.0,8.0,7.2,0.0,18.9,26.1,4.0,975.9(01/feb),50.0
