fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010
1996-1,2331,25.5(06),14.0,80.0,0.0,5.0,1.9,921.6(16),13.0,1008.6,905.8,2.4,12.0(04),6.6,0.0,0.0,0.0,24/24.4(01),4.0,17.0,20.0,0.0,5.4,16.0,-2.0(30),460.0,73.0,0.0,2.0,446.0,95.7,17.0,1.0,5.2,20.0,5.0,4.8,1.0,5.6,8.8,1.0,6.4,891.1(06),10.0
1996-2,2331,7.5(20),11.0,79.0,0.0,0.0,4.0,927.6(17),4.0,1018.9,913.9,-1.9,13.6(07),4.0,0.0,0.0,1.0,27/19.4(07),0.0,17.0,38.0,0.0,3.6,12.0,-8.6(22),334.0,59.0,0.0,1.0,,32.4,2.0,0.0,3.6,15.0,25.0,-0.6,3.0,2.5,6.9,0.0,4.7,897.9(06),10.0
1996-3,2331,14.1(30),9.0,69.0,0.0,0.0,6.0,924.2(01),1.0,1014.6,911.5,1.2,22.0(23),7.7,0.0,0.0,2.0,27/21.7(24),3.0,20.0,50.0,0.0,6.8,13.0,-7.0(12),311.0,68.0,0.0,0.0,,59.5,5.0,2.0,7.2,14.0,14.0,5.2,1.0,6.5,11.8,0.0,6.4,895.8(13),9.0
1996-4,2331,12.0(06),7.0,68.0,0.0,1.0,7.4,924.3(08),3.0,1015.3,913.4,3.3,21.4(19),8.8,0.0,0.0,1.0,25/23.6(01),2.0,22.0,55.0,0.0,11.1,10.0,-3.0(04),282.0,84.0,0.0,0.0,742.0,53.2,5.0,4.0,11.6,13.0,8.0,7.4,0.0,9.5,15.7,0.0,10.1,898.9(01),9.0
1996-5,2331,30.8(17),9.0,66.0,2.0,2.0,7.6,924.0(22),5.0,1013.5,912.6,5.1,30.0(30),11.2,1.0,0.0,4.0,22/21.4(01),2.0,18.0,52.0,0.0,13.7,14.0,0.0(19),333.0,96.0,1.0,1.0,957.0,67.4,12.0,4.0,14.0,15.0,1.0,8.4,0.0,11.4,17.7,0.0,12.3,899.9(01),10.0
1996-6,2331,10.6(07),3.0,59.0,0.0,5.0,10.5,926.3(12),1.0,1018.8,919.4,9.7,30.8(15),15.2,5.0,0.0,7.0,25/15.6(07),1.0,20.0,69.0,0.0,20.5,6.0,3.6(03),311.0,122.0,0.0,1.0,1180.0,17.5,1.0,4.0,20.9,14.0,0.0,11.4,0.0,17.2,24.6,0.0,17.7,907.9(20),4.0
1996-7,2331,3.8(25),3.0,51.0,0.0,1.0,10.6,926.8(09),6.0,1016.6,918.2,11.3,35.0(22),14.8,13.0,0.0,10.0,21/21.4(24),0.0,18.0,71.0,0.0,22.6,6.0,5.4(09),355.0,118.0,0.0,0.0,1887.0,16.0,1.0,1.0,23.6,16.0,0.0,16.4,0.0,19.5,27.8,0.0,20.1,904.3(07),6.0
1996-8,2331,28.9(20),1.0,60.0,1.0,3.0,8.6,923.0(31),1.0,1015.5,916.5,11.0,32.4(17),15.2,4.0,0.0,5.0,10/16.1(31),1.0,25.0,62.0,0.0,22.1,7.0,6.0(28),329.0,123.0,0.0,2.0,1293.0,43.7,1.0,3.0,22.5,15.0,0.0,17.2,0.0,18.1,25.2,0.0,20.6,912.0(19),6.0
1996-9,2331,12.3(20),2.0,62.0,0.0,0.0,7.8,925.1(29),4.0,1014.7,914.5,6.9,28.5(29),10.5,0.0,0.0,7.0,28/18.6(30),1.0,21.0,63.0,0.0,17.0,7.0,2.3(26),303.0,102.0,0.0,0.0,977.0,32.3,9.0,1.0,17.2,13.0,0.0,16.0,0.0,14.2,21.6,0.0,16.8,901.1(21),5.0
1996-10,2331,6.4(13),6.0,71.0,0.0,2.0,6.3,928.5(31),2.0,1021.2,919.0,4.6,25.0(22),9.5,0.0,0.0,6.0,20/18.6(13),0.0,19.0,57.0,0.0,12.4,11.0,-2.5(31),254.0,94.0,0.0,2.0,683.0,15.2,14.0,1.0,12.4,11.0,2.0,10.2,0.0,11.0,17.4,0.0,13.1,899.0(13),3.0
1996-11,2331,17.8(10),14.0,79.0,0.0,4.0,3.3,930.0(01),4.0,1019.5,916.0,1.6,24.0(02),7.4,0.0,0.0,4.0,26/22.8(19),2.0,12.0,33.0,0.0,7.4,15.0,-4.2(16),325.0,79.0,0.0,2.0,610.0,74.7,4.0,0.0,7.1,14.0,12.0,4.4,0.0,6.5,11.3,1.0,9.0,890.5(11),11.0
1996-12,2331,26.1(05),18.0,87.0,1.0,0.0,2.0,925.1(02),1.0,1011.0,907.5,1.8,13.0(17),7.6,0.0,0.0,1.0,14/15.6(20),6.0,12.0,22.0,0.0,5.0,25.0,-6.8(27),301.0,76.0,0.0,1.0,,148.9,19.0,0.0,4.6,12.0,12.0,-0.2,5.0,4.6,7.4,0.0,6.6,891.2(21),18.0
1996-13,2331,30.8(17/may),97.0,69.0,4.0,23.0,6.3,930.0(01/nov),45.0,1015.7,914.0,4.8,35.0(22/jul),15.2,23.0,0.0,48.0,24/24.4(01/ene),22.0,221.0,49.0,0.0,12.3,142.0,-8.6(22/feb),325.0,91.0,1.0,12.0,,656.5,90.0,21.0,12.5,14.0,79.0,-0.6,10.0,10.6,16.4,2.0,12.0,890.5(11/nov),101.0
