fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
1996-1,5402,34.9(21),18.0,84.0,2.0,2.0,2.2,1012.6(02),9.0,1011.3,1000.3,8.3,18.6(06),11.2,0.0,0.0,0.0,24/21.7(11),9.0,13.0,23.0,0.0,20.0,2.8(13),267.0,118.0,1.0,2.0,371.0,236.5,21.0,3.0,11.0,0.0,10.6,0.0,11.5,14.7,0.0,986.0(21),17.0
1996-2,5402,21.6(14),4.0,71.0,0.0,3.0,6.8,1018.3(12),1.0,1019.5,1008.3,4.5,19.2(06),12.0,0.0,0.0,8.0,07/15.6(15),2.0,17.0,62.0,0.0,9.0,-1.5(24),195.0,88.0,0.0,1.0,564.0,40.8,10.0,0.0,8.0,4.0,11.4,0.0,9.9,15.4,0.0,991.0(01),4.0
1996-3,5402,9.5(19),8.0,70.0,0.0,0.0,6.7,1013.7(01),1.0,1014.4,1003.4,8.2,28.2(29),13.2,0.0,0.0,5.0,26/16.4(29),0.0,18.0,56.0,0.0,10.0,2.4(18),234.0,112.0,0.0,0.0,862.0,30.8,12.0,1.0,10.0,0.0,14.0,0.0,13.9,19.6,0.0,989.4(13),5.0
1996-4,5402,12.9(29),5.0,57.0,0.0,0.0,,1014.6(09),1.0,1015.5,1004.6,10.4,30.8(15),13.6,2.0,0.0,2.0,25/21.7(01),1.0,23.0,,0.0,7.0,7.6(23),218.0,113.0,0.0,0.0,1243.0,36.1,9.0,1.0,10.0,0.0,17.4,0.0,17.2,24.0,0.0,996.5(22),5.0
1996-5,5402,33.8(02),7.0,61.0,0.0,0.0,8.5,1015.2(22),3.0,1015.0,1004.2,12.5,37.6(28),16.6,8.0,0.0,8.0,30/17.5(18),4.0,16.0,59.0,0.0,11.0,6.2(12),234.0,135.0,2.0,0.0,1210.0,118.9,11.0,2.0,11.0,0.0,18.0,0.0,19.0,25.5,0.0,995.1(03),8.0
1996-6,5402,9.8(16),0.0,40.0,0.0,0.0,10.2,1012.3(12),0.0,1017.0,1006.5,16.9,40.6(29),20.4,28.0,0.0,23.0,10/11.4(16),0.0,7.0,69.0,0.0,1.0,11.2(04),213.0,143.0,0.0,0.0,2602.0,9.8,1.0,1.0,9.0,0.0,28.4,0.0,25.7,34.4,0.0,998.3(20),1.0
1996-7,5402,2.9(14),0.0,45.0,0.0,0.0,12.0,1011.7(09),0.0,1016.0,1005.5,19.3,42.4(20),23.2,30.0,0.0,16.0,07/11.9(08),0.0,15.0,83.0,0.0,1.0,15.0(09),260.0,178.0,0.0,0.0,2899.0,2.9,1.0,1.0,11.0,0.0,29.5,0.0,27.8,36.2,0.0,1000.4(06),1.0
1996-8,5402,12.2(15),0.0,47.0,0.0,0.0,11.6,1009.6(17),0.0,1015.1,1004.6,18.0,38.0(09),20.2,30.0,0.0,22.0,19/13.3(30),1.0,9.0,85.0,0.0,2.0,14.2(22),256.0,163.0,0.0,0.0,2599.0,12.7,2.0,1.0,11.0,0.0,28.7,0.0,26.1,34.2,0.0,999.9(13),1.0
1996-9,5402,40.8(11),4.0,63.0,0.0,1.0,7.3,1014.4(29),1.0,1015.3,1004.7,15.8,34.0(07),21.6,11.0,0.0,7.0,31/15.6(21),4.0,19.0,59.0,0.0,10.0,11.8(26),231.0,164.0,1.0,1.0,1501.0,122.7,11.0,2.0,10.0,0.0,21.2,0.0,21.9,28.1,0.0,996.9(11),9.0
1996-10,5402,52.9(13),5.0,64.0,0.0,1.0,8.1,1019.0(31),0.0,1020.1,1009.3,11.4,30.0(23),17.0,1.0,0.0,18.0,19/13.3(13),1.0,8.0,72.0,0.0,5.0,5.8(08),149.0,137.0,1.0,0.0,932.0,58.8,5.0,0.0,6.0,0.0,16.4,0.0,18.2,24.9,0.0,993.1(13),2.0
1996-11,5402,33.7(11),8.0,76.0,0.0,5.0,5.8,1019.5(01),1.0,1021.1,1010.1,8.3,26.6(03),13.2,0.0,1.0,6.0,23/21.1(11),3.0,16.0,57.0,0.0,9.0,1.4(19),193.0,119.0,1.0,3.0,526.0,70.6,10.0,0.0,8.0,0.0,12.8,0.0,13.5,18.7,1.0,986.6(12),5.0
1996-12,5402,58.4(11),15.0,84.0,0.0,0.0,3.1,1015.9(02),4.0,1012.1,1001.0,8.1,19.8(01),14.2,0.0,0.0,3.0,20/22.2(29),13.0,13.0,33.0,0.0,23.0,0.8(08),287.0,117.0,4.0,0.0,342.0,355.0,24.0,2.0,14.0,0.0,8.0,0.0,11.4,14.8,0.0,985.0(29),20.0
1996-13,5402,58.4(11/dic),74.0,64.0,2.0,12.0,,1019.5(01/nov),21.0,1016.0,1005.2,11.8,42.4(20/jul),23.2,110.0,1.0,118.0,20/22.2(29/dic),38.0,174.0,,0.0,108.0,-1.5(24/feb),228.0,132.0,10.0,7.0,15651.0,1095.6,117.0,14.0,10.0,4.0,8.0,0.0,18.0,24.2,1.0,985.0(29/dic),78.0
