fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,ts_20,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,ts_10,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,ts_50,q_min,np_010
2012-1,2331,4.5(16),11.0,86.0,0.0,11.0,3.5,933.1(19),0.0,1028.6,922.9,-0.4,12.4(19),5.0,0.0,0.0,3.0,35/14.4(06),0.0,17.0,36.0,0.0,4.4,7.0,-5.4(10),277.0,70.0,0.0,6.0,320.0,15.8,3.0,0.0,3.7,12.0,18.0,3.1,6.0,3.7,7.7,0.0,4.3,909.2(16),5.0
2012-2,2331,19.4(05),10.0,77.0,0.0,0.0,5.0,928.6(04),4.0,1028.0,921.4,-3.2,17.7(29),2.8,0.0,0.0,5.0,02/19.7(14),1.0,14.0,47.0,0.0,2.1,13.0,-10.0(11),378.0,53.0,0.0,1.0,422.0,37.2,2.0,0.0,1.6,17.0,26.0,-2.2,13.0,1.3,5.9,0.0,2.2,909.8(01),8.0
2012-3,2331,5.2(04),6.0,62.0,0.0,0.0,7.7,929.7(10),5.0,1025.1,921.2,-0.2,22.6(15),4.4,0.0,0.0,6.0,16/19.2(16),0.0,19.0,64.0,0.0,9.0,6.0,-4.5(06),324.0,64.0,0.0,0.0,1037.0,11.9,5.0,1.0,9.2,16.0,19.0,5.5,3.0,7.2,14.6,0.0,8.1,902.1(31),3.0
2012-4,2331,19.4(27),21.0,78.0,1.0,1.0,3.6,920.1(16),9.0,1009.7,906.9,2.2,18.3(02),5.2,0.0,0.0,1.0,20/22.2(25),4.0,8.0,27.0,0.0,8.7,22.0,-2.4(08),422.0,77.0,0.0,0.0,711.0,117.9,20.0,4.0,8.2,18.0,5.0,4.2,4.0,6.6,11.0,0.0,8.4,898.1(25),16.0
2012-5,2331,7.0(03),3.0,65.0,0.0,2.0,9.2,925.1(12),2.0,1014.7,914.3,6.6,29.5(25),12.2,0.0,0.0,3.0,21/17.5(04),0.0,25.0,63.0,0.0,17.7,10.0,2.3(01),324.0,110.0,0.0,1.0,1249.0,32.1,12.0,3.0,18.1,15.0,0.0,9.8,0.0,13.5,20.4,0.0,15.9,904.8(19),7.0
2012-6,2331,5.6(02),5.0,55.0,0.0,3.0,9.8,922.3(24),7.0,1013.5,914.8,10.1,34.6(27),14.4,6.0,0.0,6.0,27/22.8(11),0.0,19.0,65.0,0.0,24.7,8.0,5.2(09),384.0,118.0,0.0,0.0,1975.0,10.2,10.0,2.0,25.4,18.0,0.0,17.8,0.0,18.0,25.9,0.0,22.8,904.7(07),4.0
2012-7,2331,12.7(27),0.0,50.0,0.0,2.0,11.6,927.4(16),4.0,1014.7,916.2,10.4,34.0(18),16.6,7.0,0.0,9.0,24/22.8(26),1.0,22.0,78.0,0.0,26.7,3.0,6.0(02),376.0,112.0,0.0,1.0,2175.0,17.4,3.0,3.0,27.4,18.0,0.0,19.0,0.0,18.7,27.0,0.0,25.1,909.9(04),2.0
2012-8,2331,0.4(15),2.0,45.0,0.0,1.0,10.4,926.5(30),2.0,1014.4,916.4,12.3,37.2(10),21.5,14.0,0.0,11.0,22/16.1(27),0.0,18.0,75.0,0.0,27.9,2.0,7.8(31),336.0,109.0,0.0,1.0,2532.0,0.5,3.0,0.0,28.1,15.0,0.0,19.6,0.0,20.8,29.2,0.0,26.2,908.2(14),0.0
2012-9,2331,13.2(25),5.0,60.0,0.0,1.0,7.3,925.4(01),6.0,1015.6,915.7,9.3,31.7(15),14.5,2.0,0.0,4.0,20/20.6(23),1.0,21.0,58.0,0.0,21.6,6.0,4.0(02),393.0,108.0,0.0,0.0,1596.0,21.1,8.0,0.0,21.0,17.0,0.0,12.9,0.0,16.1,22.9,0.0,21.4,901.7(25),4.0
2012-10,2331,12.5(24),8.0,75.0,1.0,3.0,5.2,921.8(07),0.0,1013.1,911.7,5.6,27.6(08),14.1,0.0,0.0,4.0,29/15.0(14),1.0,19.0,46.0,0.0,13.9,16.0,-3.3(29),248.0,102.0,0.0,1.0,775.0,51.1,19.0,3.0,13.1,10.0,3.0,6.4,1.0,11.2,16.9,0.0,14.3,897.8(31),11.0
2012-11,2331,10.8(25),10.0,85.0,1.0,3.0,3.0,924.9(07),3.0,1015.6,912.1,2.4,17.5(15),9.8,0.0,0.0,1.0,19/19.2(24),1.0,19.0,30.0,0.0,7.5,15.0,-3.5(22),333.0,84.0,0.0,0.0,418.0,51.3,12.0,0.0,6.7,15.0,7.0,3.4,3.0,6.4,10.4,0.0,7.9,897.6(01),10.0
2012-12,2331,12.8(13),18.0,86.0,0.0,5.0,2.0,929.2(27),5.0,1021.6,917.0,1.6,13.8(24),7.7,0.0,0.0,0.0,19/23.3(14),2.0,13.0,22.0,0.0,5.2,14.0,-3.4(06),390.0,77.0,0.0,2.0,372.0,43.6,16.0,0.0,4.5,16.0,12.0,2.4,2.0,4.7,7.7,0.0,5.2,900.6(14),9.0
2012-13,2331,19.4(05/feb),99.0,69.0,3.0,32.0,6.5,933.1(19/ene),47.0,1017.9,915.9,4.7,37.2(10/ago),21.5,29.0,0.0,53.0,19/23.3(14/dic),11.0,214.0,51.0,0.0,14.1,122.0,-10.0(11/feb),349.0,90.0,0.0,13.0,13582.0,410.1,113.0,16.0,13.9,16.0,90.0,-2.2,32.0,10.7,16.6,0.0,13.5,897.6(01/nov),79.0
