fecha,indicativo,p_max,n_cub,hr,n_gra,n_fog,inso,q_max,nw_55,q_mar,q_med,tm_min,ta_max,ts_min,nt_30,nv_0050,n_des,w_racha,np_100,n_nub,p_sol,nw_91,np_001,ta_min,w_rec,e,np_300,nv_1000,evap,p_mes,n_llu,n_tor,w_med,nt_00,ti_max,n_nie,tm_mes,tm_max,nv_0100,q_min,np_010
2002-1,5402,15.6(02),7.0,78.0,0.0,5.0,6.4,1023.6(11),1.0,1027.4,1016.2,4.9,20.0(28),10.8,0.0,1.0,8.0,20/20.0(23),2.0,16.0,65.0,0.0,7.0,1.5(21),167.0,102.0,0.0,3.0,460.0,40.5,6.0,0.0,7.0,0.0,12.2,0.0,10.5,16.0,0.0,1005.4(23),5.0
2002-2,5402,2.4(28),5.0,69.0,0.0,2.0,7.4,1023.0(20),0.0,1024.7,1013.6,3.9,23.0(12),8.2,0.0,0.0,13.0,05/13.3(15),0.0,10.0,69.0,0.0,3.0,-0.6(20),143.0,96.0,0.0,1.0,593.0,4.1,5.0,0.0,5.0,1.0,13.4,0.0,11.5,19.0,0.0,1002.9(28),2.0
2002-3,5402,40.9(15),10.0,70.0,1.0,1.0,6.3,1018.4(21),2.0,1017.5,1006.6,8.8,30.2(23),12.8,1.0,0.0,9.0,19/17.5(13),4.0,12.0,52.0,0.0,13.0,3.4(08),193.0,120.0,2.0,1.0,772.0,130.6,13.0,3.0,8.0,0.0,14.2,0.0,14.8,20.8,0.0,995.9(13),10.0
2002-4,5402,23.8(11),9.0,67.0,0.0,1.0,7.0,1018.2(22),1.0,1014.7,1003.8,9.5,32.4(26),14.4,2.0,0.0,7.0,05/16.9(03),1.0,14.0,53.0,0.0,12.0,5.6(12),186.0,125.0,0.0,0.0,1016.0,60.8,14.0,4.0,7.0,0.0,13.2,0.0,16.0,22.5,0.0,979.7(11),6.0
2002-5,5402,5.6(07),8.0,50.0,0.0,0.0,10.0,1017.5(14),0.0,1016.1,1005.3,11.2,36.8(16),17.6,12.0,0.0,10.0,31/15.0(02),0.0,13.0,70.0,0.0,6.0,5.6(04),229.0,115.0,0.0,0.0,1976.0,12.9,7.0,0.0,10.0,0.0,17.2,0.0,19.2,27.2,0.0,993.9(07),4.0
2002-6,5402,11.7(04),4.0,50.0,0.0,0.0,11.0,1010.3(22),1.0,1016.3,1005.8,16.7,39.0(16),20.6,21.0,0.0,13.0,20/15.3(04),1.0,13.0,74.0,0.0,1.0,10.4(09),287.0,164.0,0.0,0.0,2572.0,11.7,4.0,2.0,11.0,0.0,22.9,0.0,24.7,32.6,0.0,998.9(05),1.0
2002-7,5402,0.0(--),0.0,46.0,0.0,0.0,12.6,1010.2(24),0.0,1015.0,1004.6,18.2,40.6(27),22.0,30.0,0.0,23.0,06/12.2(14),0.0,8.0,87.0,0.0,0.0,13.8(15),248.0,182.0,0.0,0.0,3095.0,0.0,0.0,0.0,10.0,0.0,29.6,0.0,27.3,36.3,0.0,998.7(31),0.0
2002-8,5402,0.1(25),1.0,48.0,0.0,0.0,11.0,1010.7(31),0.0,1015.0,1004.5,18.3,40.6(13),20.8,29.0,0.0,18.0,24/11.4(02),0.0,12.0,81.0,0.0,1.0,15.0(29),284.0,166.0,0.0,0.0,3055.0,0.1,1.0,0.0,11.0,0.0,29.0,0.0,26.5,34.7,0.0,999.0(01),0.0
2002-9,5402,42.2(16),8.0,63.0,0.0,0.0,6.7,1011.3(30),0.0,1016.4,1005.7,16.7,35.5(01),19.4,13.0,0.0,4.0,24/13.3(15),1.0,18.0,54.0,0.0,8.0,13.0(06),220.0,174.0,1.0,0.0,1617.0,69.8,10.0,2.0,8.0,0.0,21.2,0.0,23.0,29.3,0.0,999.0(13),8.0
2002-10,5402,10.4(01),7.0,72.0,1.0,3.0,6.7,1016.6(27),1.0,1018.3,1007.5,13.4,29.0(19),19.0,0.0,0.0,4.0,22/16.9(21),2.0,20.0,60.0,0.0,9.0,6.6(11),177.0,160.0,0.0,1.0,834.0,42.3,8.0,2.0,7.0,0.0,20.2,0.0,19.1,24.7,0.0,995.1(09),8.0
2002-11,5402,20.0(14),8.0,79.0,1.0,7.0,4.5,1022.3(30),3.0,1018.0,1007.0,8.4,26.0(03),13.5,0.0,0.0,2.0,20/25.8(13),8.0,20.0,44.0,1.0,14.0,3.8(26),171.0,125.0,0.0,2.0,538.0,122.1,13.0,2.0,7.0,0.0,12.6,0.0,13.7,18.9,0.0,981.3(14),9.0
2002-12,5402,32.3(18),9.0,86.0,0.0,9.0,4.4,1019.9(01),1.0,1021.0,1009.9,8.0,19.0(25),15.2,0.0,0.0,3.0,24/17.5(27),5.0,19.0,45.0,0.0,15.0,0.8(08),185.0,124.0,1.0,6.0,332.0,139.8,15.0,0.0,8.0,0.0,10.4,0.0,12.1,16.1,1.0,996.5(27),12.0
2002-13,5402,42.2(16/sep),76.0,65.0,3.0,28.0,7.8,1023.6(11/ene),10.0,1018.4,1007.5,11.5,40.6(27/jul),22.0,108.0,1.0,114.0,20/25.8(13/nov),24.0,175.0,63.0,1.0,89.0,-0.6(20/feb),208.0,138.0,4.0,14.0,16860.0,634.7,96.0,15.0,8.0,1.0,10.4,0.0,18.2,24.8,1.0,979.7(11/abr),65.0
