substation_name,provincia,municipio,utm_x,utm_y,available_capacity_mw,voltage_kv,distributor_network,latitude,longitude
3102,Araba/Álava,Ayala/Aiara,499100.028809514,4770106.21764367,0.0,30.0,i-DE,43.08366894641058,-3.0110564737923857
3017,Araba/Álava,Vitoria-Gasteiz,523922.106338171,4744874.00934341,0.0,13.2,i-DE,42.856075557311094,-2.707189890875853
3017,Araba/Álava,Vitoria-Gasteiz,523922.106338171,4744874.00934341,0.0,30.0,i-DE,42.856075557311094,-2.707189890875853
3017,Araba/Álava,Vitoria-Gasteiz,523922.106338171,4744874.00934341,0.0,13.2,i-DE,42.856075557311094,-2.707189890875853
3017,Araba/Álava,Vitoria-Gasteiz,523922.106338171,4744874.00934341,0.0,30.0,i-DE,42.856075557311094,-2.707189890875853
3017,Araba/Álava,Vitoria-Gasteiz,523922.106338171,4744874.00934341,0.0,30.0,i-DE,42.856075557311094,-2.707189890875853
3017,Araba/Álava,Vitoria-Gasteiz,523922.106338171,4744874.00934341,0.0,30.0,i-DE,42.856075557311094,-2.707189890875853
3033,Araba/Álava,Lantarón,496067.838318039,4733753.66690816,0.0,132.0,i-DE,42.75629679245992,-3.0480529646470913
3033,Araba/Álava,Lantarón,496067.838318039,4733753.66690816,0.0,30.0,i-DE,42.75629679245992,-3.0480529646470913
3033,Araba/Álava,Lantarón,496067.838318039,4733753.66690816,0.0,30.0,i-DE,42.75629679245992,-3.0480529646470913
3033,Araba/Álava,Lantarón,496067.838318039,4733753.66690816,0.0,45.0,i-DE,42.75629679245992,-3.0480529646470913
3140,Araba/Álava,Lantarón,493257.770480374,4734762.93410185,0.0,132.0,i-DE,42.7653661499928,-3.0824054026313874
3204,Araba/Álava,Barrundia,544887.782646663,4749030.22002321,0.0,30.0,i-DE,42.89255788839672,-2.450243646779712
3054,Araba/Álava,Vitoria-Gasteiz,527264.256533873,4746343.53741936,0.0,30.0,i-DE,42.869196961395,-2.666210834478695
3054,Araba/Álava,Vitoria-Gasteiz,527264.256533873,4746343.53741936,0.0,30.0,i-DE,42.869196961395,-2.666210834478695
3127,Araba/Álava,Vitoria-Gasteiz,520700.219303056,4742667.91902041,0.0,30.0,i-DE,42.836303232961356,-2.746707035783041
3057,Araba/Álava,Laudio/Llodio,503887.615832783,4776766.38791864,0.0,13.2,i-DE,43.143633734587716,-2.952192570837284
3057,Araba/Álava,Laudio/Llodio,503887.615832783,4776766.38791864,0.0,132.0,i-DE,43.143633734587716,-2.952192570837284
3057,Araba/Álava,Laudio/Llodio,503887.615832783,4776766.38791864,0.0,132.0,i-DE,43.143633734587716,-2.952192570837284
3057,Araba/Álava,Laudio/Llodio,503887.615832783,4776766.38791864,0.0,30.0,i-DE,43.143633734587716,-2.952192570837284
3101,Araba/Álava,Vitoria-Gasteiz,532410.895298604,4747983.41101887,0.0,30.0,i-DE,42.88376311001866,-2.6031086140386908
4537,Araba/Álava,Amurrio,499626.106515305,4767026.60762756,0.0,13.2,i-DE,43.05593756059029,-3.0045913472585495
4537,Araba/Álava,Amurrio,499626.106515305,4767026.60762756,0.0,30.0,i-DE,43.05593756059029,-3.0045913472585495
4537,Araba/Álava,Amurrio,499626.106515305,4767026.60762756,0.0,13.2,i-DE,43.05593756059029,-3.0045913472585495
4537,Araba/Álava,Amurrio,499626.106515305,4767026.60762756,0.0,30.0,i-DE,43.05593756059029,-3.0045913472585495
4657,Araba/Álava,Campezo/Kanpezu,549993.351595354,4724948.4858014,0.0,13.2,i-DE,42.67538650492246,-2.38985057378744
4657,Araba/Álava,Campezo/Kanpezu,549993.351595354,4724948.4858014,0.0,30.0,i-DE,42.67538650492246,-2.38985057378744
4657,Araba/Álava,Campezo/Kanpezu,549993.351595354,4724948.4858014,0.0,13.2,i-DE,42.67538650492246,-2.38985057378744
4657,Araba/Álava,Campezo/Kanpezu,549993.351595354,4724948.4858014,0.0,30.0,i-DE,42.67538650492246,-2.38985057378744
4658,Araba/Álava,Vitoria-Gasteiz,528078.387980463,4743974.36241352,0.0,13.2,i-DE,42.84783268969633,-2.656362135081227
4658,Araba/Álava,Vitoria-Gasteiz,528078.387980463,4743974.36241352,0.0,30.0,i-DE,42.84783268969633,-2.656362135081227
4658,Araba/Álava,Vitoria-Gasteiz,528078.387980463,4743974.36241352,0.0,13.2,i-DE,42.84783268969633,-2.656362135081227
4658,Araba/Álava,Vitoria-Gasteiz,528078.387980463,4743974.36241352,0.0,30.0,i-DE,42.84783268969633,-2.656362135081227
4520,Araba/Álava,Artziniega,490113.083176532,4774804.56062931,0.0,13.2,i-DE,43.12591315075022,-3.1215479148452157
4520,Araba/Álava,Artziniega,490113.083176532,4774804.56062931,0.0,30.0,i-DE,43.12591315075022,-3.1215479148452157
4655,Araba/Álava,Asparrena,556105.405683513,4747138.16786463,0.0,13.2,i-DE,42.87477854813122,-2.313055241713344
4655,Araba/Álava,Asparrena,556105.405683513,4747138.16786463,0.0,30.0,i-DE,42.87477854813122,-2.313055241713344
4152,Araba/Álava,Laguardia,542127.726126719,4704680.29678987,0.0,13.2,i-DE,42.49333476713502,-2.487341058535223
4152,Araba/Álava,Laguardia,542127.726126719,4704680.29678987,0.0,66.0,i-DE,42.49333476713502,-2.487341058535223
4152,Araba/Álava,Laguardia,542127.726126719,4704680.29678987,0.0,13.2,i-DE,42.49333476713502,-2.487341058535223
4152,Araba/Álava,Laguardia,542127.726126719,4704680.29678987,0.0,66.0,i-DE,42.49333476713502,-2.487341058535223
4760,Araba/Álava,Lantarón,496017.937425041,4735000.59084595,0.0,13.2,i-DE,42.76752566272906,-3.0486715667128403
4760,Araba/Álava,Lantarón,496017.937425041,4735000.59084595,0.0,30.0,i-DE,42.76752566272906,-3.0486715667128403
4650,Araba/Álava,Vitoria-Gasteiz,527888.387353894,4746441.51096608,0.0,13.2,i-DE,42.870056695514116,-2.6585650321520795
4650,Araba/Álava,Vitoria-Gasteiz,527888.387353894,4746441.51096608,0.0,30.0,i-DE,42.870056695514116,-2.6585650321520795
4650,Araba/Álava,Vitoria-Gasteiz,527888.387353894,4746441.51096608,0.0,13.2,i-DE,42.870056695514116,-2.6585650321520795
4650,Araba/Álava,Vitoria-Gasteiz,527888.387353894,4746441.51096608,0.0,30.0,i-DE,42.870056695514116,-2.6585650321520795
4972,Araba/Álava,Laudio/Llodio,502421.889001968,4776085.26731613,0.0,13.2,i-DE,43.13750644517469,-2.970220121780498
4972,Araba/Álava,Laudio/Llodio,502421.889001968,4776085.26731613,0.0,30.0,i-DE,43.13750644517469,-2.970220121780498
4972,Araba/Álava,Laudio/Llodio,502421.889001968,4776085.26731613,0.0,13.2,i-DE,43.13750644517469,-2.970220121780498
4972,Araba/Álava,Laudio/Llodio,502421.889001968,4776085.26731613,0.0,30.0,i-DE,43.13750644517469,-2.970220121780498
4985,Araba/Álava,Laguardia,533257.086112295,4711473.50094075,0.0,13.2,i-DE,42.55494377178511,-2.594891242984595
4985,Araba/Álava,Laguardia,533257.086112295,4711473.50094075,0.0,66.0,i-DE,42.55494377178511,-2.594891242984595
4653,Araba/Álava,Iruña Oka/Iruña de Oca,517336.319661945,4740536.61540993,0.0,13.2,i-DE,42.817193853961435,-2.787933851849251
4653,Araba/Álava,Iruña Oka/Iruña de Oca,517336.319661945,4740536.61540993,0.0,30.0,i-DE,42.817193853961435,-2.787933851849251
4654,Araba/Álava,Vitoria-Gasteiz,527362.421896839,4741439.28112815,0.0,13.2,i-DE,42.82502975080738,-2.6652475962061097
4654,Araba/Álava,Vitoria-Gasteiz,527362.421896839,4741439.28112815,0.0,30.0,i-DE,42.82502975080738,-2.6652475962061097
4654,Araba/Álava,Vitoria-Gasteiz,527362.421896839,4741439.28112815,0.0,13.2,i-DE,42.82502975080738,-2.6652475962061097
4654,Araba/Álava,Vitoria-Gasteiz,527362.421896839,4741439.28112815,0.0,30.0,i-DE,42.82502975080738,-2.6652475962061097
4652,Araba/Álava,Agurain/Salvatierra,549537.909382538,4743770.46586973,0.0,13.2,i-DE,42.844907259101326,-2.3937585891140527
4652,Araba/Álava,Agurain/Salvatierra,549537.909382538,4743770.46586973,0.0,30.0,i-DE,42.844907259101326,-2.3937585891140527
4660,Araba/Álava,Zuia,510198.818801433,4756402.8438132,0.0,13.2,i-DE,42.96020153321939,-2.874954623431686
4660,Araba/Álava,Zuia,510198.818801433,4756402.8438132,0.0,30.0,i-DE,42.96020153321939,-2.874954623431686
4656,Araba/Álava,Legutio,529313.920409694,4757938.92017075,0.0,13.2,i-DE,42.973537913953045,-2.640511250080925
