segment_id,Carretera,road_prefix,PK_inicio,PK_fin,length_km,imd_total,imd_ligeros,imd_pesados,n_stations,is_tent,max_spacing_km,cod_prov
174,N-1,N,329.4,331.22,1.8425579833984376,2513.0,,,,False,120,09
175,N-1,N,331.22,334.62,3.472529541015625,498.0,337.75,160.25,4.0,False,120,09
176,N-1,N,334.62,336.2,1.5472586669921875,2513.0,,,,False,120,09
177,N-110,N,66.82,90.205,22.8813125,1339.375,1147.875,191.5,8.0,False,120,42
178,N-110,N,90.205,90.21,0.004893952369689941,3523.316964285714,,,,False,120,42
179,N-110,N,90.21,128.98,37.8539609375,1988.5833333333333,1803.5,185.08333333333334,24.0,False,120,40
180,N-110,N,134.55,187.555,52.59285546875,3189.0625,2949.28125,239.78125,32.0,False,120,40
181,N-110,N,193.145,197.18,4.11115966796875,5853.75,5415.0,438.75,4.0,False,120,40
182,N-110,N,197.64,249.59,51.64276171875,3857.5714285714284,3381.5,476.07142857142856,28.0,False,120,40
183,N-110,N,258.65,404.615,144.57571875,4024.6428571428573,3816.1071428571427,208.53571428571428,56.0,False,120,05
184,N-110A,N,95.88,99.37,4.955947265625,1261.75,1136.75,125.0,4.0,False,120,40
185,N-110A,N,138.84,140.22,1.547527099609375,41.0,38.0,3.0,4.0,False,120,40
186,N-110A,N,153.02,154.53,1.5315350341796874,159.5,151.5,8.0,4.0,False,120,40
187,N-110A,N,205.08,206.366,1.39512451171875,147.5,127.5,20.0,4.0,False,120,40
188,N-110A,N,212.99,214.165,1.1863839111328125,9.5,9.25,0.25,4.0,False,120,40
189,N-110A,N,257.12,258.2,1.61374072265625,147.5,,,,False,120,05
190,N-111,N,79.7,84.61,4.8315888671875,4412.442307692308,,,,False,120,31
191,N-111,N,151.18,190.045,38.5884140625,322.8333333333333,280.4166666666667,42.416666666666664,12.0,False,120,42
192,N-111,N,210.0,221.9,12.7927724609375,243.375,223.875,19.5,8.0,False,120,42
193,N-111,N,222.42,225.065,2.898229248046875,6734.25,6133.125,601.125,8.0,False,120,42
194,N-111,N,226.33,322.966,96.147578125,4412.442307692308,3985.5,426.9423076923077,52.0,False,120,26
195,N-111,N,322.966,324.112,1.140230224609375,22094.75,21097.0,997.75,4.0,False,120,26
196,N-111A,N,260.275,271.06,10.7633505859375,27.0,23.25,3.75,4.0,False,120,42
197,N-111R,N,193.65,194.585,1.347956787109375,199.25,173.0,26.25,4.0,False,120,42
198,N-113,N,51.72,68.31,16.587392578125,5227.625,3858.125,1369.5,8.0,True,60,42
199,N-113,N,72.57,74.0,1.499635498046875,4300.75,,,,False,120,31
200,N-113,N,74.0,78.84,4.74687060546875,4300.75,,,,True,60,31
201,N-113,N,78.84,82.34,3.4979150390625,3373.875,1839.625,1534.25,8.0,True,60,26
