segment_id,route_segment,imd_total,daily_bev_traffic_2027,seasonal_multiplier,simulated_charging_rate,n_chargers_stochastic,is_tent,tent_tier
97,A-66,25299.7,867.4,1.5,0.1205,4,True,Comprehensive
98,A-66,18215.0,624.5,1.5,0.1155,4,True,Comprehensive
99,A-66,13543.3,464.3,1.5,0.11,2,False,None
100,A-66,10966.5,376.0,1.5,0.1315,4,True,Comprehensive
101,A-66,11197.9,383.9,1.5,0.1185,4,True,Comprehensive
102,A-66,13543.3,464.3,1.5,0.1325,4,True,Comprehensive
103,A-66,6660.7,228.4,1.5,0.115,4,True,Comprehensive
104,A-66,7160.2,245.5,1.5,0.1095,4,True,Comprehensive
105,A-66,7929.7,271.9,1.5,0.1235,4,True,Comprehensive
106,A-66,21576.8,739.8,1.5,0.1245,4,True,Comprehensive
107,A-66,11010.1,377.5,1.5,0.1345,4,True,Comprehensive
108,A-66,12287.3,421.3,1.5,0.1355,4,True,Comprehensive
109,A-66,11468.4,393.2,1.5,0.1215,4,True,Comprehensive
110,A-66,16720.7,573.3,1.5,0.1215,4,True,Comprehensive
111,A-66,14799.4,507.4,1.5,0.1175,4,True,Comprehensive
112,A-66,27837.8,954.4,1.5,0.134,4,True,Comprehensive
113,A-67,17076.0,585.5,1.5,0.122,4,True,Comprehensive
114,A-67,7365.7,252.5,1.5,0.1305,2,False,None
115,A-67,18234.7,625.2,1.5,0.1275,4,True,Comprehensive
116,A-67,52646.8,1805.0,1.5,0.123,7,True,Comprehensive
117,A-67,17655.4,605.3,1.5,0.1235,3,False,None
118,A-68,26040.8,892.8,1.5,0.1365,4,False,None
119,A-68,19587.6,671.6,1.5,0.127,3,False,None
120,A-68,26040.8,892.8,1.5,0.1125,3,False,None
121,A-68,47906.0,1642.5,1.5,0.13,6,False,None
122,A-68,31823.5,1091.1,1.5,0.1185,4,False,None
123,A-68,25790.2,884.2,1.5,0.1225,4,False,None
124,A-7,32682.6,1120.5,2.5,0.1305,7,False,None
125,A-7,43249.9,1482.9,2.5,0.1265,9,False,None
126,A-7,83265.4,2854.8,2.5,0.1275,12,True,Core
127,A-7,67142.0,2302.0,2.5,0.125,12,True,Core
128,A-7,74727.0,2562.1,2.5,0.121,12,True,Core
129,A-7,60115.8,2061.1,2.5,0.1405,12,True,Comprehensive
130,A-7,19914.9,682.8,2.5,0.1285,5,False,None
131,A-7,43249.9,1482.9,2.5,0.1205,9,False,None
132,A-7,2451.0,84.0,2.5,0.136,4,True,Comprehensive
133,A-7,52912.5,1814.1,2.5,0.133,12,True,Core
134,A-7,48182.0,1652.0,2.5,0.1215,10,True,Core
135,A-7,38317.8,1313.8,2.5,0.1345,9,True,Core
136,A-7,14360.5,492.4,2.5,0.1345,4,True,Core
137,A-7,32391.0,1110.5,2.5,0.116,6,False,None
138,A-70,75561.2,2590.7,2.5,0.1275,12,True,Core
139,A-70,68688.8,2355.0,2.5,0.123,12,True,Core
140,A-70,55379.0,1898.7,2.5,0.125,11,True,Core
141,A-73,5178.0,177.5,2.5,0.1215,4,True,Comprehensive
142,A-73,5178.0,177.5,2.5,0.1305,2,False,None
143,A-73R,3124.0,107.1,2.5,0.1275,2,False,None
144,A-75,3455.6,118.5,2.5,0.139,4,True,Comprehensive
145,A-75,3455.6,118.5,2.5,0.1255,4,True,Comprehensive
146,A-77,19208.0,658.6,2.5,0.125,4,False,None
147,A-77A,34006.2,1165.9,2.5,0.14,8,False,None
148,A-79,9915.0,339.9,2.5,0.1305,3,False,None
149,A-8,19712.4,675.9,1.5,0.1095,4,True,Core
150,A-8,19712.4,675.9,1.5,0.12,3,False,None
151,A-8,19712.4,675.9,1.5,0.1265,4,True,Core
152,A-8,36589.0,1254.5,1.5,0.121,5,True,Core
153,A-8,20879.9,715.9,1.5,0.1365,4,True,Core
154,A-8,43017.5,1474.9,1.5,0.129,6,True,Core
155,A-8,27924.2,957.4,1.5,0.129,4,True,Core
156,A-8,11662.4,399.9,1.5,0.121,4,True,Core
157,A-8,15577.8,534.1,1.5,0.1425,4,True,Core
158,A-8,20668.9,708.6,1.5,0.116,4,True,Core
159,AP-7R,28815.3,988.0,2.5,0.143,7,False,None
160,AP-9,29918.2,1025.8,1.5,0.115,4,True,Core
161,AP-9,22177.8,760.4,1.5,0.12,4,True,Core
162,AP-9,16090.0,551.7,1.5,0.115,4,True,Core
163,AP-9,26663.8,914.2,1.5,0.125,4,True,Core
164,AP-9,42467.0,1456.0,1.5,0.1165,5,True,Core
165,AP-9,21969.2,753.2,1.5,0.137,4,True,Comprehensive
166,AP-9,6317.1,216.6,1.5,0.113,2,False,None
167,AP-9F,19375.5,664.3,1.5,0.119,4,True,Comprehensive
168,AP-9V,51292.5,1758.6,1.5,0.1235,7,False,None
169,N-1,4282.0,146.8,1.0,0.152,2,False,None
170,N-1,2513.0,86.2,1.0,0.1345,2,False,None
171,N-1,2513.0,86.2,1.0,0.129,2,False,None
172,N-1,2513.0,86.2,1.0,0.127,2,False,None
173,N-1,3256.9,111.7,1.0,0.124,2,False,None
174,N-1,2513.0,86.2,1.0,0.1145,2,False,None
175,N-1,498.0,17.1,1.0,0.134,2,False,None
176,N-1,2513.0,86.2,1.0,0.1165,2,False,None
177,N-110,1339.4,45.9,1.0,0.1285,2,False,None
178,N-110,3523.3,120.8,1.0,0.119,2,False,None
179,N-110,1988.6,68.2,1.0,0.1255,2,False,None
180,N-110,3189.1,109.3,1.0,0.1375,2,False,None
181,N-110,5853.8,200.7,1.0,0.1245,2,False,None
182,N-110,3857.6,132.3,1.0,0.1235,2,False,None
183,N-110,4024.6,138.0,1.0,0.1165,2,False,None
184,N-110A,1261.8,43.3,1.0,0.1245,2,False,None
185,N-110A,41.0,1.4,1.0,0.1245,2,False,None
186,N-110A,159.5,5.5,1.0,0.145,2,False,None
187,N-110A,147.5,5.1,1.0,0.1255,2,False,None
